post_soma_id,routes,method,capture,null_sd
294539,2,depth bins,0.10722392526050895,
294539,4,dense SVD oracle,0.43063695224717313,
294539,4,morphology-selected actual routes,0.4158562441272432,
294539,4,random actual routes,0.13763313926763648,0.04675858121758431
294539,4,depth-preserving ancestry shuffle,0.10067804752443507,0.013705738951223
294539,4,depth bins,0.15097965249032674,
294539,8,dense SVD oracle,0.6395130728584505,
294539,8,morphology-selected actual routes,0.5728836944481095,
294539,8,random actual routes,0.2795433508322422,0.0648742627048874
294539,8,depth-preserving ancestry shuffle,0.16824104248491245,0.016332404315526454
294539,8,depth bins,0.19479474469413527,
294539,16,dense SVD oracle,0.8584981865403783,
294539,16,morphology-selected actual routes,0.8287078695156744,
294539,16,random actual routes,0.5012139942504688,0.07288558521995009
294539,16,depth-preserving ancestry shuffle,0.2858204640006701,0.020973869031125088
294539,16,depth bins,0.2888458074427793,
294583,1,dense SVD oracle,0.13972999959521293,
294583,1,morphology-selected actual routes,0.10043164597551413,
294583,1,random actual routes,0.0362813280702589,0.02667305430934071
294583,1,depth-preserving ancestry shuffle,0.027337596157918947,0.007096579022796854
294583,1,depth bins,0.06266579580813747,
294583,2,dense SVD oracle,0.2404484927507311,
294583,2,morphology-selected actual routes,0.21877404752937546,
294583,2,random actual routes,0.0727927053756867,0.040852922512596174
294583,2,depth-preserving ancestry shuffle,0.04127641746860423,0.03042995555801894
294583,2,depth bins,0.07914536692460761,
294583,4,dense SVD oracle,0.40020370016728246,
294583,4,morphology-selected actual routes,0.35634542822083726,
294583,4,random actual routes,0.14567330680616422,0.053203361713775356
294583,4,depth-preserving ancestry shuffle,0.08573414464375645,0.036735595684753715
294583,4,depth bins,0.11552448658872205,
294583,8,dense SVD oracle,0.6011766023224474,
294583,8,morphology-selected actual routes,0.5583674372945481,
294583,8,random actual routes,0.291320773278555,0.06968725958556825
294583,8,depth-preserving ancestry shuffle,0.18185224758977392,0.0475289450216667
294583,8,depth bins,0.18860950468958704,
294583,16,dense SVD oracle,0.8193057519937758,
294583,16,morphology-selected actual routes,0.7703266020881971,
294583,16,random actual routes,0.5116934319795565,0.06910525460243437
294583,16,depth-preserving ancestry shuffle,0.3359859612569028,0.05013497762377433
294583,16,depth bins,0.3197908923972521,
262925,1,dense SVD oracle,0.29435366493393933,
262925,1,morphology-selected actual routes,0.21298598514785994,
262925,1,random actual routes,0.05430983194884909,0.06836508498151936
262925,1,depth-preserving ancestry shuffle,0.04287886017950931,0.05026042081240969
262925,1,depth bins,0.10351776561351866,
262925,2,dense SVD oracle,0.36424810499655835,
262925,2,morphology-selected actual routes,0.34336488415323885,
262925,2,random actual routes,0.11745852190725813,0.09777582910164237
262925,2,depth-preserving ancestry shuffle,0.09712043490468945,0.06832111332842054
262925,2,depth bins,0.12709721705631083,
262925,4,dense SVD oracle,0.4936563366782645,
262925,4,morphology-selected actual routes,0.4536848413108484,
262925,4,random actual routes,0.20869807637557958,0.11175205056140433
262925,4,depth-preserving ancestry shuffle,0.14777784210066794,0.06144824802407786
262925,4,depth bins,0.15910471463013387,
262925,8,dense SVD oracle,0.6928609530455194,
262925,8,morphology-selected actual routes,0.6678127176944149,
262925,8,random actual routes,0.37101485115650656,0.11542296390527916
262925,8,depth-preserving ancestry shuffle,0.25380379349899307,0.06622222918851971
262925,8,depth bins,0.22545918856208425,
262925,16,dense SVD oracle,0.9174925139036004,
262925,16,morphology-selected actual routes,0.8915223350385664,
262925,16,random actual routes,0.6311420110718502,0.08477363404688462
262925,16,depth-preserving ancestry shuffle,0.4660767115815912,0.07174770017243684
262925,16,depth bins,0.33042386799900614,
262777,1,dense SVD oracle,0.40777710794111516,
