task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_004,quadratic_matching,balanced_p1,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_004,quadratic_matching,balanced_p2,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_004,quadratic_matching,balanced_p3,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_004,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.5,0.5,0.7500000495601744,0.25
matching_004,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.5,2.0,0.5,0.7500000003139049,0.25
matching_004,quadratic_matching,comb_p2,comb,0.75,0.75,6.409875621278546e-17,0.75,2.5,0.5,0.7500019971335266,0.0
matching_004,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.5,2.25,0.5,0.7500001322296347,0.25
matching_004,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.25,1.5,0.25,0.5,0.25
matching_004,quadratic_matching,mixed_p1,mixed,0.5,0.5,0.0,0.25,1.25,0.25,0.5000000000000019,0.25
matching_004,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_004,quadratic_matching,mixed_p3,mixed,0.4999999999999999,0.5,6.409875621278546e-17,0.5,1.5,0.5,0.5,-1.1102230246251565e-16
matching_005,quadratic_matching,balanced_p0,balanced,0.5,0.5625,0.12499999999999999,0.5,1.75,0.5,0.5,0.0
matching_005,quadratic_matching,balanced_p1,balanced,0.5,0.5625,0.12499999999999999,0.5,1.75,0.5,0.5,0.0
matching_005,quadratic_matching,balanced_p2,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_005,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_005,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.5,0.5,0.7500000000153677,0.25
matching_005,quadratic_matching,comb_p1,comb,0.75,0.7500479751358211,9.594209576672801e-05,0.5,1.75,0.5,0.7500347756989729,0.25
matching_005,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500000573155609,0.0
matching_005,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.750000057315561,0.0
matching_005,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.25,1.5,0.25,0.5,0.25
matching_005,quadratic_matching,mixed_p1,mixed,0.5,0.5,0.0,0.25,1.0,0.25,0.5,0.25
matching_005,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_005,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_006,quadratic_matching,balanced_p0,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000365345354364,0.0
matching_006,quadratic_matching,balanced_p1,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_006,quadratic_matching,balanced_p2,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_006,quadratic_matching,balanced_p3,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000365345354364,0.0
matching_006,quadratic_matching,comb_p0,comb,0.75,0.7500000000005788,1.157509273578675e-12,0.5,1.25,0.5,0.7500017603495852,0.25
