task_id,family,policy,candidate_id,normalized_mse,regret
matching_035,quadratic_matching,centered_cut_bound,balanced_p0,0.5,0.0
matching_035,quadratic_matching,centered_cut_sum,mixed_p3,0.5,0.0
matching_035,quadratic_matching,full_cut_bound,balanced_p0,0.5,0.0
matching_035,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,0.0
matching_035,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.0
matching_035,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.25
matching_035,quadratic_matching,uniform_random_expectation,average,0.6875,0.1875
matching_036,quadratic_matching,centered_cut_bound,mixed_p3,0.5,1.1102230246251565e-16
matching_036,quadratic_matching,centered_cut_sum,mixed_p1,0.4999999999999999,0.0
matching_036,quadratic_matching,full_cut_bound,mixed_p3,0.5,1.1102230246251565e-16
matching_036,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251565e-16
matching_036,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_036,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.2500000000000001
matching_036,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.14583333333333348
matching_037,quadratic_matching,centered_cut_bound,mixed_p3,0.25,0.0
matching_037,quadratic_matching,centered_cut_sum,mixed_p3,0.25,0.0
matching_037,quadratic_matching,full_cut_bound,mixed_p3,0.25,0.0
matching_037,quadratic_matching,two_sweep_pilot,mixed_p3,0.25,0.0
matching_037,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_037,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_037,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_038,quadratic_matching,centered_cut_bound,balanced_p3,0.5,0.0
matching_038,quadratic_matching,centered_cut_sum,balanced_p3,0.5,0.0
matching_038,quadratic_matching,full_cut_bound,balanced_p3,0.5,0.0
matching_038,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,0.0
