task_id,family,shape,best_assignment_nmse,oracle_shape_tied,oracle_shape_weight,n_tied_shapes
matching_022,quadratic_matching,mixed,0.25,True,1.0,1
matching_023,quadratic_matching,balanced,0.25,True,1.0,1
matching_023,quadratic_matching,comb,0.75,False,0.0,1
matching_023,quadratic_matching,mixed,0.5,False,0.0,1
matching_024,quadratic_matching,balanced,0.5,False,0.0,1
matching_024,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_024,quadratic_matching,mixed,0.25,True,1.0,1
matching_025,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_025,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_025,quadratic_matching,mixed,0.25,True,1.0,1
matching_026,quadratic_matching,balanced,0.5,False,0.0,1
matching_026,quadratic_matching,comb,0.75,False,0.0,1
matching_026,quadratic_matching,mixed,0.25,True,1.0,1
matching_027,quadratic_matching,balanced,0.5,False,0.0,1
matching_027,quadratic_matching,comb,0.75,False,0.0,1
matching_027,quadratic_matching,mixed,0.25,True,1.0,1
matching_028,quadratic_matching,balanced,0.5,True,0.5,2
matching_028,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_028,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_029,quadratic_matching,balanced,0.5,True,0.5,2
matching_029,quadratic_matching,comb,0.75,False,0.0,2
matching_029,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_030,quadratic_matching,balanced,0.2499999999999999,True,1.0,1
matching_030,quadratic_matching,comb,0.75,False,0.0,1
matching_030,quadratic_matching,mixed,0.5,False,0.0,1
matching_031,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_031,quadratic_matching,comb,0.75,False,0.0,2
matching_031,quadratic_matching,mixed,0.5,True,0.5,2
matching_032,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_032,quadratic_matching,comb,0.75,False,0.0,1
matching_032,quadratic_matching,mixed,0.25,True,1.0,1
matching_033,quadratic_matching,balanced,0.5,True,0.5,2
matching_033,quadratic_matching,comb,0.75,False,0.0,2
matching_033,quadratic_matching,mixed,0.5,True,0.5,2
matching_034,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_034,quadratic_matching,comb,0.75,False,0.0,2
matching_034,quadratic_matching,mixed,0.5,True,0.5,2
matching_035,quadratic_matching,balanced,0.5,True,0.5,2
matching_035,quadratic_matching,comb,0.75,False,0.0,2
matching_035,quadratic_matching,mixed,0.5,True,0.5,2
matching_036,quadratic_matching,balanced,0.5,True,0.5,2
matching_036,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_036,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_037,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_037,quadratic_matching,comb,0.75,False,0.0,1
matching_037,quadratic_matching,mixed,0.25,True,1.0,1
matching_038,quadratic_matching,balanced,0.5,True,0.5,2
matching_038,quadratic_matching,comb,0.75,False,0.0,2
matching_038,quadratic_matching,mixed,0.5,True,0.5,2
matching_039,quadratic_matching,balanced,0.5,False,0.0,1
matching_039,quadratic_matching,comb,0.75,False,0.0,1
matching_039,quadratic_matching,mixed,0.25,True,1.0,1
matching_040,quadratic_matching,balanced,0.5,False,0.0,1
matching_040,quadratic_matching,comb,0.75,False,0.0,1
matching_040,quadratic_matching,mixed,0.25,True,1.0,1
matching_041,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_041,quadratic_matching,comb,0.75,False,0.0,1
matching_041,quadratic_matching,mixed,0.25,True,1.0,1
matching_042,quadratic_matching,balanced,0.5,True,0.5,2
matching_042,quadratic_matching,comb,0.75,False,0.0,2
matching_042,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_043,quadratic_matching,balanced,0.25,True,1.0,1
matching_043,quadratic_matching,comb,0.75,False,0.0,1
matching_043,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_044,quadratic_matching,balanced,0.5,True,0.5,2
matching_044,quadratic_matching,comb,0.75,False,0.0,2
matching_044,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_045,quadratic_matching,balanced,0.5,True,0.5,2
matching_045,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_045,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_046,quadratic_matching,balanced,0.5,True,0.5,2
matching_046,quadratic_matching,comb,0.75,False,0.0,2
matching_046,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_047,quadratic_matching,balanced,0.5,True,0.5,2
matching_047,quadratic_matching,comb,0.75,False,0.0,2
matching_047,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_048,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_048,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_048,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_049,quadratic_matching,balanced,0.25,True,1.0,1
matching_049,quadratic_matching,comb,0.75,False,0.0,1
matching_049,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_050,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_050,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_050,quadratic_matching,mixed,0.25,True,1.0,1
matching_051,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_051,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_051,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_052,quadratic_matching,balanced,3.24841629941491e-31,True,1.0,1
matching_052,quadratic_matching,comb,0.75,False,0.0,1
matching_052,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_053,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_053,quadratic_matching,comb,0.75,False,0.0,1
matching_053,quadratic_matching,mixed,0.25,True,1.0,1
matching_054,quadratic_matching,balanced,0.2499999999999999,True,0.5,2
matching_054,quadratic_matching,comb,0.75,False,0.0,2
matching_054,quadratic_matching,mixed,0.25,True,0.5,2
matching_055,quadratic_matching,balanced,0.5,False,0.0,1
matching_055,quadratic_matching,comb,0.75,False,0.0,1
matching_055,quadratic_matching,mixed,0.25,True,1.0,1
matching_056,quadratic_matching,balanced,0.5,False,0.0,1
matching_056,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_056,quadratic_matching,mixed,0.25,True,1.0,1
matching_057,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_057,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_057,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_058,quadratic_matching,balanced,0.25,True,1.0,1
matching_058,quadratic_matching,comb,0.75,False,0.0,1
matching_058,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_059,quadratic_matching,balanced,0.25,True,1.0,1
matching_059,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_059,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_060,quadratic_matching,balanced,0.5,False,0.0,1
matching_060,quadratic_matching,comb,0.75,False,0.0,1
matching_060,quadratic_matching,mixed,0.25,True,1.0,1
matching_061,quadratic_matching,balanced,0.25,True,0.5,2
matching_061,quadratic_matching,comb,0.75,False,0.0,2
matching_061,quadratic_matching,mixed,0.25,True,0.5,2
matching_062,quadratic_matching,balanced,0.5,True,0.5,2
matching_062,quadratic_matching,comb,0.75,False,0.0,2
matching_062,quadratic_matching,mixed,0.5,True,0.5,2
matching_063,quadratic_matching,balanced,0.5,True,0.5,2
matching_063,quadratic_matching,comb,0.75,False,0.0,2
matching_063,quadratic_matching,mixed,0.5,True,0.5,2
matching_064,quadratic_matching,balanced,0.2499999999999999,True,1.0,1
matching_064,quadratic_matching,comb,0.75,False,0.0,1
matching_064,quadratic_matching,mixed,0.5,False,0.0,1
matching_065,quadratic_matching,balanced,0.4999999999999999,False,0.0,1
matching_065,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_065,quadratic_matching,mixed,0.25,True,1.0,1
matching_066,quadratic_matching,balanced,0.5,True,0.5,2
matching_066,quadratic_matching,comb,0.75,False,0.0,2
matching_066,quadratic_matching,mixed,0.5,True,0.5,2
matching_067,quadratic_matching,balanced,0.5,True,0.5,2
matching_067,quadratic_matching,comb,0.75,False,0.0,2
matching_067,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_068,quadratic_matching,balanced,0.5,False,0.0,1
matching_068,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_068,quadratic_matching,mixed,0.25,True,1.0,1
matching_069,quadratic_matching,balanced,4.3359752511971625e-31,True,1.0,1
matching_069,quadratic_matching,comb,0.75,False,0.0,1
matching_069,quadratic_matching,mixed,0.5,False,0.0,1
matching_070,quadratic_matching,balanced,0.5,False,0.0,1
matching_070,quadratic_matching,comb,0.75,False,0.0,1
matching_070,quadratic_matching,mixed,0.25,True,1.0,1
matching_071,quadratic_matching,balanced,0.5,False,0.0,1
matching_071,quadratic_matching,comb,0.75,False,0.0,1
matching_071,quadratic_matching,mixed,0.25,True,1.0,1
matching_072,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_072,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_072,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_073,quadratic_matching,balanced,0.5,True,0.5,2
matching_073,quadratic_matching,comb,0.75,False,0.0,2
matching_073,quadratic_matching,mixed,0.5,True,0.5,2
matching_074,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_074,quadratic_matching,comb,0.75,False,0.0,2
matching_074,quadratic_matching,mixed,0.5,True,0.5,2
matching_075,quadratic_matching,balanced,0.2499999999999999,True,0.5,2
matching_075,quadratic_matching,comb,0.7499999999999998,False,0.0,2
matching_075,quadratic_matching,mixed,0.25,True,0.5,2
matching_076,quadratic_matching,balanced,0.5,False,0.0,1
matching_076,quadratic_matching,comb,0.75,False,0.0,1
matching_076,quadratic_matching,mixed,0.25,True,1.0,1
matching_077,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_077,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_077,quadratic_matching,mixed,0.5,True,0.5,2
matching_078,quadratic_matching,balanced,0.5,True,0.5,2
matching_078,quadratic_matching,comb,0.75,False,0.0,2
matching_078,quadratic_matching,mixed,0.5,True,0.5,2
matching_079,quadratic_matching,balanced,0.5,False,0.0,1
matching_079,quadratic_matching,comb,0.75,False,0.0,1
matching_079,quadratic_matching,mixed,0.25,True,1.0,1
matching_080,quadratic_matching,balanced,0.5,False,0.0,1
matching_080,quadratic_matching,comb,0.75,False,0.0,1
matching_080,quadratic_matching,mixed,0.25,True,1.0,1
matching_081,quadratic_matching,balanced,0.5,True,0.5,2
matching_081,quadratic_matching,comb,0.75,False,0.0,2
matching_081,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_082,quadratic_matching,balanced,0.5,True,0.5,2
matching_082,quadratic_matching,comb,0.75,False,0.0,2
matching_082,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_083,quadratic_matching,balanced,0.5,True,0.5,2
matching_083,quadratic_matching,comb,0.75,False,0.0,2
matching_083,quadratic_matching,mixed,0.5,True,0.5,2
matching_084,quadratic_matching,balanced,0.5,False,0.0,1
matching_084,quadratic_matching,comb,0.75,False,0.0,1
matching_084,quadratic_matching,mixed,0.25,True,1.0,1
matching_085,quadratic_matching,balanced,0.25,True,1.0,1
matching_085,quadratic_matching,comb,0.75,False,0.0,1
matching_085,quadratic_matching,mixed,0.5,False,0.0,1
matching_086,quadratic_matching,balanced,0.25,True,1.0,1
matching_086,quadratic_matching,comb,0.75,False,0.0,1
matching_086,quadratic_matching,mixed,0.5,False,0.0,1
matching_087,quadratic_matching,balanced,0.5,True,0.5,2
matching_087,quadratic_matching,comb,0.75,False,0.0,2
matching_087,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_088,quadratic_matching,balanced,0.5,True,0.5,2
matching_088,quadratic_matching,comb,0.75,False,0.0,2
matching_088,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_089,quadratic_matching,balanced,3.4530737805760424e-31,True,1.0,1
matching_089,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_089,quadratic_matching,mixed,0.5,False,0.0,1
matching_090,quadratic_matching,balanced,0.5,False,0.0,1
matching_090,quadratic_matching,comb,0.75,False,0.0,1
matching_090,quadratic_matching,mixed,0.2499999999999999,True,1.0,1
matching_091,quadratic_matching,balanced,0.5,True,0.5,2
matching_091,quadratic_matching,comb,0.75,False,0.0,2
matching_091,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_092,quadratic_matching,balanced,0.4999999999999999,True,0.5,2
matching_092,quadratic_matching,comb,0.75,False,0.0,2
matching_092,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_093,quadratic_matching,balanced,0.5,True,0.5,2
matching_093,quadratic_matching,comb,0.7499999999999999,False,0.0,2
matching_093,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_094,quadratic_matching,balanced,0.5,True,1.0,1
matching_094,quadratic_matching,comb,0.75,False,0.0,1
matching_094,quadratic_matching,mixed,0.7499999999999999,False,0.0,1
matching_095,quadratic_matching,balanced,0.5,True,0.5,2
matching_095,quadratic_matching,comb,0.7499999999999998,False,0.0,2
matching_095,quadratic_matching,mixed,0.5,True,0.5,2
matching_096,quadratic_matching,balanced,0.4999999999999999,True,1.0,1
matching_096,quadratic_matching,comb,0.75,False,0.0,1
matching_096,quadratic_matching,mixed,0.75,False,0.0,1
matching_097,quadratic_matching,balanced,0.5,True,0.5,2
matching_097,quadratic_matching,comb,0.75,False,0.0,2
matching_097,quadratic_matching,mixed,0.4999999999999999,True,0.5,2
matching_098,quadratic_matching,balanced,0.5,True,1.0,1
matching_098,quadratic_matching,comb,0.75,False,0.0,1
matching_098,quadratic_matching,mixed,0.75,False,0.0,1
matching_099,quadratic_matching,balanced,0.5,True,1.0,1
matching_099,quadratic_matching,comb,0.75,False,0.0,1
matching_099,quadratic_matching,mixed,0.7499999999999999,False,0.0,1
matching_100,quadratic_matching,balanced,0.5,True,0.5,2
matching_100,quadratic_matching,comb,0.7499999999999998,False,0.0,2
matching_100,quadratic_matching,mixed,0.5,True,0.5,2
matching_101,quadratic_matching,balanced,0.5,True,1.0,1
matching_101,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_101,quadratic_matching,mixed,0.75,False,0.0,1
matching_102,quadratic_matching,balanced,0.25,True,1.0,1
matching_102,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_102,quadratic_matching,mixed,0.4999999999999999,False,0.0,1
matching_103,quadratic_matching,balanced,0.5,False,0.0,1
matching_103,quadratic_matching,comb,0.7499999999999999,False,0.0,1
matching_103,quadratic_matching,mixed,0.25,True,1.0,1
matching_104,quadratic_matching,balanced,0.4999999999999999,True,1.0,1
