task_id,family,shape,min_nmse,max_nmse,mean_nmse,assignment_spread,bound_spread
matching_013,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_013,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_014,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_014,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_014,quadratic_matching,mixed,0.25,0.75,0.5,0.5,0.5
matching_015,quadratic_matching,balanced,0.2499999999999999,0.75,0.5,0.5000000000000001,0.5
matching_015,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_015,quadratic_matching,mixed,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_016,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.25
matching_016,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_016,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_017,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.5
matching_017,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_017,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_018,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_018,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_018,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_019,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_019,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_019,quadratic_matching,mixed,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_020,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_020,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_020,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_021,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.25
matching_021,quadratic_matching,comb,0.75,0.7500000000020866,0.7500000000005231,2.0865531524805192e-12,0.25
matching_021,quadratic_matching,mixed,0.2499999999999999,0.75,0.5625,0.5000000000000001,0.5
matching_022,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_022,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_022,quadratic_matching,mixed,0.25,0.75,0.5,0.5,0.5
matching_023,quadratic_matching,balanced,0.25,0.75,0.5,0.5,0.5
matching_023,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_023,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_024,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_024,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_024,quadratic_matching,mixed,0.25,0.75,0.5,0.5,0.5
matching_025,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.25
matching_025,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_025,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_026,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_026,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_026,quadratic_matching,mixed,0.25,0.75,0.49999999986030164,0.5,0.5
matching_027,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_027,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_027,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_028,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.5
matching_028,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.2500000000000001
matching_028,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_029,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_029,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.0
matching_029,quadratic_matching,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.25
matching_030,quadratic_matching,balanced,0.2499999999999999,0.75,0.5,0.5000000000000001,0.5
matching_030,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_030,quadratic_matching,mixed,0.5,0.75,0.5625,0.25,0.5
matching_031,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.25
matching_031,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_031,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_032,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_032,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_032,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_033,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_033,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_033,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_034,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_034,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_034,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_035,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_035,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_035,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_036,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_036,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_036,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_037,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_037,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_037,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_038,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.5
matching_038,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_038,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_039,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_039,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_039,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_040,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_040,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_040,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_041,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.25
matching_041,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_041,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_042,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_042,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_042,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_043,quadratic_matching,balanced,0.25,0.75,0.5,0.5,0.5
matching_043,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_043,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.5
matching_044,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_044,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_044,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_045,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_045,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_045,quadratic_matching,mixed,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_046,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.25
matching_046,quadratic_matching,comb,0.75,0.75,0.75,0.0,1.1102230246251565e-16
matching_046,quadratic_matching,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_047,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_047,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_047,quadratic_matching,mixed,0.4999999999999999,0.7499999999999999,0.5625,0.25,0.5
matching_048,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_048,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_048,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_049,quadratic_matching,balanced,0.25,0.5,0.4375,0.25,0.25
matching_049,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_049,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_050,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_050,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_050,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_051,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_051,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_051,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_052,quadratic_matching,balanced,3.24841629941491e-31,0.75,0.4375,0.75,0.75
matching_052,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_052,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_053,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_053,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_053,quadratic_matching,mixed,0.25,0.75,0.5,0.5,0.5
matching_054,quadratic_matching,balanced,0.2499999999999999,0.5,0.4375,0.2500000000000001,0.25
matching_054,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_054,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_055,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_055,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_055,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_056,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_056,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_056,quadratic_matching,mixed,0.25,0.75,0.5,0.5,0.5
matching_057,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_057,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_057,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_058,quadratic_matching,balanced,0.25,0.75,0.5,0.5,0.5
matching_058,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_058,quadratic_matching,mixed,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_059,quadratic_matching,balanced,0.25,0.75,0.5,0.5,0.5
matching_059,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.4999999999999999
matching_059,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_060,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_060,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_060,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_061,quadratic_matching,balanced,0.25,0.75,0.5,0.5,0.5
matching_061,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_061,quadratic_matching,mixed,0.25,0.75,0.5,0.5,0.5
matching_062,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_062,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_062,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.25
matching_063,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_063,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_063,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_064,quadratic_matching,balanced,0.2499999999999999,0.75,0.5,0.5000000000000001,0.5
matching_064,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_064,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_065,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_065,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_065,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_066,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_066,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_066,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_067,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_067,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_067,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.25
matching_068,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_068,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_068,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_069,quadratic_matching,balanced,4.3359752511971625e-31,0.75,0.5,0.75,0.75
matching_069,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_069,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_070,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_070,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_070,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_071,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_071,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_071,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_072,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_072,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_072,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.25
matching_073,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_073,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_073,quadratic_matching,mixed,0.5,0.75,0.5625,0.25,0.5
matching_074,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.25
matching_074,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_074,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_075,quadratic_matching,balanced,0.2499999999999999,0.5,0.4375,0.2500000000000001,0.25
matching_075,quadratic_matching,comb,0.7499999999999998,0.75,0.75,2.220446049250313e-16,0.4999999999999999
matching_075,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_076,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_076,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_076,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_077,quadratic_matching,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
matching_077,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_077,quadratic_matching,mixed,0.5,0.75,0.5625,0.25,0.5
matching_078,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.25
matching_078,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_078,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_079,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_079,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_079,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_080,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_080,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_080,quadratic_matching,mixed,0.25,0.75,0.5625,0.5,0.5
matching_081,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.0
matching_081,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_081,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.25
matching_082,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_082,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_082,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.5
matching_083,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_083,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_083,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.25
matching_084,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_084,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_084,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_085,quadratic_matching,balanced,0.25,0.75,0.5625,0.5,0.5
matching_085,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_085,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_086,quadratic_matching,balanced,0.25,0.75,0.5625,0.5,0.5
matching_086,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.4999999999999999
matching_086,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_087,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_087,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_087,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_088,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.5
matching_088,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_088,quadratic_matching,mixed,0.4999999999999999,0.75,0.625,0.2500000000000001,0.5
matching_089,quadratic_matching,balanced,3.4530737805760424e-31,0.75,0.5,0.75,0.75
matching_089,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.4999999999999999
matching_089,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_090,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_090,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_090,quadratic_matching,mixed,0.2499999999999999,0.75,0.625,0.5000000000000001,0.5
matching_091,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_091,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_091,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.25
matching_092,quadratic_matching,balanced,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_092,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.2500000000000001
matching_092,quadratic_matching,mixed,0.4999999999999999,0.75,0.5625,0.2500000000000001,0.5
matching_093,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_093,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_093,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.25
matching_094,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_094,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.0
matching_094,quadratic_matching,mixed,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.0
matching_095,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.5
matching_095,quadratic_matching,comb,0.7499999999999998,0.75,0.75,2.220446049250313e-16,0.2500000000000001
matching_095,quadratic_matching,mixed,0.5,0.75,0.6875,0.25,0.5
matching_096,quadratic_matching,balanced,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_096,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.0
matching_096,quadratic_matching,mixed,0.75,0.75,0.75,0.0,0.0
matching_097,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_097,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.25
matching_097,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.5
matching_098,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_098,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.0
matching_098,quadratic_matching,mixed,0.75,0.75,0.75,0.0,0.0
matching_099,quadratic_matching,balanced,0.5,0.5,0.5,0.0,0.0
matching_099,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.0
matching_099,quadratic_matching,mixed,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.0
matching_100,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_100,quadratic_matching,comb,0.7499999999999998,0.75,0.75,2.220446049250313e-16,0.25
matching_100,quadratic_matching,mixed,0.5,0.75,0.625,0.25,0.5
matching_101,quadratic_matching,balanced,0.5,0.75,0.5625,0.25,0.25
matching_101,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.0
matching_101,quadratic_matching,mixed,0.75,0.75,0.75,0.0,0.0
matching_102,quadratic_matching,balanced,0.25,0.75,0.5625,0.5,0.5
matching_102,quadratic_matching,comb,0.7499999999999999,0.7500000000000033,0.7500000000000009,3.4416913763379853e-15,0.2500000000000001
matching_102,quadratic_matching,mixed,0.4999999999999999,0.75,0.6875,0.2500000000000001,0.5
matching_103,quadratic_matching,balanced,0.5,0.75,0.625,0.25,0.25
matching_103,quadratic_matching,comb,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.25
matching_103,quadratic_matching,mixed,0.25,0.75,0.625,0.5,0.5
matching_104,quadratic_matching,balanced,0.4999999999999999,0.75,0.625,0.2500000000000001,0.25
matching_104,quadratic_matching,comb,0.75,0.75,0.75,0.0,0.0
matching_104,quadratic_matching,mixed,0.7499999999999999,0.75,0.75,1.1102230246251565e-16,0.0
quartet_000,quartic_partition,balanced,5.794651091275349e-31,0.5,0.375,0.5,0.5
quartet_000,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_000,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_001,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_001,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_001,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_002,quartic_partition,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_002,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_002,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_003,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_003,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_003,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_004,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_004,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_004,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_005,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_005,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_005,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_006,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_006,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_006,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_007,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_007,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_007,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_008,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
