task_id,family,policy,candidate_id,shape,permutation_index,score_tie_count,nmse,regret,oracle_nmse
matching_004,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_004,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,7,0.5,1.1102230246251565e-16,0.4999999999999999
matching_004,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_004,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_004,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6041666666666666,0.10416666666666674,0.4999999999999999
matching_005,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.5,0.0,0.5
matching_005,quadratic_matching,centered_cut_sum,mixed_p1,mixed,1,1,0.5,0.0,0.5
matching_005,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.5,0.0,0.5
matching_005,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,4,0.5,0.0,0.5
matching_005,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.0,0.5
matching_005,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.25,0.5
matching_005,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.16666666666666663,0.5
matching_006,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_006,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_006,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_006,quadratic_matching,two_sweep_pilot,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_006,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_006,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.5,0.25
matching_006,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.41666666666666663,0.25
matching_007,quadratic_matching,centered_cut_bound,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_007,quadratic_matching,centered_cut_sum,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_007,quadratic_matching,full_cut_bound,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_007,quadratic_matching,two_sweep_pilot,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_007,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_007,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_007,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.375,0.25
matching_008,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_008,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_008,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,12,0.5,1.1102230246251565e-16,0.4999999999999999
matching_008,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_008,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_008,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.2500000000000001,0.4999999999999999
matching_008,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666670428203,0.1666666670428204,0.4999999999999999
matching_009,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_009,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_009,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_009,quadratic_matching,two_sweep_pilot,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_009,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_009,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_009,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.375,0.25
matching_010,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,5,0.5,0.0,0.5
matching_010,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,5,0.5,0.0,0.5
matching_010,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,12,0.5,0.0,0.5
matching_010,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,4,0.5,0.0,0.5
matching_010,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.0,0.5
matching_010,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.0,0.5
matching_010,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.16666666666666663,0.5
matching_011,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,7,0.5,1.1102230246251565e-16,0.4999999999999999
matching_011,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_011,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,12,0.5,1.1102230246251565e-16,0.4999999999999999
matching_011,quadratic_matching,two_sweep_pilot,balanced_p1,balanced,1,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_011,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_011,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_011,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6458333333333334,0.14583333333333348,0.4999999999999999
matching_012,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_012,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_012,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_012,quadratic_matching,two_sweep_pilot,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_012,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.7499999999999999,0.4999999999999999,0.25
matching_012,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.5,0.25
matching_012,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6875,0.4375,0.25
matching_013,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,5,0.75,0.2500000000000001,0.4999999999999999
matching_013,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,3,0.75,0.2500000000000001,0.4999999999999999
matching_013,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,12,0.75,0.2500000000000001,0.4999999999999999
matching_013,quadratic_matching,two_sweep_pilot,balanced_p3,balanced,3,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_013,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.75,0.2500000000000001,0.4999999999999999
matching_013,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.2500000000000001,0.4999999999999999
matching_013,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6875,0.1875000000000001,0.4999999999999999
matching_014,quadratic_matching,centered_cut_bound,mixed_p2,mixed,2,1,0.25,0.0,0.25
matching_014,quadratic_matching,centered_cut_sum,mixed_p2,mixed,2,1,0.25,0.0,0.25
matching_014,quadratic_matching,full_cut_bound,mixed_p2,mixed,2,1,0.25,0.0,0.25
matching_014,quadratic_matching,two_sweep_pilot,mixed_p2,mixed,2,1,0.25,0.0,0.25
matching_014,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_014,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_014,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6041666666666666,0.35416666666666663,0.25
matching_015,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.2499999999999999,0.0,0.2499999999999999
matching_015,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_015,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,4,0.2499999999999999,0.0,0.2499999999999999
matching_015,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_015,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_015,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.2500000000000001,0.2499999999999999
matching_015,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6041666666666666,0.35416666666666674,0.2499999999999999
matching_016,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,4,0.4999999999999999,0.0,0.4999999999999999
matching_016,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,2,0.4999999999999999,0.0,0.4999999999999999
matching_016,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,6,0.4999999999999999,0.0,0.4999999999999999
matching_016,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,4,0.4999999999999999,0.0,0.4999999999999999
matching_016,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.4999999999999999,0.0,0.4999999999999999
matching_016,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_016,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.1250000000000001,0.4999999999999999
matching_017,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6458333333333334,0.14583333333333348,0.4999999999999999
matching_018,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.5,0.0,0.5
matching_018,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,1,0.5,0.0,0.5
matching_018,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.5,0.0,0.5
matching_018,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,3,0.5,0.0,0.5
matching_018,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.0,0.5
matching_018,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.25,0.5
matching_018,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.16666666666666663,0.5
matching_019,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_019,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_019,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_019,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,7,0.5,1.1102230246251565e-16,0.4999999999999999
matching_019,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_019,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.4999999999999999,0.0,0.4999999999999999
matching_019,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6041666666666666,0.10416666666666674,0.4999999999999999
matching_020,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.4999999999999999,0.0,0.4999999999999999
matching_020,quadratic_matching,centered_cut_sum,mixed_p1,mixed,1,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_020,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.4999999999999999,0.0,0.4999999999999999
matching_020,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_020,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_020,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.2500000000000001,0.4999999999999999
matching_020,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6666666666666666,0.16666666666666674,0.4999999999999999
matching_021,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_021,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_021,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_021,quadratic_matching,two_sweep_pilot,mixed_p0,mixed,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_021,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.2500000000000001,0.2499999999999999
matching_021,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.5000000000000001,0.2499999999999999
matching_021,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6250000000001744,0.3750000000001745,0.2499999999999999
matching_022,quadratic_matching,centered_cut_bound,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_022,quadratic_matching,centered_cut_sum,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_022,quadratic_matching,full_cut_bound,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_022,quadratic_matching,two_sweep_pilot,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_022,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_022,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_022,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.5833333333333334,0.33333333333333337,0.25
matching_023,quadratic_matching,centered_cut_bound,balanced_p1,balanced,1,2,0.25,0.0,0.25
matching_023,quadratic_matching,centered_cut_sum,balanced_p1,balanced,1,1,0.25,0.0,0.25
matching_023,quadratic_matching,full_cut_bound,balanced_p1,balanced,1,3,0.25,0.0,0.25
matching_023,quadratic_matching,two_sweep_pilot,balanced_p1,balanced,1,1,0.25,0.0,0.25
matching_023,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_023,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.5,0.25
matching_023,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.375,0.25
matching_024,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,2,0.25,0.0,0.25
matching_024,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,2,0.25,0.0,0.25
matching_024,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,2,0.25,0.0,0.25
matching_024,quadratic_matching,two_sweep_pilot,mixed_p0,mixed,0,2,0.25,0.0,0.25
matching_024,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_024,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_024,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.5833333333333334,0.33333333333333337,0.25
matching_025,quadratic_matching,centered_cut_bound,mixed_p1,mixed,1,1,0.25,0.0,0.25
matching_025,quadratic_matching,centered_cut_sum,mixed_p1,mixed,1,1,0.25,0.0,0.25
matching_025,quadratic_matching,full_cut_bound,mixed_p1,mixed,1,1,0.25,0.0,0.25
matching_025,quadratic_matching,two_sweep_pilot,mixed_p1,mixed,1,1,0.25,0.0,0.25
matching_025,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_025,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_025,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.375,0.25
matching_026,quadratic_matching,centered_cut_bound,mixed_p1,mixed,1,2,0.25,0.0,0.25
matching_026,quadratic_matching,centered_cut_sum,mixed_p1,mixed,1,1,0.25,0.0,0.25
matching_026,quadratic_matching,full_cut_bound,mixed_p1,mixed,1,2,0.25,0.0,0.25
matching_026,quadratic_matching,two_sweep_pilot,mixed_p1,mixed,1,1,0.25,0.0,0.25
matching_026,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_026,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.25,0.25
matching_026,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6041666666201005,0.35416666662010055,0.25
matching_027,quadratic_matching,centered_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_027,quadratic_matching,centered_cut_sum,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_027,quadratic_matching,full_cut_bound,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_027,quadratic_matching,two_sweep_pilot,mixed_p0,mixed,0,1,0.25,0.0,0.25
matching_027,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.25,0.25
matching_027,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.5,0.25
matching_027,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.375,0.25
matching_028,quadratic_matching,centered_cut_bound,balanced_p1,balanced,1,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_028,quadratic_matching,centered_cut_sum,balanced_p1,balanced,1,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_028,quadratic_matching,full_cut_bound,balanced_p1,balanced,1,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_028,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_028,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_028,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.2500000000000001,0.4999999999999999
matching_028,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6458333333333334,0.14583333333333348,0.4999999999999999
matching_029,quadratic_matching,centered_cut_bound,mixed_p2,mixed,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_029,quadratic_matching,centered_cut_sum,mixed_p2,mixed,2,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_029,quadratic_matching,full_cut_bound,mixed_p2,mixed,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_029,quadratic_matching,two_sweep_pilot,balanced_p1,balanced,1,6,0.5,1.1102230246251565e-16,0.4999999999999999
matching_029,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_029,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_029,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.5833333333333334,0.08333333333333348,0.4999999999999999
matching_030,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.2499999999999999,0.0,0.2499999999999999
matching_030,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_030,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,4,0.2499999999999999,0.0,0.2499999999999999
matching_030,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_030,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.2499999999999999,0.0,0.2499999999999999
matching_030,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,0.2500000000000001,0.2499999999999999
matching_030,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6041666666666666,0.35416666666666674,0.2499999999999999
matching_031,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_031,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_031,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,6,0.5,1.1102230246251565e-16,0.4999999999999999
matching_031,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_031,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_031,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.5,1.1102230246251565e-16,0.4999999999999999
matching_031,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.1250000000000001,0.4999999999999999
matching_032,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,3,0.4999999999999999,0.2499999999999999,0.25
matching_032,quadratic_matching,centered_cut_sum,balanced_p0,balanced,0,1,0.4999999999999999,0.2499999999999999,0.25
matching_032,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,4,0.4999999999999999,0.2499999999999999,0.25
matching_032,quadratic_matching,two_sweep_pilot,mixed_p3,mixed,3,1,0.25,0.0,0.25
matching_032,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.4999999999999999,0.2499999999999999,0.25
matching_032,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.4999999999999999,0.2499999999999999,0.25
matching_032,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.625,0.375,0.25
matching_033,quadratic_matching,centered_cut_bound,mixed_p3,mixed,3,1,0.5,0.0,0.5
matching_033,quadratic_matching,centered_cut_sum,mixed_p3,mixed,3,1,0.5,0.0,0.5
matching_033,quadratic_matching,full_cut_bound,mixed_p3,mixed,3,1,0.5,0.0,0.5
matching_033,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,3,0.5,0.0,0.5
matching_033,quadratic_matching,fixed_balanced_p0,balanced_p0,balanced,0,1,0.5,0.0,0.5
matching_033,quadratic_matching,best_fixed_in_hindsight,balanced_p2,balanced,2,1,0.75,0.25,0.5
matching_033,quadratic_matching,uniform_random_expectation,all12_expectation,mixed_expectation,-1,12,0.6875,0.1875,0.5
matching_034,quadratic_matching,centered_cut_bound,balanced_p0,balanced,0,6,0.4999999999999999,0.0,0.4999999999999999
matching_034,quadratic_matching,centered_cut_sum,balanced_p1,balanced,1,2,0.5,1.1102230246251565e-16,0.4999999999999999
matching_034,quadratic_matching,full_cut_bound,balanced_p0,balanced,0,12,0.4999999999999999,0.0,0.4999999999999999
matching_034,quadratic_matching,two_sweep_pilot,balanced_p0,balanced,0,5,0.4999999999999999,0.0,0.4999999999999999
