task_id,method,seconds,calibration_preparation_seconds
s6103_r1_n000_a250,observed_count_cheapest,0.0009955160785466433,0.000581895001232624
s6103_r1_n000_a500,observed_count_cheapest,0.001043273019604385,0.0007435370935127139
s6103_r1_n750_a000,observed_count_cheapest,0.0010542719392105937,0.000705457990989089
s6103_r1_n750_a250,observed_count_cheapest,0.0010203329147771,0.0006314150523394346
s6103_r1_n750_a500,observed_count_cheapest,0.0010164609411731362,0.0006055949488654733
s6103_r2_n000_a000,observed_count_cheapest,0.0010498709743842483,0.0005850039888173342
s6103_r2_n000_a250,observed_count_cheapest,0.0010613190243020654,0.000899279024451971
s6103_r2_n000_a500,observed_count_cheapest,0.000983990030363202,0.0006095640128478408
s6103_r2_n750_a000,observed_count_cheapest,0.009127099066972733,0.0005901269614696503
s6103_r2_n750_a250,observed_count_cheapest,0.0009847679175436497,0.0007174640195444226
s6103_r2_n750_a500,observed_count_cheapest,0.0009989629033952951,0.0007171370089054108
s6103_r4_n000_a000,observed_count_cheapest,0.0009264459367841482,0.0006618440384045243
s6103_r4_n000_a250,observed_count_cheapest,0.0008798870258033276,0.0006657850462943316
s6103_r4_n000_a500,observed_count_cheapest,0.000889963936060667,0.0006726370193064213
s6103_r4_n750_a000,observed_count_cheapest,0.0009023119928315282,0.0006232119631022215
s6103_r4_n750_a250,observed_count_cheapest,0.0008852010359987617,0.0006365550216287374
s6103_r4_n750_a500,observed_count_cheapest,0.0008934499928727746,0.0007024320075288415
s6103_r8_n000_a000,observed_count_cheapest,0.0008307050447911024,0.0006218329071998596
s6103_r8_n000_a250,observed_count_cheapest,0.00083254708442837,0.0006754619535058737
s6103_r8_n000_a500,observed_count_cheapest,0.0008204149780794978,0.0006584810325875878
s6103_r8_n750_a000,observed_count_cheapest,0.0008831430459395051,0.0006236949702724814
s6103_r8_n750_a250,observed_count_cheapest,0.000801323913037777,0.0006018540589138865
s6103_r8_n750_a500,observed_count_cheapest,0.0008172179805114865,0.0006017170380800962
s6104_r1_n000_a000,observed_count_cheapest,0.0010247869649901986,0.0005879310192540288
s6104_r1_n000_a250,observed_count_cheapest,0.001019650953821838,0.0006485949270427227
s6104_r1_n000_a500,observed_count_cheapest,0.0009938079165294766,0.0006354930810630322
s6104_r1_n750_a000,observed_count_cheapest,0.0010329500073567033,0.0006362349959090352
s6104_r1_n750_a250,observed_count_cheapest,0.0010239160619676113,0.0006308699958026409
s6104_r1_n750_a500,observed_count_cheapest,0.0010309329954907298,0.0006108609959483147
s6104_r2_n000_a000,observed_count_cheapest,0.0010251130443066359,0.0005884739803150296
s6104_r2_n000_a250,observed_count_cheapest,0.0009367539314553142,0.0005900919204577804
s6104_r2_n000_a500,observed_count_cheapest,0.0009227669797837734,0.0005815150216221809
s6104_r2_n750_a000,observed_count_cheapest,0.0010087949922308326,0.000612011062912643
s6104_r2_n750_a250,observed_count_cheapest,0.0009580299956724048,0.0006059590959921479
s6104_r2_n750_a500,observed_count_cheapest,0.0009267509449273348,0.0006309709278866649
s6104_r4_n000_a000,observed_count_cheapest,0.0009230870055034757,0.0006119089666754007
s6104_r4_n000_a250,observed_count_cheapest,0.000912279007025063,0.0006054729456081986
s6104_r4_n000_a500,observed_count_cheapest,0.0008122760336846113,0.000578761100769043
s6104_r4_n750_a000,observed_count_cheapest,0.0008500040275976062,0.0005746809765696526
s6104_r4_n750_a250,observed_count_cheapest,0.0009190120035782456,0.0006997839082032442
s6104_r4_n750_a500,observed_count_cheapest,0.0008918259991332889,0.0006864949828013778
s6104_r8_n000_a000,observed_count_cheapest,0.0009088140213862062,0.0006550669204443693
s6104_r8_n000_a250,observed_count_cheapest,0.0008170580258592963,0.0006489510415121913
s6104_r8_n000_a500,observed_count_cheapest,0.0008156170370057225,0.0006639260100200772
s6104_r8_n750_a000,observed_count_cheapest,0.0009021890582516789,0.0006516440771520138
s6104_r8_n750_a250,observed_count_cheapest,0.0008269259706139565,0.000682587968185544
s6104_r8_n750_a500,observed_count_cheapest,0.000818706932477653,0.0006571089616045356
