calibration_samples,cue_noise_sd,cue_delay_trials,control,mean_pp,ci95_low_pp,ci95_high_pp,positive_seeds,p_wilcoxon,primary_family_holm_p
16,1,1,oracle_context,-61.3720703125,-62.03125,-60.7299804688,0,8.83238586308e-05,
16,1,1,frozen_profile,0.2490234375,0.0634765625,0.43701171875,14,0.0226859330924,
16,1,1,mismatched_encoder,0.0634765625,-0.185546875,0.3466796875,8,0.940299031465,
16,1,4,oracle_context,-61.4111328125,-62.109375,-60.751953125,0,1.90734863281e-06,
16,1,4,frozen_profile,0.2099609375,0.10986328125,0.3173828125,17,0.00158152702891,
16,1,4,mismatched_encoder,0.0146484375,-0.234375,0.25390625,13,0.895950680291,
64,0,0,oracle_context,-5.2294921875,-5.869140625,-4.65087890625,0,8.80736803528e-05,
64,0,0,frozen_profile,56.3916015625,55.7250976562,57.0556640625,20,8.83238586308e-05,
64,0,0,mismatched_encoder,56.3256835938,55.6665039062,56.9995117188,20,8.80736803528e-05,
64,0,1,oracle_context,-61.1352539062,-61.8823242188,-60.4150390625,0,8.73263779183e-05,
64,0,1,frozen_profile,0.48583984375,0.26611328125,0.673828125,17,0.0016860305107,
64,0,1,mismatched_encoder,0.2099609375,-0.04638671875,0.46875,11,0.125330754963,
64,0,4,oracle_context,-61.23046875,-61.9751586914,-60.517578125,0,8.83238586308e-05,
64,0,4,frozen_profile,0.390625,0.224609375,0.55419921875,18,0.0010074877497,
64,0,4,mismatched_encoder,0.15869140625,-0.07568359375,0.39306640625,13,0.304122234474,
64,0.5,0,oracle_context,-58.9013671875,-59.6801757812,-58.1713867188,0,1.90734863281e-06,
64,0.5,0,frozen_profile,2.7197265625,2.2705078125,3.18121337891,20,8.84491502121e-05,
64,0.5,0,mismatched_encoder,2.7197265625,2.255859375,3.1787109375,20,8.83238586308e-05,
64,0.5,1,oracle_context,-61.2841796875,-61.9702148438,-60.6249389648,0,8.83238586308e-05,
64,0.5,1,frozen_profile,0.3369140625,0.166015625,0.51025390625,15,0.00316663973749,
64,0.5,1,mismatched_encoder,0.17578125,-0.0048828125,0.3564453125,11,0.100072807523,
64,0.5,4,oracle_context,-61.3989257812,-62.1387329102,-60.7055664062,0,8.84491502121e-05,
64,0.5,4,frozen_profile,0.22216796875,0.09765625,0.33935546875,16,0.00598240623955,
64,0.5,4,mismatched_encoder,0.09521484375,-0.107421875,0.283203125,12,0.278545860799,
64,1,0,oracle_context,-60.9912109375,-61.7749633789,-60.2465820312,0,1.90734863281e-06,
64,1,0,frozen_profile,0.6298828125,0.44189453125,0.84228515625,19,0.000110198647355,
64,1,0,mismatched_encoder,0.478515625,0.2783203125,0.69580078125,19,0.000384767989209,
64,1,1,oracle_context,-61.435546875,-62.1484375,-60.732421875,0,8.81987020419e-05,
64,1,1,frozen_profile,0.185546875,0.05615234375,0.3271484375,15,0.0107938468202,
64,1,1,mismatched_encoder,-0.078125,-0.341796875,0.1953125,8,0.339374777327,
64,1,4,oracle_context,-61.3623046875,-62.0556640625,-60.6811523438,0,1.90734863281e-06,
64,1,4,frozen_profile,0.2587890625,0.09765625,0.42236328125,14,0.0110307526202,
64,1,4,mismatched_encoder,0.10986328125,-0.146484375,0.3515625,14,0.313125611663,
256,0,0,oracle_context,-0.3125,-0.42236328125,-0.1953125,3,0.000477010933544,
256,0,0,frozen_profile,61.30859375,60.6517944336,61.9799804688,20,8.80736803528e-05,
256,0,0,mismatched_encoder,61.0864257812,60.4760742188,61.7431640625,20,8.84491502121e-05,
256,0,1,oracle_context,-60.6884765625,-61.4282226562,-59.9633789062,0,8.84491502121e-05,
256,0,1,frozen_profile,0.9326171875,0.693359375,1.14990234375,19,0.00013938343897,
256,0,1,mismatched_encoder,0.2734375,-0.0537109375,0.61279296875,12,0.191179107104,
256,0,4,oracle_context,-60.771484375,-61.5087890625,-60.0830078125,0,8.79487934705e-05,
256,0,4,frozen_profile,0.849609375,0.7275390625,0.9814453125,20,8.74505921565e-05,
256,0,4,mismatched_encoder,0.224609375,-0.0732421875,0.52490234375,13,0.178653119649,
256,0.5,0,oracle_context,-54.4653320312,-55.4467773438,-53.5400390625,0,8.84491502121e-05,0.000176898300424
256,0.5,0,frozen_profile,7.15576171875,6.25732421875,8.06890869141,20,1.90734863281e-06,5.72204589844e-06
256,0.5,0,mismatched_encoder,7.09716796875,6.18896484375,7.98583984375,20,8.84491502121e-05,0.000176898300424
256,0.5,1,oracle_context,-61.1791992188,-61.8994140625,-60.4956054688,0,8.81987020419e-05,
256,0.5,1,frozen_profile,0.44189453125,0.24169921875,0.64208984375,16,0.00148443722853,
256,0.5,1,mismatched_encoder,0.17578125,-0.048828125,0.39306640625,12,0.197206707256,
256,0.5,4,oracle_context,-61.26953125,-62.03125,-60.517578125,0,8.83238586308e-05,
256,0.5,4,frozen_profile,0.3515625,0.16845703125,0.52490234375,16,0.00204993571979,
256,0.5,4,mismatched_encoder,0.078125,-0.185546875,0.344299316406,10,0.68084906836,
256,1,0,oracle_context,-61.0205078125,-61.7944335938,-60.2954101562,0,8.83238586308e-05,
256,1,0,frozen_profile,0.6005859375,0.4638671875,0.72998046875,19,0.000118622908146,
256,1,0,mismatched_encoder,0.6396484375,0.46630859375,0.80810546875,19,0.000128699477621,
256,1,1,oracle_context,-61.552734375,-62.294921875,-60.8495483398,0,8.84491502121e-05,
256,1,1,frozen_profile,0.068359375,-0.03173828125,0.1611328125,12,0.120107278232,
256,1,1,mismatched_encoder,-0.0634765625,-0.2685546875,0.1318359375,9,0.680822714482,
256,1,4,oracle_context,-61.474609375,-62.1216430664,-60.8178710938,0,8.84491502121e-05,
256,1,4,frozen_profile,0.146484375,0,0.29052734375,12,0.0695136318596,
256,1,4,mismatched_encoder,0.0244140625,-0.17333984375,0.205078125,12,0.667222645191,
