calibration_samples,cue_noise_sd,cue_delay_trials,method,mean_accuracy,mean_loss,mean_coefficient_accuracy,n_seeds
64,0.5,1,oracle_context,0.802905273437,0.426767740089,1,20
64,0.5,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,0.5,4,learned_local_cue,0.188916015625,15.395391773,0.248413085938,20
64,0.5,4,mismatched_encoder,0.187963867187,15.7028578081,0.251586914062,20
64,0.5,4,oracle_context,0.802905273437,0.426767740089,1,20
64,1,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,1,0,learned_local_cue,0.192993164062,11.2549363245,0.389404296875,20
64,1,0,mismatched_encoder,0.188208007812,17.0674049223,0.207861328125,20
64,1,0,oracle_context,0.802905273437,0.426767740089,1,20
64,1,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,1,1,learned_local_cue,0.188549804687,15.9442452855,0.251440429688,20
64,1,1,mismatched_encoder,0.189331054688,15.8179958244,0.250219726563,20
64,1,1,oracle_context,0.802905273437,0.426767740089,1,20
64,1,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
64,1,4,learned_local_cue,0.189282226562,15.8866156191,0.251611328125,20
64,1,4,mismatched_encoder,0.18818359375,15.9166108225,0.25048828125,20
64,1,4,oracle_context,0.802905273437,0.426767740089,1,20
256,0,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0,0,learned_local_cue,0.799780273438,0.437519859765,1,20
256,0,0,mismatched_encoder,0.188916015625,18.5946213183,0,20
256,0,0,oracle_context,0.802905273437,0.426767740089,1,20
256,0,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0,1,learned_local_cue,0.196020507812,10.8455596935,0.247241210938,20
256,0,1,mismatched_encoder,0.193286132813,10.9645317213,0.253076171875,20
256,0,1,oracle_context,0.802905273437,0.426767740089,1,20
256,0,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0,4,learned_local_cue,0.195190429688,10.8385051676,0.249072265625,20
256,0,4,mismatched_encoder,0.192944335937,10.9875309451,0.248974609375,20
256,0,4,oracle_context,0.802905273437,0.426767740089,1,20
256,0.5,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0.5,0,learned_local_cue,0.258251953125,1.7177970614,0.663745117187,20
256,0.5,0,mismatched_encoder,0.187280273438,18.1820470932,0.111987304687,20
256,0.5,0,oracle_context,0.802905273437,0.426767740089,1,20
256,0.5,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0.5,1,learned_local_cue,0.19111328125,14.235158306,0.249731445312,20
256,0.5,1,mismatched_encoder,0.18935546875,14.2207312393,0.251879882813,20
256,0.5,1,oracle_context,0.802905273437,0.426767740089,1,20
256,0.5,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,0.5,4,learned_local_cue,0.190209960938,13.9985878704,0.247924804688,20
256,0.5,4,mismatched_encoder,0.189428710937,14.3245179028,0.249682617188,20
256,0.5,4,oracle_context,0.802905273437,0.426767740089,1,20
256,1,0,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,1,0,learned_local_cue,0.192700195312,11.836877441,0.438208007813,20
256,1,0,mismatched_encoder,0.186303710938,18.5479347614,0.1892578125,20
256,1,0,oracle_context,0.802905273437,0.426767740089,1,20
256,1,1,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,1,1,learned_local_cue,0.187377929688,17.2129375516,0.249951171875,20
256,1,1,mismatched_encoder,0.188012695313,17.0916960574,0.253588867188,20
256,1,1,oracle_context,0.802905273437,0.426767740089,1,20
256,1,4,frozen_profile,0.186694335938,20.3446900737,0.25,20
256,1,4,learned_local_cue,0.188159179688,17.0978261359,0.249487304687,20
256,1,4,mismatched_encoder,0.187915039063,17.2165674276,0.250415039063,20
256,1,4,oracle_context,0.802905273437,0.426767740089,1,20
