panel,task,optimizer,rule,rate,validation_nmse,original_grid
D,aligned_strong,sgd,exact,0.1,0.0001694274330487,True
D,aligned_strong,sgd,exact,0.3,0.0001246667774274,True
D,aligned_strong,sgd,exact,1.0,8.599807263371747e-05,False
D,aligned_strong,sgd,exact,3.0,2.1889707527888254e-05,False
D,aligned_strong,sgd,exact,10.0,1.4457165333188096,False
D,aligned_strong,sgd,ancestry_three_oracle,0.03,0.0005407011185411,True
D,aligned_strong,sgd,ancestry_three_oracle,0.1,0.0001664648256331,True
D,aligned_strong,sgd,ancestry_three_oracle,0.3,0.0001203634103714,True
D,aligned_strong,sgd,ancestry_three_oracle,1.0,7.403818572147146e-05,False
D,aligned_strong,sgd,ancestry_three_oracle,3.0,1.642548880464987e-05,False
D,aligned_strong,sgd,ancestry_three_oracle,10.0,1.09813929416702,False
D,aligned_strong,sgd,unit_broadcast,0.03,0.0003020861186703,True
D,aligned_strong,sgd,unit_broadcast,0.1,0.000262104903747,True
D,aligned_strong,sgd,unit_broadcast,0.3,0.0002167652648333,True
D,aligned_strong,sgd,unit_broadcast,1.0,0.0001972722941263,False
D,aligned_strong,sgd,unit_broadcast,3.0,0.1505946323936036,False
D,aligned_strong,sgd,unit_broadcast,10.0,1.4457165333188096,False
D,aligned_strong,sgd,calibrated_broadcast,0.03,0.0009014006702674,True
D,aligned_strong,sgd,calibrated_broadcast,0.1,0.0003097924019733,True
D,aligned_strong,sgd,calibrated_broadcast,0.3,0.0002623893733406,True
D,aligned_strong,sgd,calibrated_broadcast,1.0,0.0001954997661246,False
D,aligned_strong,sgd,calibrated_broadcast,3.0,0.0001708138033768,False
D,aligned_strong,sgd,calibrated_broadcast,10.0,0.4781400149517688,False
