seed,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,cohort,run_dir,checkpoint_sha256
55,dendritic_additive,per_soma,scalar_fallback,0.098936315043514,0.1118098080158233,0.1051631751132943,0.2385595091994994,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_13,0fa0998c4a1f15904bf5f3c38465d9518642bfb71322a13ef7a6e487658c86d3
56,dendritic_additive,per_soma,neuron_wise,0.3760635108491814,0.4909796953201294,0.3427523896624204,1.6523350282560645,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_14,61fa4d3a4a7388ff242720381f6b58bb84702ce20cfbe3b0cb49c179c489b753
56,dendritic_additive,per_soma,scalar_fallback,0.0665398592540467,0.1281570125371217,0.0524835035136441,0.3882763174538688,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_14,61fa4d3a4a7388ff242720381f6b58bb84702ce20cfbe3b0cb49c179c489b753
42,dendritic_additive,per_soma_shared,neuron_wise,0.6620153522871405,0.7439867734909058,0.6979835554375797,1.9273097229059488,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_15,7a161607452453af1372981e6feee18f7675f58a5aeea001ce660250ff4546f6
42,dendritic_additive,per_soma_shared,scalar_fallback,-0.0781113792415634,-0.0990787841379642,-0.1160938775355139,0.0965273701204402,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_15,7a161607452453af1372981e6feee18f7675f58a5aeea001ce660250ff4546f6
43,dendritic_additive,per_soma_shared,neuron_wise,0.6575108746893378,0.724585211277008,0.6807714939368084,2.1550185581437327,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_16,e5d4a52b48a18b6d1fb512a6494a403bc8250ecf03e12b9007068efef0f7cfd6
43,dendritic_additive,per_soma_shared,scalar_fallback,-0.0202448977761534,-0.0408238768577575,-0.0600136567793935,0.1309798921037448,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_16,e5d4a52b48a18b6d1fb512a6494a403bc8250ecf03e12b9007068efef0f7cfd6
44,dendritic_additive,per_soma_shared,neuron_wise,0.623138776822869,0.6928896307945251,0.6557598868375712,1.756996741502025,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_17,84decb231e1125af80f1cd7c4d4272520e80c1dc5d47cc5b0bf37495b4a25aba
44,dendritic_additive,per_soma_shared,scalar_fallback,-0.0570713515229434,-0.0448571309447288,-0.0456896196311763,0.0589750561274987,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_17,84decb231e1125af80f1cd7c4d4272520e80c1dc5d47cc5b0bf37495b4a25aba
45,dendritic_additive,per_soma_shared,neuron_wise,0.7213953692124659,0.7807255268096924,0.735348404549488,1.5708486724061272,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_18,4ca69ad70a486085082cd68a77c0e8c465a87293465a0730681c20708e84b723
45,dendritic_additive,per_soma_shared,scalar_fallback,-0.0180937498190488,-0.0135052450001239,-0.0388617008007055,0.0600153333535325,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_18,4ca69ad70a486085082cd68a77c0e8c465a87293465a0730681c20708e84b723
46,dendritic_additive,per_soma_shared,neuron_wise,0.6114350058358029,0.6907112121582031,0.6346373096472417,1.749569407882004,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_19,722c47bbffb0de19352fd0e6caaa1af9b0074ab30a5fcdef89932522664ad485
46,dendritic_additive,per_soma_shared,scalar_fallback,0.0200279299956393,0.0047101214528083,0.0206506953852198,0.0945410584871351,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_19,722c47bbffb0de19352fd0e6caaa1af9b0074ab30a5fcdef89932522664ad485
47,dendritic_additive,per_soma_shared,neuron_wise,0.6471293315089557,0.71116623878479,0.6555040379675539,1.8483803635843248,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_20,aa09ac3c8501f7b3e8b60fe24bc8fbef3d58d098e0bc093afc36069c149f438e
47,dendritic_additive,per_soma_shared,scalar_fallback,0.0206209965070999,0.0232145067304372,0.0228734886648826,0.1268929459987011,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_20,aa09ac3c8501f7b3e8b60fe24bc8fbef3d58d098e0bc093afc36069c149f438e
48,dendritic_additive,per_soma_shared,neuron_wise,0.617718432946984,0.688491141796112,0.6428450879031665,1.8424431411015436,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_21,666be5c10e1e41c2f353867969448111765a9876022343ce6868bd6b79ca4b99
48,dendritic_additive,per_soma_shared,scalar_fallback,0.0722289349263407,0.0872711233794689,0.0803037357811406,0.1674049207615222,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_21,666be5c10e1e41c2f353867969448111765a9876022343ce6868bd6b79ca4b99
49,dendritic_additive,per_soma_shared,neuron_wise,0.6007030199248478,0.708284568786621,0.64723162575955,1.8496721431096168,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_22,51c861f03333d344bfe5cc59924346c59495fe489a73b28082ec78e5a5712518
49,dendritic_additive,per_soma_shared,scalar_fallback,-0.0026248163789273,0.0047137917950749,-0.0193188498592435,0.1071541894228133,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_22,51c861f03333d344bfe5cc59924346c59495fe489a73b28082ec78e5a5712518
50,dendritic_additive,per_soma_shared,neuron_wise,0.5866118127511317,0.6656643390655518,0.6206398095741753,1.9078592014740785,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_23,5b45aa5b36be2c1557ab4acf0571574bc28b4b579f76fdb501e854227578d45f
50,dendritic_additive,per_soma_shared,scalar_fallback,0.0121880996535973,0.0609662774950265,0.0436776031228768,0.1058855353065914,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_23,5b45aa5b36be2c1557ab4acf0571574bc28b4b579f76fdb501e854227578d45f
51,dendritic_additive,per_soma_shared,neuron_wise,0.599823091666537,0.6728479146957398,0.6065536971979409,2.0501713173685974,clean_current_code,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_24,fc0bd3e7f231aa8b02889f10fe4b167c75f6874f9046b6aba584cfc59ef9e501
