task,budget,rate,rule,n,mean,median,minimum,maximum,ci_low,ci_high,mean_fixed_endpoint,max_best_step,min_changed_parameters,inhibitory_gain0_changed,inhibitory_gain1_changed
aligned_strong,16384,0.1,ancestry_two_leaf_oracle_unit_proximal,20,9.807845043832101e-08,7.227603582219026e-08,2.146093858258415e-09,5.710932722686031e-07,5.087604315659668e-08,1.625397328025501e-07,1.8475500811551553e-05,16384,24,20,20
aligned_strong,16384,0.1,calibrated_broadcast,20,0.00025698484965328233,6.104925663330391e-05,6.255274886614595e-06,0.0009479770059060171,0.0001323715646561424,0.00039527162965776103,0.0005559310611730492,16384,24,20,20
aligned_strong,16384,0.1,exact,20,5.843598903761636e-07,1.5209597144645014e-07,3.8872488092697885e-08,4.471700894941677e-06,1.7110312108750029e-07,1.1278439299978148e-06,2.4554258128946016e-05,16384,24,20,20
aligned_strong,16384,0.1,hard_distal_and_proximal,20,3.3418143530946396e-06,1.9557987882678594e-07,7.3303868079167754e-09,3.405592531726983e-05,3.86092871844691e-07,7.617802815253623e-06,0.004044311397695662,16384,22,0,0
aligned_strong,16384,0.1,hard_distal_unit_proximal,20,2.2115385710959744e-07,6.339577426339838e-08,1.521505029889142e-08,2.1062521075190005e-06,6.146268256459644e-08,4.648166318081247e-07,2.584171205046371e-05,16384,24,20,20
aligned_strong,16384,0.1,shunt_proportional_unit_proximal,20,2.9956912799829184e-07,8.725146038895771e-08,3.765721361028199e-09,3.3019900706486787e-06,9.401851125827982e-08,6.481779066483107e-07,0.00020933332073724505,16384,24,20,20
aligned_strong,16384,0.1,swapped_distal_unit_proximal,20,0.004332892883561534,0.002724675689982594,7.903863241572226e-05,0.010892980288415911,0.002730963424617484,0.006025157810880064,0.027758049072583356,4096,24,20,20
aligned_strong,16384,0.1,unit_broadcast,20,0.00025834790453583477,6.116472779373301e-05,2.03833555193816e-06,0.0009496934122355449,0.00013530609860759995,0.00039633325458595053,0.0005477237321159062,16384,24,20,20
opposed_strong,4096,0.01,ancestry_three_oracle,20,7.328596240894971e-05,7.698216503576846e-05,2.8438110163842886e-05,0.0001265916793890133,6.285191758882979e-05,8.408192509581942e-05,7.328596240894971e-05,4096,24,20,20
opposed_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,20,7.387063377076579e-05,7.869312908048948e-05,2.8379022805780638e-05,0.00012761382576573395,6.327027609462853e-05,8.476004719627676e-05,7.387063377076579e-05,4096,24,20,20
