task,budget,rate,left,right,seed,difference
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090814,2.2385310078883438e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090815,-3.979870377273572e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090816,4.913806579448514e-07
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090817,1.9492381262597227e-06
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090818,-2.2415054907002632e-07
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090819,-6.559995941587003e-07
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,2026090820,4.943462389079506e-07
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090801,2.4411306887443443e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090802,1.530929907029919e-05
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090803,-1.3952549978482621e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090804,-7.295033506219565e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090805,-1.0065092347315544e-05
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090806,-3.1332986436230135e-07
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090807,2.0029957907099833e-05
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090808,-1.686482325013002e-05
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090809,3.8922603375275325e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090810,-5.682379776818988e-05
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090811,-6.635711056945095e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090812,-1.0869242070179535e-05
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090813,-5.534874904071735e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090814,-9.174032785544384e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090815,-1.1871838965446382e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090816,3.60324009144449e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090817,8.738169565723953e-08
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090818,3.133482996531007e-06
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090819,-4.7626480174772056e-07
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,exact,2026090820,-3.0759278286131343e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090801,-4.358351801296724e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090802,2.535096476582381e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090803,6.74664257353936e-07
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090804,3.326901316794347e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090805,-8.969903019303019e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090806,-4.9503667841356005e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090807,4.394085538980778e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090808,-2.772821043401879e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090809,-1.5323961755430668e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090810,-3.58634640659638e-05
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090811,2.0813342102021928e-07
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090812,-1.5835336884810612e-05
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090813,-9.327157172260423e-07
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090814,2.5038480587792e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090815,-3.9914464178737684e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090816,5.707173834281264e-07
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090817,2.218323030854356e-06
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090818,-2.7710455676211056e-07
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090819,-6.87849900913097e-07
aligned_strong,4096,0.01,ancestry_three_oracle,exact,2026090820,5.953231200998991e-07
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090801,3.1980771154124094e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090802,-7.768294343272857e-08
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090803,4.104338155772698e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090804,7.701340949076846e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090805,3.139309965981144e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090806,7.498169428236945e-08
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090807,1.1682886788338346e-07
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090808,2.101422028120796e-08
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090809,-4.5844860120073e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090810,-2.206109899253149e-10
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090811,1.7311445994065732e-08
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090812,9.968471466426728e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090813,2.1313096063187154e-08
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090814,-5.867332141841486e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090815,2.2312389071500304e-09
