task,budget,rate,left,right,n,mean,ci_low,ci_high,positive,negative
opposed_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,20,-5.51046730939546e-06,-1.1719639833922128e-05,-3.997474169612536e-07,10,10
opposed_strong,4096,0.01,shunt_proportional_unit_proximal,exact,20,-1.0648455237791312e-06,-8.153046874238252e-06,5.335080141911587e-06,14,6
opposed_strong,4096,0.01,ancestry_three_oracle,exact,20,-6.095138671211515e-06,-1.2335857335903035e-05,-8.893479229393678e-07,10,10
opposed_strong,4096,0.01,calibrated_broadcast,unit_broadcast,20,-1.36068239066367e-07,-6.732815170766571e-07,2.3874128859908967e-07,10,10
opposed_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,20,0.48737346437810763,0.3576259665535992,0.6144721862783497,20,0
opposed_strong,4096,0.03,hard_distal_unit_proximal,exact,20,1.4885535243430202e-06,-1.6040586151092687e-06,4.857309109337419e-06,11,9
opposed_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.9492333749852525,0.9074539765845012,0.9808121726155595,20,0
opposed_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,20,0.12318090287709611,0.08215024233459123,0.17171429690530984,20,0
opposed_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,20,1.0097873590408954e-06,-2.6153037474540643e-07,2.91202648488209e-06,15,5
opposed_strong,4096,0.03,shunt_proportional_unit_proximal,exact,20,1.4299532812606158e-06,-1.700971743444471e-06,4.77641196233231e-06,11,9
opposed_strong,4096,0.03,ancestry_three_oracle,exact,20,7.126329609127852e-07,-7.222258045175947e-07,2.714787335893093e-06,13,7
opposed_strong,4096,0.03,calibrated_broadcast,unit_broadcast,20,2.5711320156752983e-06,1.803237674806794e-08,7.0959406744999596e-06,11,9
opposed_strong,4096,0.1,unit_broadcast,hard_distal_unit_proximal,20,0.49737283412067235,0.36478034751944394,0.6274380165500787,20,0
opposed_strong,4096,0.1,hard_distal_unit_proximal,exact,20,2.0402037576487992e-06,-4.051766918893038e-06,8.063853322482405e-06,12,8
opposed_strong,4096,0.1,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.9493308173097696,0.9085722275881325,0.9810242747948505,20,0
opposed_strong,4096,0.1,hard_distal_and_proximal,hard_distal_unit_proximal,20,0.1275262897460156,0.08685326741023607,0.17131995796975016,20,0
opposed_strong,4096,0.1,ancestry_two_leaf_oracle_unit_proximal,exact,20,2.4643008413350103e-06,-2.9577193260289784e-06,8.245425725493056e-06,13,7
opposed_strong,4096,0.1,shunt_proportional_unit_proximal,exact,20,-2.2100042592264876e-06,-6.490642881149714e-06,1.5939490499037901e-06,10,10
opposed_strong,4096,0.1,ancestry_three_oracle,exact,20,1.5199415140958067e-06,-4.685160675112024e-06,7.98285104752963e-06,10,10
opposed_strong,4096,0.1,calibrated_broadcast,unit_broadcast,20,-4.707191298098279e-06,-1.4308050130561063e-05,1.926971787411207e-06,10,10
opposed_strong,16384,0.01,unit_broadcast,hard_distal_unit_proximal,20,0.4848123267746104,0.35621668451290256,0.614426330013049,20,0
opposed_strong,16384,0.01,hard_distal_unit_proximal,exact,20,8.507456602433412e-08,-8.644050589785903e-08,2.93224144924547e-07,5,15
opposed_strong,16384,0.01,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.9487700003195417,0.9074026533053828,0.9803494650407542,20,0
opposed_strong,16384,0.01,hard_distal_and_proximal,hard_distal_unit_proximal,20,0.1335286295070925,0.08969250708543346,0.18082517216371138,20,0
opposed_strong,16384,0.01,ancestry_two_leaf_oracle_unit_proximal,exact,20,-7.232912839831775e-08,-1.2709486606991773e-07,-1.5356754700264075e-08,4,16
opposed_strong,16384,0.01,shunt_proportional_unit_proximal,exact,20,7.619007377588665e-08,-7.560828199648626e-08,2.761456211936154e-07,7,13
opposed_strong,16384,0.01,ancestry_three_oracle,exact,20,-5.6765200342350623e-08,-1.0106295257692084e-07,-1.4983129148539513e-08,7,13
opposed_strong,16384,0.01,calibrated_broadcast,unit_broadcast,20,1.7235012651620195e-06,-9.716891179106097e-08,5.131944127383068e-06,12,8
opposed_strong,16384,0.03,unit_broadcast,hard_distal_unit_proximal,20,0.4683843733519047,0.3334075404633448,0.603591943974054,20,0
opposed_strong,16384,0.03,hard_distal_unit_proximal,exact,20,-5.592584579056047e-07,-1.8072692190699796e-06,3.5097627520007535e-07,5,15
opposed_strong,16384,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.9483695103326568,0.9063476110477893,0.979892400694804,20,0
opposed_strong,16384,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,20,0.12320389495753534,0.08266003124420701,0.17233727379738414,20,0
opposed_strong,16384,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,20,-6.062111192614068e-07,-1.7805280424955562e-06,1.239678974330326e-07,6,14
opposed_strong,16384,0.03,shunt_proportional_unit_proximal,exact,20,-7.388480109426494e-07,-1.885582603546656e-06,-6.76745292284555e-08,6,14
opposed_strong,16384,0.03,ancestry_three_oracle,exact,20,-7.748113554839352e-07,-1.9150938034363047e-06,-1.0361654120281784e-07,1,19
opposed_strong,16384,0.03,calibrated_broadcast,unit_broadcast,20,4.553292341718564e-07,-5.476431673910342e-06,6.583462989555751e-06,11,9
