cohort,seed,alignment_alpha,depth,branch_factors,test_accuracy,test_auc
prospective_intermediate,10201,0.25,2,2x3,0.5870000123977661,0.623113214969635
prospective_intermediate,10202,0.25,2,2x3,0.5946999788284302,0.6287358999252319
prospective_intermediate,10203,0.25,2,2x3,0.5866999626159668,0.6174349188804626
prospective_intermediate,10204,0.25,2,2x3,0.5726000070571899,0.6105160713195801
prospective_intermediate,10205,0.25,2,2x3,0.5888999700546265,0.6222832202911377
prospective_intermediate,10206,0.25,2,2x3,0.5841000080108643,0.6190447211265564
prospective_intermediate,10207,0.25,2,2x3,0.5812000036239624,0.6115205883979797
prospective_intermediate,10208,0.25,2,2x3,0.5791000127792358,0.6080886125564575
prospective_intermediate,10209,0.25,2,2x3,0.5777999758720398,0.6150087714195251
prospective_intermediate,10200,0.5,2,2x3,0.590499997138977,0.6254068613052368
prospective_intermediate,10201,0.5,2,2x3,0.5968999862670898,0.6329478621482849
prospective_intermediate,10202,0.5,2,2x3,0.6031999588012695,0.6398726105690002
prospective_intermediate,10203,0.5,2,2x3,0.5916999578475952,0.629165768623352
prospective_intermediate,10204,0.5,2,2x3,0.5848000049591064,0.6224768161773682
prospective_intermediate,10205,0.5,2,2x3,0.5977999567985535,0.6335934400558472
prospective_intermediate,10206,0.5,2,2x3,0.5938000082969666,0.6309605240821838
prospective_intermediate,10207,0.5,2,2x3,0.5898999571800232,0.624895453453064
prospective_intermediate,10208,0.5,2,2x3,0.5888999700546265,0.620563805103302
prospective_intermediate,10209,0.5,2,2x3,0.5931000113487244,0.6290121078491211
prospective_intermediate,10200,0.75,2,2x3,0.613599956035614,0.6524354815483093
prospective_intermediate,10201,0.75,2,2x3,0.6196999549865723,0.6574408411979675
prospective_intermediate,10202,0.75,2,2x3,0.6190999746322632,0.6639786958694458
prospective_intermediate,10203,0.75,2,2x3,0.6096999645233154,0.6569264531135559
prospective_intermediate,10204,0.75,2,2x3,0.6039999723434448,0.6487406492233276
prospective_intermediate,10205,0.75,2,2x3,0.6132999658584595,0.65980464220047
prospective_intermediate,10206,0.75,2,2x3,0.6123999953269958,0.6561514139175415
prospective_intermediate,10207,0.75,2,2x3,0.6096000075340271,0.6530596613883972
prospective_intermediate,10208,0.75,2,2x3,0.6069999933242798,0.6480652689933777
prospective_intermediate,10209,0.75,2,2x3,0.6144999861717224,0.6564428806304932
prospective_intermediate,10200,0.25,3,2x1x2,0.583299994468689,0.6146467924118042
prospective_intermediate,10201,0.25,3,2x1x2,0.5837000012397766,0.6223595142364502
prospective_intermediate,10202,0.25,3,2x1x2,0.5949000120162964,0.6284112930297852
prospective_intermediate,10203,0.25,3,2x1x2,0.5856999754905701,0.6171687841415405
prospective_intermediate,10204,0.25,3,2x1x2,0.5748999714851379,0.610906720161438
prospective_intermediate,10205,0.25,3,2x1x2,0.5898999571800232,0.6217873692512512
prospective_intermediate,10206,0.25,3,2x1x2,0.5856999754905701,0.6197484135627747
prospective_intermediate,10207,0.25,3,2x1x2,0.5821999907493591,0.6138235330581665
prospective_intermediate,10208,0.25,3,2x1x2,0.582099974155426,0.6082806587219238
prospective_intermediate,10209,0.25,3,2x1x2,0.5809999704360962,0.6157608032226562
prospective_intermediate,10200,0.5,3,2x1x2,0.5949000120162964,0.6283679604530334
prospective_intermediate,10201,0.5,3,2x1x2,0.5968999862670898,0.6372734308242798
prospective_intermediate,10202,0.5,3,2x1x2,0.6031000018119812,0.6407614946365356
prospective_intermediate,10203,0.5,3,2x1x2,0.5911999940872192,0.6321319937705994
prospective_intermediate,10204,0.5,3,2x1x2,0.5856999754905701,0.6258493065834045
prospective_intermediate,10205,0.5,3,2x1x2,0.5952999591827393,0.6358407735824585
prospective_intermediate,10206,0.5,3,2x1x2,0.5981999635696411,0.6364626288414001
prospective_intermediate,10207,0.5,3,2x1x2,0.5947999954223633,0.6320157051086426
prospective_intermediate,10208,0.5,3,2x1x2,0.5911999940872192,0.6239889860153198
prospective_intermediate,10209,0.5,3,2x1x2,0.5911999940872192,0.6321980357170105
prospective_intermediate,10200,0.75,3,2x1x2,0.6225999593734741,0.6674515008926392
prospective_intermediate,10201,0.75,3,2x1x2,0.6283999681472778,0.6761395335197449
prospective_intermediate,10202,0.75,3,2x1x2,0.6304000020027161,0.6771963238716125
prospective_intermediate,10203,0.75,3,2x1x2,0.6236000061035156,0.6743133068084717
prospective_intermediate,10204,0.75,3,2x1x2,0.6209999918937683,0.6684550642967224
prospective_intermediate,10205,0.75,3,2x1x2,0.6255999803543091,0.6736827492713928
prospective_intermediate,10206,0.75,3,2x1x2,0.6283000111579895,0.6760129332542419
prospective_intermediate,10207,0.75,3,2x1x2,0.6287999749183655,0.6763359904289246
prospective_intermediate,10208,0.75,3,2x1x2,0.6191999912261963,0.665464460849762
prospective_intermediate,10209,0.75,3,2x1x2,0.6265000104904175,0.6747036576271057
