seed,condition_id,architecture,feedback_family,budget_k,train_loss,train_accuracy,heldout_loss,heldout_accuracy,retained_context_loss_before_switch,retained_context_accuracy_before_switch,retained_context_accuracy_after_switch,retained_context_forgetting,initial_gradient_cosine,initial_gradient_capture,norm_matched_one_step_progress
4209,degree_depth_matched_rewired_tree__correct_ancestry_subtrees__k8,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4209,degree_depth_matched_rewired_tree__within_neuron_route_derangement__k8,degree_depth_matched_rewired_tree,within_neuron_route_derangement,8,10.94204882,0.2216796875,10.30416055,0.2197265625,10.12322832,0.20703125,0.2060546875,0.0009765625,0,0,-0.9111440395
4209,degree_depth_matched_rewired_tree__depth_interleaved_bins__k8,degree_depth_matched_rewired_tree,depth_interleaved_bins,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4209,degree_depth_matched_rewired_tree__random_sparse_matched__k8,degree_depth_matched_rewired_tree,random_sparse_matched,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4209,degree_depth_matched_rewired_tree__random_rank_k__k8,degree_depth_matched_rewired_tree,random_rank_k,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4209,degree_depth_matched_rewired_tree__learned_rank_k_upper_bound__k8,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4209,degree_depth_matched_rewired_tree__neuron_indexed_shared__k1,degree_depth_matched_rewired_tree,neuron_indexed_shared,1,20.53693367,0.1845703125,19.82369809,0.19140625,19.13962556,0.1953125,0.203125,-0.0078125,0.3618007218,0.1308997623,-1.089517381
4209,degree_depth_matched_rewired_tree__exact_compartment_transport__k8,degree_depth_matched_rewired_tree,exact_compartment_transport,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4209,degree_depth_matched_rewired_tree__backpropagation__k8,degree_depth_matched_rewired_tree,backpropagation,8,0.3654345517,0.83203125,0.4251577045,0.8017578125,0.4346788879,0.798828125,0.798828125,0,1,1,1
4210,dendritic_tree__correct_ancestry_subtrees__k1,dendritic_tree,correct_ancestry_subtrees,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,dendritic_tree__within_neuron_route_derangement__k1,dendritic_tree,within_neuron_route_derangement,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,dendritic_tree__depth_interleaved_bins__k1,dendritic_tree,depth_interleaved_bins,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,dendritic_tree__random_sparse_matched__k1,dendritic_tree,random_sparse_matched,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,dendritic_tree__random_rank_k__k1,dendritic_tree,random_rank_k,1,1.452959718,0.4375,1.457236467,0.4438476562,1.493555735,0.3662109375,0.3388671875,0.02734375,0.2746545557,0.07543512494,0.4757586752
4210,dendritic_tree__learned_rank_k_upper_bound__k1,dendritic_tree,learned_rank_k_upper_bound,1,0.6455702236,0.5805664062,0.6472119545,0.5756835938,0.6908235785,0.5107421875,0.5107421875,0,0.3783119136,0.143119904,0.35442028
4210,dendritic_tree__correct_ancestry_subtrees__k2,dendritic_tree,correct_ancestry_subtrees,2,0.7195713901,0.5400390625,0.7473725462,0.5185546875,0.7358777146,0.505859375,0.505859375,0,0.5162463138,0.2665102565,-0.04012561543
4210,dendritic_tree__within_neuron_route_derangement__k2,dendritic_tree,within_neuron_route_derangement,2,32.32150677,0.18359375,31.80641997,0.1831054688,30.9102534,0.17578125,0.1767578125,-0.0009765625,0,0,-1.123480197
4210,dendritic_tree__depth_interleaved_bins__k2,dendritic_tree,depth_interleaved_bins,2,5.861483059,0.2075195312,5.833216827,0.19921875,5.873823744,0.2021484375,0.18359375,0.0185546875,0.513353173,0.2635314803,-1.003577515
4210,dendritic_tree__random_sparse_matched__k2,dendritic_tree,random_sparse_matched,2,5.597987997,0.2065429688,5.546405385,0.205078125,4.908060722,0.205078125,0.1826171875,0.0224609375,0.5115227778,0.2616555522,-1.005984979
4210,dendritic_tree__random_rank_k__k2,dendritic_tree,random_rank_k,2,3.284889544,0.3559570312,3.253688047,0.353515625,3.187032415,0.3447265625,0.337890625,0.0068359375,0.4523496794,0.2046202325,-0.03405432315
