seed,condition,train_balanced,test_balanced,train_context_label_correlation,test_context_label_correlation,route_matrix_00,route_matrix_01,route_matrix_10,route_matrix_11,fallback_count,scalar_replacement_rate
4105,within_neuron_deranged_k2,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4105,random_dense_rank2,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4105,exact_transport,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4105,backpropagation,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4105,gated_point_emulation,True,True,0,0,-0.6548914821,-0.7557229298,0.7557229298,-0.6548914821,0,0
4106,neuron_shared_k1,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,depth_shared_k1,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,correct_subtree_k2,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,within_neuron_deranged_k2,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,random_dense_rank2,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,exact_transport,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,backpropagation,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4106,gated_point_emulation,True,True,0,0,-0.4842145558,-0.8749492922,0.8749492922,-0.4842145558,0,0
4107,neuron_shared_k1,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,depth_shared_k1,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,correct_subtree_k2,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,within_neuron_deranged_k2,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,random_dense_rank2,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,exact_transport,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,backpropagation,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4107,gated_point_emulation,True,True,0,0,-0.2622345346,-0.9650041704,0.9650041704,-0.2622345346,0,0
4108,neuron_shared_k1,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,depth_shared_k1,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,correct_subtree_k2,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,within_neuron_deranged_k2,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,random_dense_rank2,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,exact_transport,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,backpropagation,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4108,gated_point_emulation,True,True,0,0,-0.3775206473,-0.9260011668,0.9260011668,-0.3775206473,0,0
4109,neuron_shared_k1,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,depth_shared_k1,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,correct_subtree_k2,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,within_neuron_deranged_k2,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,random_dense_rank2,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,exact_transport,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,backpropagation,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
4109,gated_point_emulation,True,True,0,0,0.6705536118,-0.7418610744,0.7418610744,0.6705536118,0,0
