cohort,root_id,scale,n_modes,actual_energy_fraction,isotropic_energy_fraction,isotropic_enrichment,shuffled_energy_fraction_mean,shuffled_energy_fraction_sd,actual_minus_shuffled,actual_over_shuffled
public_v661_47,864691136275165965,fine,7,0.050548103797582795,0.3333333333333333,0.1516443113927484,0.14179247462428063,0.06340222690368072,-0.09124437082669784,0.3564935581491495
public_v661_47,864691136371808392,coarse,4,0.29132938692155474,0.12903225806451613,2.2578027486420496,0.2693931703345831,0.09069389622777849,0.021936216586971646,1.0814282580353731
public_v661_47,864691136371808392,intermediate,13,0.48764991441159194,0.41935483870967744,1.1628574882122578,0.5580498179643341,0.079967236304462,-0.07039990355274212,0.8738465612092692
public_v661_47,864691136371808392,fine,14,0.22102069866685334,0.45161290322580644,0.489402975619461,0.17255701170108284,0.07616604139026564,0.0484636869657705,1.2808560862755505
public_v661_47,864691136389026167,coarse,5,0.5466816913196261,0.22727272727272727,2.4053994418063547,0.49401556120867196,0.13159388088674512,0.05266613011095411,1.106608241210256
public_v661_47,864691136389026167,intermediate,9,0.3438313221851694,0.4090909090909091,0.840476565341525,0.37374233382919964,0.10366373629862413,-0.02991101164403026,0.9199688958497819
public_v661_47,864691136389026167,fine,8,0.10948698649520451,0.36363636363636365,0.3010892128618124,0.1322421049621284,0.06155363328787477,-0.022755118466923893,0.8279283404219819
public_v661_47,864691136419314071,coarse,6,0.3261972987443364,0.3157894736842105,1.0329581126903986,0.667650841380609,0.18767127915112636,-0.34145354263627264,0.48857468384194014
public_v661_47,864691136419314071,intermediate,5,0.44696548363713506,0.2631578947368421,1.6984688378211132,0.20064076749713355,0.12524579942675967,0.2463247161400015,2.2276902606222366
public_v661_47,864691136419314071,fine,8,0.2268372176185285,0.42105263157894735,0.5387383918440053,0.13170839112225743,0.10017587141025204,0.09512882649627108,1.7222685334297978
public_v661_47,864691136486753554,coarse,6,0.4246474692291945,0.20689655172413793,2.052462767941107,0.48109580017150344,0.17575551625978766,-0.056448330942308944,0.8826671716481708
public_v661_47,864691136486753554,intermediate,8,0.3624387997249677,0.27586206896551724,1.313840649003008,0.3021291597378287,0.11159977564329242,0.06030963998713895,1.1996154228856042
public_v661_47,864691136486753554,fine,15,0.21291373104583816,0.5172413793103449,0.4116332133552871,0.21677504009066775,0.11295228265610482,-0.0038613090448295917,0.9821874831935699
public_v661_47,864691136619341965,coarse,5,0.6216246258058854,0.3333333333333333,1.8648738774176563,0.5576194375527569,0.13444433552104107,0.06400518825312851,1.1147829217253082
public_v661_47,864691136619341965,intermediate,6,0.31967018369812794,0.4,0.7991754592453199,0.38638993977167607,0.12514065341933842,-0.06671975607354813,0.8273253281051419
public_v661_47,864691136619341965,fine,4,0.05870519049598681,0.26666666666666666,0.22014446435995055,0.05599062267556703,0.03450409491001971,0.002714567820419782,1.0484825438743397
public_v661_47,864691136663284190,coarse,5,0.7479058038553352,0.2631578947368421,2.842042054650274,0.6305433626544643,0.14649200223110898,0.11736244120087092,1.186129056543864
public_v661_47,864691136663284190,intermediate,5,0.14046560942929961,0.2631578947368421,0.5337693158313386,0.23746225357428094,0.1065775937380204,-0.09699664414498133,0.5915281579072539
public_v661_47,864691136663284190,fine,9,0.11162858671536498,0.47368421052631576,0.23566034973243719,0.13199438377125464,0.0672544426174378,-0.02036579705588966,0.8457070939383039
public_v661_47,864691136673975943,coarse,5,0.3291056352118416,0.18518518518518517,1.7771704301439448,0.2452222349522922,0.04842208623079655,0.0838834002595494,1.3420709393496428
public_v661_47,864691136673975943,intermediate,15,0.6222532542886067,0.5555555555555556,1.120055857719492,0.647934239875265,0.05783114416987347,-0.025680985586658323,0.960364827159617
public_v661_47,864691136673975943,fine,7,0.048641110499551596,0.25925925925925924,0.18761571192684187,0.10684352517244278,0.05569062493465804,-0.05820241467289118,0.45525557511366327
public_v661_47,864691136953057759,coarse,5,0.30277058642695315,0.10869565217391304,2.785489395127969,0.20805634244530605,0.03286231033026399,0.0947142439816471,1.4552336298353683
public_v661_47,864691136953057759,intermediate,16,0.4809225406074697,0.34782608695652173,1.3826523042464753,0.5400892291333858,0.05109535018601773,-0.059166688525916056,0.890450160206206
public_v661_47,864691136953057759,fine,25,0.21630687296557718,0.5434782608695652,0.39800464625666204,0.25185442842130823,0.06882866220886051,-0.035547555455731045,0.8588567384796338
public_v661_47,864691137197373249,coarse,4,0.6401460626360103,0.21052631578947367,3.040693797521049,0.527997673802153,0.13298735767669378,0.11214838883385725,1.2124031873592696
public_v661_47,864691137197373249,intermediate,7,0.32329080367653734,0.3684210526315789,0.8775036099791729,0.35520470371134527,0.10572302034263563,-0.03191390003480793,0.9101534982466264
public_v661_47,864691137197373249,fine,8,0.03656313368745253,0.42105263157894735,0.08683744250769976,0.11679762248650181,0.06126707902987619,-0.08023448879904929,0.3130469003483191
original_8,864691135060651419,coarse,5,0.0993862855842505,0.03937007874015748,2.524411653839963,0.06660578016637714,0.012613048140553862,0.03278050541787336,1.4921570670892177
original_8,864691135060651419,intermediate,16,0.31833105492916897,0.12598425196850394,2.5267527485002788,0.2049565014626795,0.03493632588682457,0.11337455346648947,1.5531639770262855
original_8,864691135060651419,fine,106,0.5822826594865804,0.8346456692913385,0.6976405448565633,0.7284377183709434,0.034399808087146745,-0.14615505888436298,0.7993581946700675
original_8,864691135196576298,coarse,4,0.39852917808619376,0.2,1.9926458904309687,0.3316360062648265,0.047776620755869845,0.06689317182136728,1.2017066016889313
original_8,864691135196576298,intermediate,13,0.5950904605613554,0.65,0.9155237854790083,0.6470750599762167,0.04390530120289102,-0.05198459941486133,0.9196621804327121
original_8,864691135196576298,fine,3,0.006380361352450889,0.15,0.0425357423496726,0.0212889337589567,0.015298186067106251,-0.01490857240650581,0.29970318968025056
original_8,864691135277186789,coarse,6,0.24042796265963465,0.06382978723404255,3.7667047483342766,0.10634816034419323,0.016572680445310455,0.13407980231544142,2.260762780300998
original_8,864691135277186789,intermediate,18,0.41638571535161006,0.19148936170212766,2.1744587357250746,0.3152975456832337,0.03177863275927277,0.10108816966837636,1.320611977645825
original_8,864691135277186789,fine,70,0.3431863219887552,0.7446808510638298,0.4608502038134713,0.578354293972573,0.03412120884447237,-0.23516797198381778,0.5933842379408875
original_8,864691135324623260,coarse,6,0.32307089997142213,0.18181818181818182,1.7768899498428217,0.2732665481701,0.03975759268454312,0.049804351801322144,1.1822555747669505
original_8,864691135324623260,intermediate,14,0.5889422085997051,0.42424242424242425,1.3882209202707334,0.5593937401805549,0.04056036035287011,0.029548468419150264,1.0528223079679313
original_8,864691135324623260,fine,13,0.08798689142887288,0.3939393939393939,0.223351339780985,0.16733971164934508,0.05748593965558085,-0.0793528202204722,0.5257980342003131
original_8,864691135409937097,coarse,6,0.1893423092366887,0.08695652173913043,2.1774365562219202,0.1421077809650445,0.024365274843824558,0.047234528271644205,1.332385235705446
original_8,864691135409937097,intermediate,18,0.4622672010811274,0.2608695652173913,1.7720242708109883,0.42392620227007394,0.06413324688053254,0.03834099881105346,1.0904426256403639
original_8,864691135409937097,fine,45,0.3483904896821837,0.6521739130434783,0.534198750846015,0.43396601676488156,0.07315807235446285,-0.08557552708269783,0.8028059254025373
original_8,864691135739661169,coarse,4,0.3266972647733319,0.12903225806451613,2.531903801993322,0.23545609835778497,0.052083541858553406,0.09124116641554691,1.387508189645198
original_8,864691135739661169,intermediate,17,0.6048794092292415,0.5483870967741935,1.1030153933003817,0.6615048607959845,0.046094889833122044,-0.056625451566742924,0.9143990393379636
original_8,864691135739661169,fine,10,0.06842332599742659,0.3225806451612903,0.21211231059202246,0.10303904084623058,0.035746846912680624,-0.03461571484880399,0.6640524352273188
original_8,864691135810666525,coarse,6,0.14266578507875827,0.05217391304347826,2.7344275473428667,0.08796832307597258,0.007969448183116176,0.05469746200278569,1.6217858893996082
original_8,864691135810666525,intermediate,15,0.3875698624301873,0.13043478260869565,2.971368945298103,0.21494353733824478,0.018300447202295216,0.17262632509194253,1.8031240540174511
original_8,864691135810666525,fine,94,0.4697643524910544,0.8173913043478261,0.5747117078348005,0.6970881395857826,0.020415836098307365,-0.22732378709472822,0.6738952017892508
original_8,864691136043380566,coarse,6,0.25463462188503666,0.1111111111111111,2.29171159696533,0.18991239937970072,0.025703554973393328,0.06472222250533594,1.340800404379778
original_8,864691136043380566,intermediate,16,0.5321096220792816,0.2962962962962963,1.7958699745175755,0.49022060322660266,0.08004220447775258,0.04188901885267893,1.0854493233800617
