cohort,root_id,n_excitatory_coordinates,n_inhibitory_routes,basis_rank,orthonormality_error,energy_decomposition_relative_error,scalar_energy_fraction_removed,scale_mode_count
public_v661_47,864691136066697624,38,50,38,2.220446049250313e-16,1.3441981204040338e-16,0.07111478614418032,37
public_v661_47,864691136066733720,23,50,23,2.220446049250313e-16,3.778715543344754e-16,0.06579281928349323,22
public_v661_47,864691136100511093,28,67,28,2.220446049250313e-16,0.0,0.10941261589153417,27
public_v661_47,864691136109892792,28,43,28,4.440892098500626e-16,1.1438612333341962e-16,0.06112524711255063,27
public_v661_47,864691136137737085,21,25,21,2.220446049250313e-16,1.3179635512418274e-16,0.06526912357098869,20
public_v661_47,864691136195348812,136,148,136,4.440892098500626e-16,1.6410635974294547e-16,0.1080335382713673,135
public_v661_47,864691136275165965,22,31,22,2.220446049250313e-16,1.1794740724055484e-16,0.09459129780266051,21
public_v661_47,864691136371808392,32,40,32,2.220446049250313e-16,0.0,0.06904186434850967,31
public_v661_47,864691136389026167,23,65,23,2.220446049250313e-16,0.0,0.09780653625168234,22
public_v661_47,864691136419314071,20,49,20,2.220446049250313e-16,0.0,0.0756610165135927,19
public_v661_47,864691136486753554,30,54,30,2.220446049250313e-16,3.347178342284283e-16,0.09371199827603593,29
public_v661_47,864691136619341965,16,56,16,2.220446049250313e-16,2.374777515531897e-16,0.12643265308790896,15
public_v661_47,864691136663284190,20,53,20,4.440892098500626e-16,0.0,0.146066931296578,19
public_v661_47,864691136673975943,28,32,28,2.220446049250313e-16,0.0,0.06618466020113689,27
public_v661_47,864691136953057759,47,91,47,2.220446049250313e-16,1.3179274194639134e-16,0.06982339947629002,46
public_v661_47,864691137197373249,20,43,20,4.440892098500626e-16,0.0,0.22173028538247264,19
