seed,effective_sample_size,parameterization,optimizer,route_rank,address_residual,checkpoint,population_loss,field_estimation_error,coefficient_norm,gram_condition_number,gram_lambda_max
9100,64,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,20,0.02729497662,0.05458995324,0.6900822553,15,30
9100,64,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,80,0.03902460388,0.07804920776,0.7314778408,15,30
9100,64,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,1,0.4749817377,0.9499634754,0.004390193168,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,5,0.4286299607,0.8572599214,0.009019185408,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,20,0.3318794005,0.6637588009,0.02733120862,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,80,0.2311292552,0.4622585105,0.05944485739,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,1,0.3679764052,0.7359528105,0.06049931641,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,5,0.1203434971,0.2406869942,0.149574779,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,20,0.02729497662,0.05458995324,0.2660136909,388.5198166,807.7404929
9100,64,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,80,0.03902460388,0.07804920776,0.3567122638,388.5198166,807.7404929
9100,256,tree_haar,vanilla_local,8,5.402835347e-32,1,0.3532697006,0.7065394013,0.1861015915,1,1
9100,256,tree_haar,vanilla_local,8,5.402835347e-32,5,0.06231811822,0.1246362364,0.6868077575,1,1
9100,256,tree_haar,vanilla_local,8,5.402835347e-32,20,0.01155878155,0.02311756311,1.024821231,1,1
9100,256,tree_haar,vanilla_local,8,5.402835347e-32,80,0.005116964541,0.01023392908,0.9593429435,1,1
9100,256,tree_haar,gram_preconditioned_control,8,5.402835347e-32,1,0.3532697006,0.7065394013,0.1861015915,1,1
9100,256,tree_haar,gram_preconditioned_control,8,5.402835347e-32,5,0.06231811822,0.1246362364,0.6868077575,1,1
9100,256,tree_haar,gram_preconditioned_control,8,5.402835347e-32,20,0.01155878155,0.02311756311,1.024821231,1,1
9100,256,tree_haar,gram_preconditioned_control,8,5.402835347e-32,80,0.005116964541,0.01023392908,0.9593429435,1,1
9100,256,raw_nested_indicators,vanilla_local,8,3.490085986e-31,1,0.4828544182,0.9657088363,0.01227772755,15,30
9100,256,raw_nested_indicators,vanilla_local,8,3.490085986e-31,5,0.4117744307,0.8235488615,0.05924864978,15,30
9100,256,raw_nested_indicators,vanilla_local,8,3.490085986e-31,20,0.2558040058,0.5116080115,0.1758545881,15,30
9100,256,raw_nested_indicators,vanilla_local,8,3.490085986e-31,80,0.04752002734,0.09504005468,0.4518558255,15,30
9100,256,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,1,0.3532697006,0.7065394013,0.1182751455,15,30
9100,256,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,5,0.06231811822,0.1246362364,0.4416379487,15,30
9100,256,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,20,0.01155878155,0.02311756311,0.6982010636,15,30
9100,256,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,80,0.005116964541,0.01023392908,0.6136006394,15,30
9100,256,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,1,0.4699673233,0.9399346467,0.002889434729,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,5,0.4072190024,0.8144380049,0.0105567058,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,20,0.3269003418,0.6538006836,0.02660696186,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,80,0.2207089623,0.4414179245,0.06115332233,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,1,0.3532697006,0.7065394013,0.03921095747,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,5,0.06231811822,0.1246362364,0.1896597044,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,20,0.01155878155,0.02311756311,0.2729045892,388.5198166,807.7404929
9100,256,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,80,0.005116964541,0.01023392908,0.2542325106,388.5198166,807.7404929
9101,4,tree_haar,vanilla_local,8,1.59190147e-31,1,0.2069122529,0.4138245058,0.5724990243,1,1
9101,4,tree_haar,vanilla_local,8,1.59190147e-31,5,0.7777129857,1.555425971,1.56194982,1,1
9101,4,tree_haar,vanilla_local,8,1.59190147e-31,20,0.1481142141,0.2962284281,1.330768932,1,1
9101,4,tree_haar,vanilla_local,8,1.59190147e-31,80,0.5984606863,1.196921373,1.65766809,1,1
9101,4,tree_haar,gram_preconditioned_control,8,1.59190147e-31,1,0.2069122529,0.4138245058,0.5724990243,1,1
9101,4,tree_haar,gram_preconditioned_control,8,1.59190147e-31,5,0.7777129857,1.555425971,1.56194982,1,1
9101,4,tree_haar,gram_preconditioned_control,8,1.59190147e-31,20,0.1481142141,0.2962284281,1.330768932,1,1
9101,4,tree_haar,gram_preconditioned_control,8,1.59190147e-31,80,0.5984606863,1.196921373,1.65766809,1,1
9101,4,raw_nested_indicators,vanilla_local,8,2.883117127e-31,1,0.4320070773,0.8640141547,0.0479630968,15,30
9101,4,raw_nested_indicators,vanilla_local,8,2.883117127e-31,5,0.7845012242,1.569002448,0.2069972345,15,30
9101,4,raw_nested_indicators,vanilla_local,8,2.883117127e-31,20,0.1029198908,0.2058397816,0.3114920047,15,30
9101,4,raw_nested_indicators,vanilla_local,8,2.883117127e-31,80,0.2756299251,0.5512598502,0.5853695877,15,30
9101,4,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,1,0.2069122529,0.4138245058,0.3151820229,15,30
9101,4,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,5,0.7777129857,1.555425971,0.6840594267,15,30
9101,4,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,20,0.1481142141,0.2962284281,0.680127244,15,30
9101,4,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,80,0.5984606863,1.196921373,0.9029073201,15,30
9101,4,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,1,0.4538394949,0.9076789898,0.008248329756,388.5198166,807.7404929
9101,4,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,5,0.6078190747,1.215638149,0.04084077113,388.5198166,807.7404929
9101,4,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,20,0.2828430752,0.5656861503,0.03869723816,388.5198166,807.7404929
9101,4,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,80,0.2070850869,0.4141701739,0.0744764793,388.5198166,807.7404929
9101,4,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,1,0.2069122529,0.4138245058,0.1423413545,388.5198166,807.7404929
9101,4,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,5,0.7777129857,1.555425971,0.2255277876,388.5198166,807.7404929
