effective_sample_size,checkpoint,parameterization,optimizer,observed_mean_loss,predicted_mean_loss,predicted_bias_loss,predicted_variance_loss,observed_minus_predicted
256,5,static_gain_scaled_nested,gram_preconditioned_control,0.05901705084,0.0598858816,0.0536870912,0.0061987904,-0.0008688307556
256,5,static_gain_scaled_nested,vanilla_local,0.3813720805,0.3821499738,0.3811162098,0.001033764075,-0.0007778933165
256,5,tree_haar,gram_preconditioned_control,0.05901705084,0.0598858816,0.0536870912,0.0061987904,-0.0008688307556
256,5,tree_haar,vanilla_local,0.05901705084,0.0598858816,0.0536870912,0.0061987904,-0.0008688307556
256,20,raw_nested_indicators,gram_preconditioned_control,0.008318644957,0.007009982769,6.646139979e-05,0.006943521369,0.001308662188
256,20,raw_nested_indicators,vanilla_local,0.1868710084,0.1867043408,0.1851178507,0.001586490065,0.0001666675659
256,20,static_gain_scaled_nested,gram_preconditioned_control,0.008318644957,0.007009982769,6.646139979e-05,0.006943521369,0.001308662188
256,20,static_gain_scaled_nested,vanilla_local,0.2796210226,0.2798709921,0.2785204805,0.001350511627,-0.0002499695726
256,20,tree_haar,gram_preconditioned_control,0.008318644957,0.007009982769,6.646139979e-05,0.006943521369,0.001308662188
256,20,tree_haar,vanilla_local,0.008318644957,0.007009982769,6.646139979e-05,0.006943521369,0.001308662188
256,80,raw_nested_indicators,gram_preconditioned_control,0.007923443861,0.006944444444,1.560874275e-16,0.006944444444,0.0009789994161
256,80,raw_nested_indicators,vanilla_local,0.03347709765,0.03401716833,0.03226302528,0.001754143056,-0.0005400706875
256,80,static_gain_scaled_nested,gram_preconditioned_control,0.007923443861,0.006944444444,1.560874275e-16,0.006944444444,0.0009789994161
256,80,static_gain_scaled_nested,vanilla_local,0.178830612,0.1789746159,0.1775397853,0.001434830606,-0.0001440039054
256,80,tree_haar,gram_preconditioned_control,0.007923443861,0.006944444444,1.560874275e-16,0.006944444444,0.0009789994161
256,80,tree_haar,vanilla_local,0.007923443861,0.006944444444,1.560874275e-16,0.006944444444,0.0009789994161
