task,core,strategy,feedback,depth,n_seeds,mean_accuracy,ci95_low,ci95_high
noise_resilience,dendritic_additive,standard,backprop,1,10,0.9336799800395965,0.9321099758148194,0.9349599778652191
noise_resilience,dendritic_additive,standard,backprop,2,10,0.936389970779419,0.9355999648571014,0.9372099697589874
noise_resilience,dendritic_additive,standard,backprop,3,10,0.9396899759769439,0.9389499664306641,0.9404499769210816
noise_resilience,dendritic_additive,standard,backprop,4,10,0.9415399730205536,0.9406299650669098,0.9424299718439578
noise_resilience,dendritic_shunting,local_ca,path_transport,1,10,0.9446199715137482,0.9437199711799622,0.9455499649047852
noise_resilience,dendritic_shunting,local_ca,path_transport,2,10,0.9489999830722808,0.9484399734437466,0.9495199859142304
noise_resilience,dendritic_shunting,local_ca,path_transport,3,10,0.9496599733829498,0.9489399671554566,0.9504399837553501
noise_resilience,dendritic_shunting,local_ca,path_transport,4,10,0.9494299829006195,0.9484799802303314,0.9502699792385101
noise_resilience,dendritic_shunting,local_ca,per_soma,1,10,0.8337499797344208,0.8261699855327607,0.8403099776804447
noise_resilience,dendritic_shunting,local_ca,per_soma,2,10,0.8369299829006195,0.8320399878919125,0.8418302352726459
noise_resilience,dendritic_shunting,local_ca,per_soma,3,10,0.8388299822807312,0.8309299944341183,0.8458899736404419
noise_resilience,dendritic_shunting,local_ca,per_soma,4,10,0.8353099763393402,0.8280899703502655,0.8427102264761925
noise_resilience,dendritic_shunting,local_ca,per_soma_shared,1,10,0.9448899805545807,0.9438999770581723,0.9459599734842777
noise_resilience,dendritic_shunting,local_ca,per_soma_shared,2,10,0.9477099776268005,0.9467499732971192,0.9487699866294861
noise_resilience,dendritic_shunting,local_ca,per_soma_shared,3,10,0.9472599804401398,0.946049976348877,0.9482799887657165
noise_resilience,dendritic_shunting,local_ca,per_soma_shared,4,10,0.9486099720001221,0.9475999712944031,0.949489974975586
noise_resilience,dendritic_shunting,standard,backprop,1,10,0.9452799737453461,0.9441799700260163,0.9464699745178222
noise_resilience,dendritic_shunting,standard,backprop,2,10,0.9487399816513061,0.9481899976730347,0.9492902387678622
noise_resilience,dendritic_shunting,standard,backprop,3,10,0.9497199773788452,0.9487699806690216,0.9507499754428863
noise_resilience,dendritic_shunting,standard,backprop,4,10,0.9502399802207947,0.9492199838161468,0.9511999726295471
