run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,27,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,49,occupancy_quantile,380.0,0.9731999635696412,0.9729166626930236,26,0.0881785864631335,180,2816778,107520,1284480512.0,1447034880.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,28,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,50,occupancy_quantile,378.0,0.9722999930381776,0.9733332991600036,21,0.0938653815090656,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,29,mnist,dendritic_additive,standard,backprop,3,2x2x2,14,20,standard,correct,51,occupancy_quantile,378.0,0.9727999567985536,0.9709166288375854,22,0.0955809348622957,180,2816778,107520,1284480512.0,1444937728.0,11281114,31,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,30,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,42,occupancy_quantile,530.0,0.97599995136261,0.9730833172798156,20,0.091568184201916,180,6034186,230400,2419333632.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,31,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,43,occupancy_quantile,531.0,0.9751999974250792,0.975666642189026,16,0.0878341805140177,180,6034186,230400,2419333632.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,32,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,44,occupancy_quantile,530.0,0.9751999974250792,0.975083351135254,19,0.0844698115934928,180,6034186,230400,2419333632.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,33,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,45,occupancy_quantile,528.0,0.9758999943733216,0.9748333096504213,19,0.0874440402587254,180,6034186,230400,2419333632.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,34,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,46,occupancy_quantile,866.0,0.9745999574661256,0.9732499718666076,19,0.0866696650385856,180,6034186,230400,2419694080.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,35,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,47,occupancy_quantile,861.0,0.9749999642372132,0.9739999771118164,18,0.0842779444853464,180,6034186,230400,2419694080.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,36,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,48,occupancy_quantile,871.0,0.974399983882904,0.9743333458900452,17,0.0872603884339332,180,6034186,230400,2419333632.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,37,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,49,occupancy_quantile,412.0,0.9745999574661256,0.9745000004768372,18,0.0834394423762957,180,6034186,230400,2419694080.0,3128950784.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,38,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,50,occupancy_quantile,418.0,0.974299967288971,0.9735000133514404,16,0.0924719227155049,180,6034186,230400,2419333632.0,3126853632.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,39,mnist,dendritic_additive,standard,backprop,4,2x2x2x2,30,20,standard,correct,51,occupancy_quantile,418.0,0.9741999506950378,0.9746666550636292,20,0.0859518483479817,180,6034186,230400,2419333632.0,3126853632.0,24154082,39,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,0,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,42,occupancy_quantile,337.0,0.917799949645996,0.9117500185966492,61,0.3021425644159317,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,1,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,43,occupancy_quantile,298.0,0.9131999611854552,0.913166642189026,70,0.288501739581426,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,2,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,44,occupancy_quantile,260.0,0.914199948310852,0.9085833430290222,57,0.3095167809327443,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,3,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,45,occupancy_quantile,273.0,0.9120000004768372,0.9104999899864196,60,0.2971012955506643,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,4,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,46,occupancy_quantile,270.0,0.9097999930381776,0.906166672706604,91,0.305294017235438,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,5,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,47,occupancy_quantile,263.0,0.9019999504089355,0.9056666493415833,90,0.3161817704836527,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,6,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,48,occupancy_quantile,270.0,0.9150999784469604,0.9144999980926514,104,0.2919600661595662,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,7,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,49,occupancy_quantile,264.0,0.92139995098114,0.918666660785675,100,0.2681584973335266,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,8,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,50,occupancy_quantile,272.0,0.9055999517440796,0.9058333039283752,55,0.3046422563791275,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,9,mnist,dendritic_additive,local_ca,per_soma,1,2,2,20,standard,not_applicable,51,occupancy_quantile,266.0,0.9139999747276306,0.9170833230018616,79,0.2703233999411265,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,10,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,42,occupancy_quantile,272.0,0.9633999466896056,0.9590833187103271,47,0.1383345641692479,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,11,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,43,occupancy_quantile,265.0,0.964199960231781,0.962499976158142,53,0.1287552229563395,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,12,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,44,occupancy_quantile,270.0,0.9633999466896056,0.9639999866485596,46,0.1202527359724044,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,13,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,45,occupancy_quantile,275.0,0.9643999934196472,0.9637500047683716,48,0.1221473386685053,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
