family,task,core,depth,contrast,n_pairs,mean_difference,ci95_low,ci95_high,wins,ties,wilcoxon_p_two_sided
core,mnist,shunting - additive,2,shunting - additive (path_transport),10,-4.001259803766421e-05,-0.0008800148963927889,0.000849992036819558,4,1,1.0
feedback_conditioning,mnist,shunting - additive,2,(shunting - additive) scalar - exact,10,-0.017549973726272695,-0.024009978771209816,-0.011959720104932953,0,0,0.001953125
core,mnist,shunting - additive,3,shunting - additive (per_soma),10,-0.004399996995925903,-0.010649991184473037,0.0009000003337859666,4,0,0.431640625
core,mnist,shunting - additive,3,shunting - additive (per_soma_shared),10,-0.0006499946117401678,-0.0015299975872040685,0.00033999681472776156,4,0,0.275390625
core,mnist,shunting - additive,3,shunting - additive (path_transport),10,-0.0016099989414215643,-0.0028499962389470133,-0.00046998858451845454,2,1,0.0390625
feedback_conditioning,mnist,shunting - additive,3,(shunting - additive) scalar - exact,10,-0.002789998054504339,-0.008729988634586246,0.0023102575540542383,5,0,0.845703125
core,mnist,shunting - additive,4,shunting - additive (per_soma),10,-0.008490014076232922,-0.012929994165897326,-0.003959763646125827,2,0,0.013671875
core,mnist,shunting - additive,4,shunting - additive (per_soma_shared),10,-0.0018000006675720104,-0.0026699902117252004,-0.0010300099849700705,1,0,0.005859375
core,mnist,shunting - additive,4,shunting - additive (path_transport),10,-0.0028599917888641356,-0.003449976444244385,-0.0022699952125549315,0,0,0.001953125
feedback_conditioning,mnist,shunting - additive,4,(shunting - additive) scalar - exact,10,-0.005630022287368785,-0.010230040699243602,-0.0010300217568874463,2,0,0.037109375
feedback,noise_resilience,dendritic_additive,1,neuron-indexed - scalar,10,0.09759999513626097,0.09142999634146688,0.10429000854492185,10,0,0.001953125
feedback,noise_resilience,dendritic_additive,1,exact - neuron-indexed,10,0.0031099975109100454,0.002039992809295654,0.004070001840591486,9,1,0.00390625
local_minus_bp,noise_resilience,dendritic_additive,1,per_soma - backprop,10,-0.10047000050544737,-0.10730026856064796,-0.09429000020027162,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,1,per_soma_shared - backprop,10,-0.0028700053691863904,-0.00426999941468242,-0.0015300035476683905,2,0,0.009765625
local_minus_bp,noise_resilience,dendritic_additive,1,path_transport - backprop,10,0.00023999214172365502,-0.0009300112724303872,0.0014999748766422044,5,0,0.6953125
feedback,noise_resilience,dendritic_additive,2,neuron-indexed - scalar,10,0.12044000029563903,0.11202999949455261,0.12961999773979188,10,0,0.001953125
feedback,noise_resilience,dendritic_additive,2,exact - neuron-indexed,10,0.003870004415512107,0.002460008710622767,0.005479991585016272,9,1,0.00390625
local_minus_bp,noise_resilience,dendritic_additive,2,per_soma - backprop,10,-0.1229699969291687,-0.13127999305725097,-0.11555999517440796,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,2,per_soma_shared - backprop,10,-0.0025299966335296407,-0.0041799902915954056,-0.0010099887847900611,1,0,0.013671875
local_minus_bp,noise_resilience,dendritic_additive,2,path_transport - backprop,10,0.0013400077819824662,-0.0005599917471408708,0.003060013055801436,6,1,0.1640625
feedback,noise_resilience,dendritic_additive,3,neuron-indexed - scalar,10,0.12960000634193425,0.12353001222014427,0.13657999664545062,10,0,0.001953125
feedback,noise_resilience,dendritic_additive,3,exact - neuron-indexed,10,0.00702999830245965,0.0056700110435484955,0.008109992742538374,10,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,3,per_soma - backprop,10,-0.1371899962425232,-0.14396026074886323,-0.1312499938905239,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,3,per_soma_shared - backprop,10,-0.007589989900588967,-0.008479994535446156,-0.006689995527267389,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,3,path_transport - backprop,10,-0.0005599915981293168,-0.001369977146387133,0.0001999974250792466,3,1,0.359375
feedback,noise_resilience,dendritic_additive,4,neuron-indexed - scalar,10,0.14160999059677123,0.130489993095398,0.15395024374127383,10,0,0.001953125
feedback,noise_resilience,dendritic_additive,4,exact - neuron-indexed,10,0.007220000028610252,0.0057899890840053345,0.008679997920990046,10,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,4,per_soma - backprop,10,-0.14896998405456544,-0.16168023899197578,-0.1379397220909596,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,4,per_soma_shared - backprop,10,-0.007359993457794189,-0.0087299823760986,-0.0057799994945526125,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_additive,4,path_transport - backprop,10,-0.00013999342918393775,-0.0014999985694885477,0.0013000191748143543,5,0,0.921875
feedback,noise_resilience,dendritic_shunting,1,neuron-indexed - scalar,10,0.11114000082015987,0.10470999479293823,0.11857025563716882,10,0,0.001953125
feedback,noise_resilience,dendritic_shunting,1,exact - neuron-indexed,10,-0.000270009040832464,-0.001710003763437282,0.0009899854660035293,6,0,0.921875
local_minus_bp,noise_resilience,dendritic_shunting,1,per_soma - backprop,10,-0.11152999401092525,-0.118400245308876,-0.10562999248504638,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_shunting,1,per_soma_shared - backprop,10,-0.00038999319076538086,-0.001439994573593162,0.000599998235702548,4,1,0.4765625
local_minus_bp,noise_resilience,dendritic_shunting,1,path_transport - backprop,10,-0.0006600022315978449,-0.00206000223755832,0.0005899965763092929,4,0,0.556640625
feedback,noise_resilience,dendritic_shunting,2,neuron-indexed - scalar,10,0.11077999472618102,0.1058400033414364,0.11542025133967394,10,0,0.001953125
feedback,noise_resilience,dendritic_shunting,2,exact - neuron-indexed,10,0.0012900054454803467,0.00025000572204588736,0.002330011278390916,8,0,0.064453125
local_minus_bp,noise_resilience,dendritic_shunting,2,per_soma - backprop,10,-0.11180999875068665,-0.11692998409271238,-0.10667999982833862,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_shunting,2,per_soma_shared - backprop,10,-0.0010300040245056151,-0.002370011806488093,0.000249987840652488,4,0,0.287109375
local_minus_bp,noise_resilience,dendritic_shunting,2,path_transport - backprop,10,0.00026000142097473147,-0.0005700111389160495,0.0010399937629700263,6,0,0.556640625
feedback,noise_resilience,dendritic_shunting,3,neuron-indexed - scalar,10,0.10842999815940853,0.10115000605583191,0.11654024064540859,10,0,0.001953125
feedback,noise_resilience,dendritic_shunting,3,exact - neuron-indexed,10,0.002399992942810103,0.0014199793338775858,0.003529983758926393,10,0,0.001953125
local_minus_bp,noise_resilience,dendritic_shunting,3,per_soma - backprop,10,-0.11088999509811397,-0.11893024384975429,-0.10358974426984781,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_shunting,3,per_soma_shared - backprop,10,-0.0024599969387054444,-0.0038799941539764296,-0.0011599957942962313,1,0,0.005859375
local_minus_bp,noise_resilience,dendritic_shunting,3,path_transport - backprop,10,-6.000399589534133e-05,-0.0007500052452087402,0.0007099986076355647,3,0,0.67578125
feedback,noise_resilience,dendritic_shunting,4,neuron-indexed - scalar,10,0.11329999566078186,0.10620000347495075,0.12020000219345092,10,0,0.001953125
feedback,noise_resilience,dendritic_shunting,4,exact - neuron-indexed,10,0.0008200109004974476,-0.0002699911594390869,0.0019700169563294017,7,0,0.193359375
local_minus_bp,noise_resilience,dendritic_shunting,4,per_soma - backprop,10,-0.11493000388145447,-0.12195000648498536,-0.10736001119017602,0,0,0.001953125
local_minus_bp,noise_resilience,dendritic_shunting,4,per_soma_shared - backprop,10,-0.0016300082206725964,-0.0026500165462493897,-0.0006300032138824352,2,1,0.02734375
local_minus_bp,noise_resilience,dendritic_shunting,4,path_transport - backprop,10,-0.0008099973201751487,-0.0012499929964542376,-0.00040000081062314675,0,2,0.0078125
core,noise_resilience,shunting - additive,1,shunting - additive (per_soma),10,0.0005400002002716065,-0.010869991928339005,0.010760259032249428,5,1,0.734375
core,noise_resilience,shunting - additive,1,shunting - additive (per_soma_shared),10,0.01408000588417051,0.01259000301361084,0.015480005890131007,10,0,0.001953125
core,noise_resilience,shunting - additive,1,shunting - additive (path_transport),10,0.010699999332428,0.010019999742507956,0.011319988965988181,10,0,0.001953125
feedback_conditioning,noise_resilience,shunting - additive,1,(shunting - additive) scalar - exact,10,-0.010159999132156395,-0.021890002638101667,0.0002600014209746651,2,0,0.10546875
core,noise_resilience,shunting - additive,2,shunting - additive (per_soma),10,0.023510009050369263,0.014709765017032623,0.03336000442504883,10,0,0.001953125
core,noise_resilience,shunting - additive,2,shunting - additive (per_soma_shared),10,0.013850003480911244,0.011979747414588918,0.015719992071390142,10,0,0.001953125
core,noise_resilience,shunting - additive,2,shunting - additive (path_transport),10,0.011270004510879483,0.009549987316131547,0.013080006837844826,10,0,0.001953125
feedback_conditioning,noise_resilience,shunting - additive,2,(shunting - additive) scalar - exact,10,0.01224000453948978,0.0025800107419490822,0.022929991036653552,7,0,0.064453125
core,noise_resilience,shunting - additive,3,shunting - additive (per_soma),10,0.03633000254631043,0.026689756363630295,0.04634050652384754,10,0,0.001953125
core,noise_resilience,shunting - additive,3,shunting - additive (per_soma_shared),10,0.015159994363784735,0.013199990987777688,0.017079991251230213,10,0,0.001953125
core,noise_resilience,shunting - additive,3,shunting - additive (path_transport),10,0.010529989004135187,0.00931000098586087,0.011649984121322666,10,0,0.001953125
feedback_conditioning,noise_resilience,shunting - additive,3,(shunting - additive) scalar - exact,10,0.02580001354217524,0.01599001288413998,0.03604000806808464,10,0,0.001953125
core,noise_resilience,shunting - additive,4,shunting - additive (per_soma),10,0.04273998737335205,0.028979986906051636,0.05857998743653297,10,0,0.001953125
core,noise_resilience,shunting - additive,4,shunting - additive (per_soma_shared),10,0.014429992437362671,0.013229995965957609,0.015419995784759555,10,0,0.001953125
core,noise_resilience,shunting - additive,4,shunting - additive (path_transport),10,0.008030003309249866,0.006210005283355691,0.009759998321533226,10,0,0.001953125
feedback_conditioning,noise_resilience,shunting - additive,4,(shunting - additive) scalar - exact,10,0.03470998406410218,0.021059734076261587,0.05101023286581037,10,0,0.001953125
depth,mnist,dendritic_additive,4,depth 4 - depth 1 (backprop),10,0.011800003051757857,0.01082001924514775,0.012809997797012352,10,0,0.001953125
depth,mnist,dendritic_additive,4,depth 4 - depth 1 (per_soma),10,-0.002169978618621804,-0.0066899895668029235,0.00205001860857011,4,0,0.625
depth,mnist,dendritic_additive,4,depth 4 - depth 1 (per_soma_shared),10,0.009890007972717274,0.009070003032684359,0.01070001125335689,10,0,0.001953125
depth,mnist,dendritic_additive,4,depth 4 - depth 1 (path_transport),10,0.010379993915557828,0.009479999542236318,0.011249989271163895,10,0,0.001953125
depth,mnist,dendritic_shunting,4,depth 4 - depth 1 (backprop),10,0.004639983177185047,0.0035499870777129902,0.005679977089166596,10,0,0.001953125
depth,mnist,dendritic_shunting,4,depth 4 - depth 1 (per_soma),10,0.005270004272460915,-0.0011102549731731414,0.011880004405975319,5,0,0.244140625
depth,mnist,dendritic_shunting,4,depth 4 - depth 1 (per_soma_shared),10,0.005230009555816617,0.004280006736516887,0.006250011920928911,10,0,0.001953125
depth,mnist,dendritic_shunting,4,depth 4 - depth 1 (path_transport),10,0.005539995431900024,0.004720008224248833,0.006229990720748891,10,0,0.001953125
depth,noise_resilience,dendritic_additive,4,depth 4 - depth 1 (backprop),10,0.007859992980957053,0.006069999784231209,0.009829980283975644,10,0,0.001953125
depth,noise_resilience,dendritic_additive,4,depth 4 - depth 1 (per_soma),10,-0.04063999056816101,-0.05438024342060089,-0.027429747879505178,1,0,0.00390625
depth,noise_resilience,dendritic_additive,4,depth 4 - depth 1 (per_soma_shared),10,0.003370004892349254,0.0021800160408020353,0.004670255631208399,10,0,0.001953125
depth,noise_resilience,dendritic_additive,4,depth 4 - depth 1 (path_transport),10,0.007480007410049461,0.006420004367828358,0.00851001143455512,10,0,0.001953125
depth,noise_resilience,dendritic_shunting,4,depth 4 - depth 1 (backprop),10,0.00496000647544863,0.003220003694295928,0.006370007991790805,9,0,0.00390625
depth,noise_resilience,dendritic_shunting,4,depth 4 - depth 1 (per_soma),10,0.0015599966049194337,-0.008950007110834123,0.012630247622728326,4,0,0.921875
depth,noise_resilience,dendritic_shunting,4,depth 4 - depth 1 (per_soma_shared),10,0.003719991445541415,0.002309995889663729,0.005049991607666093,10,0,0.001953125
depth,noise_resilience,dendritic_shunting,4,depth 4 - depth 1 (path_transport),10,0.004810011386871327,0.003260022401809714,0.006140005588531494,9,0,0.00390625
