seed,family,family_index,calibration_rows,calibration_noise_sd,alpha_scale,candidate_id,estimated_max_tail,estimated_sum_tail,pilot_gate_mse,pilot_status
720913,matching,0,256,0.0,0.65,mixed_p1,0.20518793633906218,0.6557867291157179,0.6541345511090114,completed
720913,matching,0,256,0.0,0.65,mixed_p2,0.2891192624513542,0.9886143975808328,0.8284117213073672,completed
720913,matching,0,256,0.0,0.65,mixed_p3,0.3293421825498856,0.8638723014388334,0.45230948546892946,completed
720913,matching,0,256,0.5,0.15,balanced_p0,0.4714751660156138,1.4445245180052497,0.8701269306055254,completed
720913,matching,0,256,0.5,0.15,balanced_p1,0.32414835901388395,1.1847110654792823,1.2627310845981319,completed
720913,matching,0,256,0.5,0.15,balanced_p2,0.47668867118774655,1.3004607949991551,0.8279521774960988,completed
720913,matching,0,256,0.5,0.15,balanced_p3,0.26420371995183906,0.8367266417506198,0.8497185157667543,completed
720913,matching,0,256,0.5,0.15,comb_p0,0.5194516170249217,1.934010018496324,1.1099129161159005,completed
720913,matching,0,256,0.5,0.15,comb_p1,0.32433354490074295,1.5001506236013247,1.1933317847609755,completed
720913,matching,0,256,0.5,0.15,comb_p2,0.47668867118774655,1.5710313858418838,1.0529735773617377,completed
720913,matching,0,256,0.5,0.15,comb_p3,0.46989789839369794,1.4882532992203499,1.2867553050954879,completed
720913,matching,0,256,0.5,0.15,mixed_p0,0.32473954527408927,1.3774719779353797,0.9546965018347159,completed
720913,matching,0,256,0.5,0.15,mixed_p1,0.32433354490074295,1.0682572245408986,1.1597663563618048,completed
720913,matching,0,256,0.5,0.15,mixed_p2,0.2800735935804593,1.0921885215102825,0.9005070077152367,completed
720913,matching,0,256,0.5,0.15,mixed_p3,0.26168889062083184,0.8388724115455133,0.8240165157052087,completed
720913,matching,0,256,0.5,0.35,balanced_p0,0.45878921397894895,1.3911348522264149,0.8701269306055254,completed
720913,matching,0,256,0.5,0.35,balanced_p1,0.2931101400221317,1.0512518219595193,1.2627310845981319,completed
720913,matching,0,256,0.5,0.35,balanced_p2,0.45878921397894906,1.203107122826136,0.8279521774960988,completed
720913,matching,0,256,0.5,0.35,balanced_p3,0.23251577095762804,0.717224170877942,0.8497185157667543,completed
720913,matching,0,256,0.5,0.35,comb_p0,0.4920877598290638,1.8200734530319724,1.1099129161159005,completed
720913,matching,0,256,0.5,0.35,comb_p1,0.2931101400221317,1.3268633406466412,1.1933317847609755,completed
720913,matching,0,256,0.5,0.35,comb_p2,0.45878921397894906,1.4487103724175032,1.0529735773617377,completed
720913,matching,0,256,0.5,0.35,comb_p3,0.45878921397894895,1.3609801303314353,1.2867553050954879,completed
720913,matching,0,256,0.5,0.35,mixed_p0,0.29311014002213165,1.2723384919093321,0.9546965018347159,completed
720913,matching,0,256,0.5,0.35,mixed_p1,0.2931101400221316,0.9182949495891797,1.1597663563618048,completed
720913,matching,0,256,0.5,0.35,mixed_p2,0.25981159417201677,0.9845747551628773,0.9005070077152367,completed
720913,matching,0,256,0.5,0.35,mixed_p3,0.23251577095762802,0.702973691244973,0.8240165157052087,completed
720913,matching,0,256,0.5,0.65,balanced_p0,0.415821199905669,1.2585454350357241,0.8701269306055254,completed
720913,matching,0,256,0.5,0.65,balanced_p1,0.2431654971496709,0.8759697410862074,1.2627310845981319,completed
720913,matching,0,256,0.5,0.65,balanced_p2,0.415821199905669,1.0486254438422056,0.8279521774960988,completed
720913,matching,0,256,0.5,0.65,balanced_p3,0.19481937339343278,0.5955399554990156,0.8497185157667543,completed
