family,mask,support,order,coefficient_raw_rational,coefficient_raw,coefficient_normalized
and_of_xors,0,constant,0,1/4,0.25,0.0
and_of_xors,1,a,1,0,0.0,0.0
and_of_xors,2,b,1,0,0.0,0.0
and_of_xors,3,ab,2,-1/4,-0.25,-0.5773502691896258
and_of_xors,4,c,1,0,0.0,0.0
and_of_xors,5,ac,2,0,0.0,0.0
and_of_xors,6,bc,2,0,0.0,0.0
and_of_xors,7,abc,3,0,0.0,0.0
and_of_xors,8,d,1,0,0.0,0.0
and_of_xors,9,ad,2,0,0.0,0.0
and_of_xors,10,bd,2,0,0.0,0.0
and_of_xors,11,abd,3,0,0.0,0.0
and_of_xors,12,cd,2,-1/4,-0.25,-0.5773502691896258
and_of_xors,13,acd,3,0,0.0,0.0
and_of_xors,14,bcd,3,0,0.0,0.0
and_of_xors,15,abcd,4,1/4,0.25,0.5773502691896258
nested,0,constant,0,5/16,0.3125,0.0
nested,1,a,1,5/16,0.3125,0.674199862463242
nested,2,b,1,3/16,0.1875,0.40451991747794525
nested,3,ab,2,3/16,0.1875,0.40451991747794525
nested,4,c,1,1/16,0.0625,0.13483997249264842
nested,5,ac,2,1/16,0.0625,0.13483997249264842
nested,6,bc,2,-1/16,-0.0625,-0.13483997249264842
nested,7,abc,3,-1/16,-0.0625,-0.13483997249264842
nested,8,d,1,1/16,0.0625,0.13483997249264842
nested,9,ad,2,1/16,0.0625,0.13483997249264842
nested,10,bd,2,-1/16,-0.0625,-0.13483997249264842
nested,11,abd,3,-1/16,-0.0625,-0.13483997249264842
nested,12,cd,2,1/16,0.0625,0.13483997249264842
nested,13,acd,3,1/16,0.0625,0.13483997249264842
nested,14,bcd,3,-1/16,-0.0625,-0.13483997249264842
nested,15,abcd,4,-1/16,-0.0625,-0.13483997249264842
