family,subset,outside,centered_rank,raw_mse_lower_bound,normalized_mse_lower_bound,squared_singular_values_raw,centered_matrix_raw_rational
and_of_xors,d,abc,1,0.0,0.0,[0.12500000000000003],"[[""0"", ""0"", ""0"", ""0"", ""-1/4"", ""0"", ""0"", ""1/4""]]"
and_of_xors,ad,bc,3,0.125,0.6666666666666666,"[0.0625, 0.0625, 0.0625]","[[""0"", ""-1/4"", ""0"", ""0""], [""0"", ""0"", ""-1/4"", ""0""], [""0"", ""0"", ""0"", ""1/4""]]"
and_of_xors,bd,ac,3,0.125,0.6666666666666666,"[0.0625, 0.0625, 0.0625]","[[""0"", ""-1/4"", ""0"", ""0""], [""0"", ""0"", ""-1/4"", ""0""], [""0"", ""0"", ""0"", ""1/4""]]"
and_of_xors,abd,c,2,0.0625,0.3333333333333333,"[0.12500000000000003, 0.0625]","[[""0"", ""0""], [""0"", ""0""], [""-1/4"", ""0""], [""0"", ""-1/4""], [""0"", ""0""], [""0"", ""0""], [""0"", ""1/4""]]"
and_of_xors,cd,ab,1,0.0,0.0,"[0.12500000000000003, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""-1/4"", ""0"", ""0"", ""1/4""]]"
and_of_xors,acd,b,2,0.0625,0.3333333333333333,"[0.12500000000000003, 0.0625]","[[""0"", ""-1/4""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""-1/4"", ""0""], [""0"", ""1/4""]]"
and_of_xors,bcd,a,2,0.0625,0.3333333333333333,"[0.12500000000000003, 0.0625]","[[""0"", ""-1/4""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""-1/4"", ""0""], [""0"", ""1/4""]]"
nested,a,bcd,1,0.0,0.0,[0.15625000000000003],"[[""5/16"", ""3/16"", ""1/16"", ""-1/16"", ""1/16"", ""-1/16"", ""1/16"", ""-1/16""]]"
nested,b,acd,1,0.0,0.0,[0.09375000000000001],"[[""3/16"", ""3/16"", ""-1/16"", ""-1/16"", ""-1/16"", ""-1/16"", ""-1/16"", ""-1/16""]]"
nested,ab,cd,2,0.03481247073970677,0.1620362274429988,"[0.16831252926029325, 0.03481247073970677, 3.407820444817487e-65]","[[""5/16"", ""1/16"", ""1/16"", ""1/16""], [""3/16"", ""-1/16"", ""-1/16"", ""-1/16""], [""3/16"", ""-1/16"", ""-1/16"", ""-1/16""]]"
nested,c,abd,1,0.0,0.0,[0.03125000000000001],"[[""1/16"", ""1/16"", ""-1/16"", ""-1/16"", ""1/16"", ""1/16"", ""-1/16"", ""-1/16""]]"
nested,ac,bd,2,0.02695441847444726,0.1254605659901545,"[0.14492058152555268, 0.02695441847444726, 2.7308870917018873e-35]","[[""5/16"", ""3/16"", ""1/16"", ""-1/16""], [""1/16"", ""-1/16"", ""1/16"", ""-1/16""], [""1/16"", ""-1/16"", ""1/16"", ""-1/16""]]"
nested,bc,ad,2,0.022475737299862006,0.10461434088663042,"[0.08689926270013798, 0.022475737299862006, 1.2152678196878447e-36]","[[""3/16"", ""3/16"", ""-1/16"", ""-1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""-1/16"", ""-1/16"", ""-1/16"", ""-1/16""]]"
nested,abc,d,2,0.02646973274938795,0.12320457425169665,"[0.18446776725061206, 0.02646973274938795]","[[""5/16"", ""1/16""], [""3/16"", ""-1/16""], [""3/16"", ""-1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""-1/16"", ""-1/16""], [""-1/16"", ""-1/16""]]"
nested,d,abc,1,0.0,0.0,[0.03125000000000001],"[[""1/16"", ""1/16"", ""-1/16"", ""-1/16"", ""1/16"", ""1/16"", ""-1/16"", ""-1/16""]]"
nested,ad,bc,2,0.02695441847444726,0.1254605659901545,"[0.14492058152555268, 0.02695441847444726, 2.7308870917018873e-35]","[[""5/16"", ""3/16"", ""1/16"", ""-1/16""], [""1/16"", ""-1/16"", ""1/16"", ""-1/16""], [""1/16"", ""-1/16"", ""1/16"", ""-1/16""]]"
nested,bd,ac,2,0.022475737299862006,0.10461434088663042,"[0.08689926270013798, 0.022475737299862006, 1.2152678196878447e-36]","[[""3/16"", ""3/16"", ""-1/16"", ""-1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""-1/16"", ""-1/16"", ""-1/16"", ""-1/16""]]"
nested,abd,c,2,0.02646973274938795,0.12320457425169665,"[0.18446776725061206, 0.02646973274938795]","[[""5/16"", ""1/16""], [""3/16"", ""-1/16""], [""3/16"", ""-1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""-1/16"", ""-1/16""], [""-1/16"", ""-1/16""]]"
nested,cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""-1/16"", ""-1/16""], [""1/16"", ""1/16"", ""-1/16"", ""-1/16""], [""1/16"", ""1/16"", ""-1/16"", ""-1/16""]]"
nested,acd,b,2,0.04280627117659259,0.19924373493104913,"[0.13688122882340742, 0.04280627117659259]","[[""5/16"", ""3/16""], [""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""1/16"", ""-1/16""]]"
nested,bcd,a,1,0.0,0.0,"[0.1171875, 5.0569541805361875e-34]","[[""3/16"", ""3/16""], [""1/16"", ""1/16""], [""-1/16"", ""-1/16""], [""1/16"", ""1/16""], [""-1/16"", ""-1/16""], [""1/16"", ""1/16""], [""-1/16"", ""-1/16""]]"
