family,tree_id,tree,subset,outside,centered_rank,raw_mse_lower_bound,normalized_mse_lower_bound,squared_singular_values_raw,centered_matrix_raw_rational
parity4,T12,"((a,d),(b,c))",bc,ad,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T13,"(a,((b,c),d))",bc,ad,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T13,"(a,((b,c),d))",bcd,a,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T14,"(a,((b,d),c))",bd,ac,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T14,"(a,((b,d),c))",bcd,a,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T15,"(a,(b,(c,d)))",cd,ab,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T15,"(a,(b,(c,d)))",bcd,a,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
or_of_ands,T01,"(((a,b),c),d)",ab,cd,1,0.0,0.0,"[0.14062499999999997, 4.562643814316715e-35, 3.1239727477566775e-102]","[[""3/16"", ""-1/16"", ""-1/16"", ""-1/16""], [""3/16"", ""-1/16"", ""-1/16"", ""-1/16""], [""3/16"", ""-1/16"", ""-1/16"", ""-1/16""]]"
or_of_ands,T01,"(((a,b),c),d)",abc,d,2,0.05715110594979304,0.23223306544677805,"[0.15378639405020691, 0.05715110594979304]","[[""3/16"", ""-1/16""], [""3/16"", ""-1/16""], [""3/16"", ""-1/16""], [""3/16"", ""3/16""], [""-1/16"", ""-1/16""], [""-1/16"", ""-1/16""], [""-1/16"", ""-1/16""]]"
or_of_ands,T02,"(((a,b),d),c)",ab,cd,1,0.0,0.0,"[0.14062499999999997, 4.562643814316715e-35, 3.1239727477566775e-102]","[[""3/16"", ""-1/16"", ""-1/16"", ""-1/16""], [""3/16"", ""-1/16"", ""-1/16"", ""-1/16""], [""3/16"", ""-1/16"", ""-1/16"", ""-1/16""]]"
