task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s6100_r2_n000_a250,feedback_only,gaussian_oracle_sgd,0.036349743022583425,0.0,,,
s6100_r2_n000_a250,feedback_only,empirical_split_fullbatch,0.010758374002762139,,,,
s6100_r2_n000_a250,feedback_only,original_scalar,0.031218825955875218,,,,
s6100_r2_n000_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005669200327247381,0.002996959025040269,,,
s6100_r2_n000_a250,joint_forward_feedback,gaussian_plugin_sgd,0.036621208069846034,0.002996959025040269,,,
s6100_r2_n000_a250,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005975230596959591,0.0,,,
s6100_r2_n000_a250,joint_forward_feedback,gaussian_oracle_sgd,0.036611243966035545,0.0,,,
s6100_r2_n000_a250,joint_forward_feedback,empirical_split_fullbatch,0.010872852988541126,,,,
s6100_r2_n000_a250,joint_forward_feedback,original_scalar,0.03165543300565332,,,,
s6100_r2_n000_a500,feedback_only,gaussian_plugin_fullbatch,0.0005926589947193861,0.0031373760430142283,,,
s6100_r2_n000_a500,feedback_only,gaussian_plugin_sgd,0.03647837997414172,0.0031373760430142283,,,
s6100_r2_n000_a500,feedback_only,gaussian_oracle_fullbatch,0.0006073620170354843,0.0,,,
s6100_r2_n000_a500,feedback_only,gaussian_oracle_sgd,0.03669210197404027,0.0,,,
s6100_r2_n000_a500,feedback_only,empirical_split_fullbatch,0.010798789910040796,,,,
s6100_r2_n000_a500,feedback_only,original_scalar,0.031336685991846025,,,,
s6100_r2_n000_a500,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005823420360684395,0.0029828191036358476,,,
s6100_r2_n000_a500,joint_forward_feedback,gaussian_plugin_sgd,0.03660039498936385,0.0029828191036358476,,,
s6100_r2_n000_a500,joint_forward_feedback,gaussian_oracle_fullbatch,0.0006034609396010637,0.0,,,
s6100_r2_n000_a500,joint_forward_feedback,gaussian_oracle_sgd,0.03646420605946332,0.0,,,
