task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,regime,checkpoint,test_loss,population_loss
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,fixed_cache,16,6.0004619650027795e-06,6.030550018704962e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,fixed_cache,16,6.0004619650027795e-06,6.030550018704962e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k1,balanced_permutation_b,balanced,1,0.18840039778945986,0.125,0.6340039778945984,64,64,8,fixed_cache,16,6.000461965002781e-06,6.030550018704965e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.31340039778945983,0.25,0.6340039778945984,64,64,16,fixed_cache,16,6.0004619650027795e-06,6.030550018704962e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,fixed_cache,16,6.0004619650027795e-06,6.030550018704962e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k8,balanced_permutation_b,balanced,8,1.06340039778946,1.0,0.6340039778945984,64,64,64,fixed_cache,16,6.0004619650027795e-06,6.030550018704962e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k1,comb_contiguous,comb,1,0.225,0.125,1.0,64,64,8,fixed_cache,16,6.000461965002781e-06,6.030550018704965e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,fixed_cache,16,6.000461965002883e-06,6.030550018705069e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,fixed_cache,16,6.000461965002954e-06,6.0305500187051355e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k8,comb_contiguous,comb,8,1.1,1.0,1.0,64,64,64,fixed_cache,16,6.0004619650027795e-06,6.030550018704962e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,fixed_cache,64,4.6581418776584525e-20,4.616204572231443e-20
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,fixed_cache,64,4.6581418776584525e-20,4.616204572231443e-20
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,fixed_cache,64,4.6581418776584525e-20,4.616204572231443e-20
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,fixed_cache,64,4.6581418776584525e-20,4.616204572231443e-20
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,fixed_cache,64,4.6581418776584525e-20,4.616204572231443e-20
