cohort,run_dir,config_index,seed,regime,mechanism,method,transport,depth,branch_factors,signal_delta,train_gain_sigma,test_gain_sigma,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood,source,architecture,credit,reference_depth
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,20,10200,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,3c19535bd188718d9263162c57387ecfc83769b5e05218bbc1440b593785b157,6eeb2bfe4611b383a3baa6fcb8fa7549186fb22bb52add1d7cb3f911c6aed9ac,0,False,0.9220999479,0.9143999815,0.9126999974,0.9571205378,0.9525619149,0.9526788592,-0.3542637229,-0.3593039215,-0.3570205569,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,21,10201,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,ca4563c81e301c74ab9572d36b4f3968fcf7023002c3e4fd6563ef2d81424884,e5764e4b5924345f3b6ff9e6f392eb834381890c458e8fb913ef910ab608e191,0,False,0.9190999866,0.9167000055,0.9185999632,0.9509332776,0.949765265,0.950054884,-0.3717467785,-0.3729105592,-0.374330163,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,22,10202,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,ff224c0abbbc0b1752b2defd849c002c07d8434dabc1ebc536887f61a8a6787e,60ecbf0ce76bb9f1657bd16b46de24ed6996a0fe4b1d37762f91d9edf11a51e2,0,False,0.9202999473,0.9169999957,0.9139999747,0.9533745646,0.9515362978,0.948964417,-0.3515412509,-0.3571770489,-0.3610892594,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,23,10203,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,63329d3dea9d2a67137e250953d16cb2de736b2f1c0b348ca6afc458c0416053,d2ac0c2f1982c6cdc04bb17b0a24f52459fe52203270cc5a4a74af4b2b7536a2,0,False,0.9207999706,0.9187999964,0.9186999798,0.9536433816,0.950196147,0.9540513754,-0.3570444882,-0.3636210859,-0.3596254289,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,24,10204,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,c49372c0308ef24e2a6b4cc4662c6ffdd65b2fea022f84a0ca0083df5f501aec,ab53d3cf4f30e3af39c258a14a416194a2ceb1939ea370759289df86309410b1,0,False,0.9186999798,0.9161999822,0.9086999893,0.9517360926,0.9537451267,0.9457327724,-0.3624585271,-0.362434268,-0.3715652823,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,25,10205,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,c0bf767652133a116358b25b3160e278550c1c0b97344c07db272bf7c775bb36,5a6c39c4387ede32832e4eeaeb69b833ef491b211b3341286234e4a937168e70,0,False,0.9283999801,0.9164999723,0.9187999964,0.9570332766,0.947712779,0.9451858401,-0.3561679721,-0.3693107367,-0.3763287663,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,26,10206,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,9c18604ea487f54630b0b507dc9b6fa604f8dff550a098d740edcec0b330b5fc,1f6b6cd8d05a0a225c27d42ccea3927d2260eb20baa9b2c91a67f2e06709695b,0,False,0.9111999869,0.9090999961,0.9117999673,0.9475748539,0.9414637089,0.9480231404,-0.3819437027,-0.394249022,-0.3853231966,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,27,10207,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,470134612a56e9a08a902fcc0ac04104ef832b7ea1c21c21f96e09b6ba35d304,752e93b2ae2d3d2fae298acd70974f0ad7b7cec8f23cae868ad9ea67d16c1e50,0,False,0.9195999503,0.9223999977,0.921399951,0.9467092752,0.9518510103,0.9506470561,-0.379963994,-0.3735012114,-0.3728283644,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,28,10208,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,cb02483d018dcd794a404d18852bb7cb3810af8e5abd6f96190a40a528054378,cb0f74933473252cd59557b0e2a006e565a726f159233cfc8905ebe138830590,0,False,0.9275999665,0.9218999743,0.9256999493,0.954470396,0.9526054263,0.9564318657,-0.366638571,-0.3688021302,-0.3656097353,frozen_reference,serial_tree,full_bp,3
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,29,10209,aligned,shunting,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,fbe03c27898555518f60614357d71916501ade38615951890fee3b543ea16088,991c563c483daf155b36ac4f38d8fc5e21f14feeae068772557a0049fc3b1bfa,0,False,0.9341999888,0.9316999912,0.931400001,0.9612895846,0.963301897,0.9602648616,-0.3424557447,-0.3424058855,-0.3447491825,frozen_reference,serial_tree,full_bp,3
