source,cohort,run_dir,config_index,seed,regime,architecture,credit,depth,reference_depth,branch_factors,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,17,10207,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,8071188ec454a0d0c24ab913c15e9de4817b168bbc509eb74fa5fc5adb5b78e5,78c9adeba1ec42b1f875498be52fdbf510d2b6fb401a1f9d656d3db7fd84c333,0,False,0.6193000078,0.6171000004,0.6085999608,0.6616250277,0.6596872211,0.6489930153,-0.651486814,-0.6519922614,-0.6587339044
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,18,10208,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,c3162893ca78a00b5edba2ddb38a27798983b6cc01fc68a93c3264c6cd341f33,fbf22a48e500b7e14b2cc26bf7d67bde7787a4758bd43c5a17f6ee2e270923a6,0,False,0.6169999838,0.6108999848,0.6140999794,0.664917767,0.6490392685,0.6543738246,-0.6496207714,-0.6589701176,-0.6556630731
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,19,10209,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,208d5959d4d5a0b32870fdcbfe9e6a30b6d88e960a9ba78395a75a08855f71b4,647618fce5593857e301caf86d638d439bef88f5ad9f5bfd4c90901504742d7a,0,False,0.616599977,0.6119999886,0.60649997,0.6566351056,0.6522891521,0.6511538625,-0.654736042,-0.6563572288,-0.6564617753
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,20,10200,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,0bdb7cb72a2fe4b9ac4a161d62ce471a6675bdc1012a6f593d6ffa15e6753097,7001183e06a4a23d0b9dde07c00b3abf3cd18129b388591882ca70e5cf23063f,0,False,0.6110000014,0.6098999977,0.60649997,0.6602051854,0.6585143209,0.6500688791,-0.6521579623,-0.6525981426,-0.657091558
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,21,10201,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,ad1295e14ff5672bea0b2208e9a93ffe6cb56b716ac42a6bdabb62fd99b29b36,e0fae326b09ebe47afe82c5c93e13170d1286490ab5114c0292d09d0ca73aa7b,0,False,0.6216999888,0.6108999848,0.6128000021,0.6720025539,0.6543813348,0.6547778249,-0.6457177401,-0.6556185484,-0.6556436419
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,22,10202,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,bf873ba1adc28d708d78d69d8cbb6e59daa0a979a8b1ca060c977ce2085fa5a7,2685e2538feac1907e99b5008d83fcff46b7046a0fdcbcd76d52e258fa363cd4,0,False,0.6152999997,0.6123999953,0.6171000004,0.6639563441,0.6549091935,0.6561235785,-0.6495857239,-0.6551995873,-0.6553120017
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,23,10203,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,8d1c177f4f5af36729fb4b52a7ecbd264680c22cbc51390fea9340ebcfc07ef1,a3e15ad951348a9c9806df98fdfe2594b78439ae9bdc33d35481a39e3fe8dad5,0,False,0.6207000017,0.614199996,0.6114000082,0.6651180983,0.6596528888,0.6514052153,-0.6499882936,-0.6534992456,-0.6570120454
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,24,10204,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,33290a918ed022d54a2e79ea3f1b19fff277136ebd3842f12e1c6bc18893724d,4f03b16afd46e5f1007881920424f05a80d3ae893cf66105729d864b36774a80,0,False,0.625,0.6117999554,0.6006000042,0.6696313024,0.6537534595,0.6443161368,-0.6484302282,-0.655870378,-0.6603270173
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,25,10205,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,45715b1c4f19a66ca65dab30bb31d3de698ce2273b70633058a3f3fbf09b8770,421d6de1d17ceda999e430f81b69b6d676c0602a3265d804686137406dbf1883,0,False,0.6107999682,0.6013000011,0.6090999842,0.6593291163,0.6434361935,0.654525578,-0.6529143453,-0.6602922678,-0.6554671526
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,26,10206,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,a365de747216228bd860106a4ecdbf1f782a0f984e70097269da47c3d6ad3371,f5e5599ab32a5ad4e07c7acda8722d724b787e07c2d03b8aab46b0c642f87da6,0,False,0.6098999977,0.6096999645,0.6104999781,0.656793654,0.6517121196,0.6539075971,-0.6534531116,-0.6565046906,-0.6552237868
