task_id,family,bound,sum_bound,depth,normalized_mse,max_local_reconstruction_mse,rank,effective_rank,parameters,edges,seconds
matching_017,quadratic_matching,0.0,0.0,3,9.180187346838856e-31,1.7256332301709633e-30,8,8.0,28,14,0.15555916703306139
matching_018,quadratic_matching,0.0,0.0,3,9.49286426681608e-31,1.7749370367472766e-30,8,8.0,28,14,0.15430729289073497
matching_019,quadratic_matching,0.0,0.0,3,7.8457014504990006e-31,2.2186712959340957e-30,8,8.0,28,14,0.15437984792515635
matching_020,quadratic_matching,0.0,0.0,3,6.115615975941774e-31,1.7256332301709633e-30,8,8.0,28,14,0.15671189001295716
matching_021,quadratic_matching,0.0,0.0,3,1.4204252257907153e-30,2.8596207814261678e-30,8,8.0,28,14,0.15618853003252298
matching_022,quadratic_matching,0.0,0.0,3,1.6342854633663114e-30,2.8596207814261678e-30,8,8.0,28,14,0.15438681992236525
matching_023,quadratic_matching,0.0,0.0,3,1.553339755063958e-30,2.8596207814261678e-30,8,8.0,28,14,0.15578698099125177
matching_024,quadratic_matching,0.0,0.0,3,1.2281825325249809e-30,2.662405555120915e-30,8,8.0,28,14,0.15538251504767686
matching_025,quadratic_matching,0.0,0.0,3,1.1166270483663543e-30,2.662405555120915e-30,8,8.0,28,14,0.15323980408720672
matching_026,quadratic_matching,0.0,0.0,3,1.438038395971528e-30,2.662405555120915e-30,8,8.0,28,14,0.15531550999730825
matching_027,quadratic_matching,0.0,0.0,3,1.4327207119243425e-30,4.88415833896603e-30,8,8.0,28,14,0.1544082280015573
matching_028,quadratic_matching,0.0,0.0,3,1.2102846694189421e-30,4.88415833896603e-30,8,8.0,28,14,0.15572305803652853
matching_029,quadratic_matching,0.0,0.0,3,1.3816743590665844e-30,4.88415833896603e-30,8,8.0,28,14,0.15615609707310796
matching_030,quadratic_matching,0.0,0.0,3,1.3817470323717809e-30,1.8242408433235898e-30,8,8.0,28,14,0.15419218805618584
matching_031,quadratic_matching,0.0,0.0,3,2.2126538649309984e-30,2.2186712959340957e-30,8,8.0,28,14,0.15726306196302176
matching_032,quadratic_matching,0.0,0.0,3,1.1300423456734561e-30,1.7256332301709633e-30,8,8.0,28,14,0.1562352100154385
matching_033,quadratic_matching,0.0,0.0,3,6.323401950720409e-31,1.7749370367472766e-30,8,8.0,28,14,0.15412496705539525
matching_034,quadratic_matching,0.0,0.0,3,7.125661376869954e-31,1.9721522630525295e-30,8,8.0,28,14,0.15943053702358156
matching_035,quadratic_matching,0.0,0.0,3,8.486778272529696e-31,1.7256332301709633e-30,8,8.0,28,14,0.156246458995156
matching_036,quadratic_matching,0.0,0.0,3,1.3050888149105398e-30,2.8596207814261678e-30,8,8.0,28,14,0.1569286909652874
matching_037,quadratic_matching,0.0,0.0,3,1.761647640198507e-30,2.8596207814261678e-30,8,8.0,28,14,0.15846108901314437
matching_038,quadratic_matching,0.0,0.0,3,1.4022469587652161e-30,2.8596207814261678e-30,8,8.0,28,14,0.15972619701642543
matching_039,quadratic_matching,0.0,0.0,3,1.156386912742944e-30,2.662405555120915e-30,8,8.0,28,14,0.15958264900837094
matching_040,quadratic_matching,0.0,0.0,3,1.1387698110680726e-30,2.662405555120915e-30,8,8.0,28,14,0.15607437898870558
matching_041,quadratic_matching,0.0,0.0,3,1.4891528470481978e-30,2.662405555120915e-30,8,8.0,28,14,0.15903886500746012
matching_042,quadratic_matching,0.0,0.0,3,1.2441222914659494e-30,4.88415833896603e-30,8,8.0,28,14,0.15751851606182754
matching_043,quadratic_matching,0.0,0.0,3,1.2069213843676325e-30,4.88415833896603e-30,8,8.0,28,14,0.15888515196274966
matching_044,quadratic_matching,0.0,0.0,3,1.1362295783955018e-30,4.88415833896603e-30,8,8.0,28,14,0.15956974704749882
matching_045,quadratic_matching,0.0,0.0,3,8.218400993187527e-31,1.7749370367472766e-30,8,8.0,28,14,0.1592043509008363
matching_046,quadratic_matching,0.0,0.0,3,1.3770102922128355e-30,2.2186712959340957e-30,8,8.0,28,14,0.1562495599500835
matching_047,quadratic_matching,0.0,0.0,3,8.625912618565595e-31,1.7256332301709633e-30,8,8.0,28,14,0.15743910695891827
matching_048,quadratic_matching,0.0,0.0,3,6.545925661835792e-31,1.7749370367472766e-30,8,8.0,28,14,0.1581859199795872
matching_049,quadratic_matching,0.0,0.0,3,8.735387527167658e-31,1.9721522630525295e-30,8,8.0,28,14,0.15775096591096371
matching_050,quadratic_matching,0.0,0.0,3,9.75923403675707e-31,1.7256332301709633e-30,8,8.0,28,14,0.155855149962008
matching_051,quadratic_matching,0.0,0.0,3,1.704409379134819e-30,2.8596207814261678e-30,8,8.0,28,14,0.1571324389660731
matching_052,quadratic_matching,0.0,0.0,3,1.2029041599501227e-30,2.8596207814261678e-30,8,8.0,28,14,0.15720140002667904
matching_053,quadratic_matching,0.0,0.0,3,1.5922943632802953e-30,2.8596207814261678e-30,8,8.0,28,14,0.15852139401249588
matching_054,quadratic_matching,0.0,0.0,3,1.8125491629797037e-30,2.662405555120915e-30,8,8.0,28,14,0.15754063602071255
matching_055,quadratic_matching,0.0,0.0,3,1.433751165423211e-30,2.662405555120915e-30,8,8.0,28,14,0.15810461400542408
matching_056,quadratic_matching,0.0,0.0,3,1.5183568999562971e-30,2.662405555120915e-30,8,8.0,28,14,0.15782863891217858
matching_057,quadratic_matching,0.0,0.0,3,2.0143693044515318e-30,4.88415833896603e-30,8,8.0,28,14,0.15899317699950188
matching_058,quadratic_matching,0.0,0.0,3,1.162743960960814e-30,4.88415833896603e-30,8,8.0,28,14,0.1552121889544651
matching_059,quadratic_matching,0.0,0.0,3,1.172814994831903e-30,4.88415833896603e-30,8,8.0,28,14,0.155114026973024
matching_060,quadratic_matching,0.0,0.0,3,7.5123702695115835e-31,1.2818989709841442e-30,8,8.0,28,14,0.15549557306803763
matching_061,quadratic_matching,0.0,0.0,3,6.766114375067055e-31,2.2186712959340957e-30,8,8.0,28,14,0.15406804194208235
matching_062,quadratic_matching,0.0,0.0,3,8.867368320244191e-31,2.2186712959340957e-30,8,8.0,28,14,0.1531356560299173
matching_063,quadratic_matching,0.0,0.0,3,8.828769206269516e-31,1.5638551148424355e-30,8,8.0,28,14,0.1546971290372312
matching_064,quadratic_matching,0.0,0.0,3,6.669069813940158e-31,1.9721522630525295e-30,8,8.0,28,14,0.1549238710431382
matching_065,quadratic_matching,0.0,0.0,3,7.176531784918919e-31,2.2186712959340957e-30,8,8.0,28,14,0.15372129494789988
matching_066,quadratic_matching,0.0,0.0,3,1.2275784585307291e-30,1.779559268613806e-30,8,8.0,28,14,0.15312206093221903
matching_067,quadratic_matching,0.0,0.0,3,4.657679419351319e-31,1.9721522630525295e-30,8,8.0,28,14,0.1546385829569772
matching_068,quadratic_matching,0.0,0.0,3,5.696624741448493e-31,2.2186712959340957e-30,8,8.0,28,14,0.15161355899181217
matching_069,quadratic_matching,0.0,0.0,3,2.1805731496318025e-30,2.662405555120915e-30,8,8.0,28,14,0.1527786219958216
matching_070,quadratic_matching,0.0,0.0,3,1.5058638314149271e-30,2.662405555120915e-30,8,8.0,28,14,0.1525504180463031
matching_071,quadratic_matching,0.0,0.0,3,1.6989194920133106e-30,2.662405555120915e-30,8,8.0,28,14,0.1532172670122236
matching_072,quadratic_matching,0.0,0.0,3,2.1437934448864156e-30,4.88415833896603e-30,8,8.0,28,14,0.15141222800593823
matching_073,quadratic_matching,0.0,0.0,3,1.3491679564801099e-30,4.88415833896603e-30,8,8.0,28,14,0.1527635270031169
matching_074,quadratic_matching,0.0,0.0,3,1.2991792232289233e-30,4.88415833896603e-30,8,8.0,28,14,0.1514627339784056
matching_075,quadratic_matching,0.0,0.0,3,1.1592693138456246e-30,1.5592328829759061e-30,8,8.0,28,14,0.15065632993355393
matching_076,quadratic_matching,0.0,0.0,3,8.645254176975026e-31,1.7749370367472766e-30,8,8.0,28,14,0.15051424398552626
matching_077,quadratic_matching,0.0,0.0,3,1.0799690400805023e-30,1.8242408433235898e-30,8,8.0,28,14,0.1503390179714188
matching_078,quadratic_matching,0.0,0.0,3,7.7200088643935085e-31,1.5592328829759061e-30,8,8.0,28,14,0.1510360810207203
matching_079,quadratic_matching,0.0,0.0,3,5.751439725901189e-31,1.7749370367472766e-30,8,8.0,28,14,0.14982785296160728
matching_080,quadratic_matching,0.0,0.0,3,9.038178972452632e-31,1.8242408433235898e-30,8,8.0,28,14,0.15069171495269984
matching_081,quadratic_matching,0.0,0.0,3,7.8170135246930125e-31,1.5592328829759061e-30,8,8.0,28,14,0.15210519300308079
matching_082,quadratic_matching,0.0,0.0,3,9.981148384696754e-31,1.7749370367472766e-30,8,8.0,28,14,0.1516232289141044
matching_083,quadratic_matching,0.0,0.0,3,5.1125226977305276e-31,1.7749370367472766e-30,8,8.0,28,14,0.15296778897754848
matching_084,quadratic_matching,0.0,0.0,3,1.99573617028008e-30,2.8596207814261678e-30,8,8.0,28,14,0.1536055930191651
matching_085,quadratic_matching,0.0,0.0,3,1.0711007069154177e-30,2.8596207814261678e-30,8,8.0,28,14,0.15351711807306856
matching_086,quadratic_matching,0.0,0.0,3,1.1077786477358008e-30,2.8596207814261678e-30,8,8.0,28,14,0.1526301970006898
matching_087,quadratic_matching,0.0,0.0,3,1.2964377579619487e-30,4.88415833896603e-30,8,8.0,28,14,0.15462945599574596
matching_088,quadratic_matching,0.0,0.0,3,1.5251680196875495e-30,4.88415833896603e-30,8,8.0,28,14,0.1533528189174831
matching_089,quadratic_matching,0.0,0.0,3,1.3110229697529021e-30,4.88415833896603e-30,8,8.0,28,14,0.15487359301187098
matching_090,quadratic_matching,0.0,0.0,3,9.402218930581203e-31,1.7256332301709633e-30,8,8.0,28,14,0.15821299597155303
matching_091,quadratic_matching,0.0,0.0,3,8.274194085797188e-31,2.2186712959340957e-30,8,8.0,28,14,0.15512720099650323
matching_092,quadratic_matching,0.0,0.0,3,9.520730910801594e-31,2.2186712959340957e-30,8,8.0,28,14,0.1566071630222723
matching_093,quadratic_matching,0.0,0.0,3,4.845172708703291e-31,1.7256332301709633e-30,8,8.0,28,14,0.1566352640511468
matching_094,quadratic_matching,0.0,0.0,3,5.41609960744894e-31,2.2186712959340957e-30,8,8.0,28,14,0.16074758395552635
matching_095,quadratic_matching,0.0,0.0,3,4.205273660965852e-31,1.9721522630525295e-30,8,8.0,28,14,0.15909472899511456
matching_096,quadratic_matching,0.0,0.0,3,4.181499359490183e-31,1.7256332301709633e-30,8,8.0,28,14,0.1586032189661637
matching_097,quadratic_matching,0.0,0.0,3,5.358261596111449e-31,2.2186712959340957e-30,8,8.0,28,14,0.1581417260458693
matching_098,quadratic_matching,0.0,0.0,3,4.8315409297689065e-31,1.9721522630525295e-30,8,8.0,28,14,0.1593510570237413
matching_099,quadratic_matching,0.0,0.0,3,1.2878868688722702e-30,2.8596207814261678e-30,8,8.0,28,14,0.1595469160238281
matching_100,quadratic_matching,0.0,0.0,3,1.0084545985566761e-30,2.8596207814261678e-30,8,8.0,28,14,0.15916959708556533
matching_101,quadratic_matching,0.0,0.0,3,1.4741827784554919e-30,2.8596207814261678e-30,8,8.0,28,14,0.15805017400998622
matching_102,quadratic_matching,0.0,0.0,3,9.671328451011028e-31,2.662405555120915e-30,8,8.0,28,14,0.1606552229495719
matching_103,quadratic_matching,0.0,0.0,3,8.860781756368227e-31,2.662405555120915e-30,8,8.0,28,14,0.1592076369561255
matching_104,quadratic_matching,0.0,0.0,3,1.0857066389448093e-30,2.662405555120915e-30,8,8.0,28,14,0.16034418297931552
quartet_000,quartic_partition,0.0,0.0,3,2.3672282297832252e-30,3.173932548350165e-30,8,8.0,28,14,0.1594807410147041
quartet_001,quartic_partition,0.0,0.0,3,1.7751296297417153e-30,2.4775162804597402e-30,8,8.0,28,14,0.15949329000432044
quartet_002,quartic_partition,0.0,0.0,3,2.063374461592737e-30,2.4775162804597402e-30,8,8.0,28,14,0.15879654802847654
quartet_003,quartic_partition,0.0,0.0,3,2.203841635362314e-30,2.742524240807424e-30,8,8.0,28,14,0.15794318006373942
quartet_004,quartic_partition,0.0,0.0,3,2.847030366678717e-30,4.0729566463901264e-30,8,8.0,28,14,0.16324878192972392
quartet_005,quartic_partition,0.0,0.0,3,2.030595677849798e-30,2.6261980721664348e-30,8,8.0,28,14,0.16060389101039618
quartet_006,quartic_partition,0.0,0.0,3,2.335038118136528e-30,2.588449845256445e-30,8,8.0,28,14,0.16126651805825531
quartet_007,quartic_partition,0.0,0.0,3,2.6697740375659936e-30,2.7463761006961983e-30,8,8.0,28,14,0.15909534506499767
quartet_008,quartic_partition,0.0,0.0,3,3.9250363209236115e-30,3.740926323977767e-30,8,8.0,28,14,0.16300821595359594
quartet_009,quartic_partition,0.0,0.0,3,2.232489903043582e-30,2.4775162804597402e-30,8,8.0,28,14,0.15897136903367937
quartet_010,quartic_partition,0.0,0.0,3,2.7382315543654958e-30,2.784124327606188e-30,8,8.0,28,14,0.16103534505236894
quartet_011,quartic_partition,0.0,0.0,3,2.3423563481704284e-30,3.657726150380238e-30,8,8.0,28,14,0.1593604190275073
quartet_012,quartic_partition,0.0,0.0,3,2.4269045026114246e-30,3.530614774050681e-30,8,8.0,28,14,0.15845809201709926
quartet_013,quartic_partition,0.0,0.0,3,3.320555722473319e-30,3.931208202483226e-30,8,8.0,28,14,0.1610891530290246
quartet_014,quartic_partition,0.0,0.0,3,6.870045616888839e-30,3.959711965660157e-30,8,8.0,28,14,0.15980813698843122
quartet_015,quartic_partition,0.0,0.0,3,2.0048415383445246e-30,3.737844836066747e-30,8,8.0,28,14,0.15776187600567937
quartet_016,quartic_partition,0.0,0.0,3,1.1336314799158489e-30,1.7749370367472766e-30,8,8.0,28,14,0.15995215403381735
quartet_017,quartic_partition,0.0,0.0,3,1.357684314295782e-30,3.1099916741965085e-30,8,8.0,28,14,0.15996302000712603
quartet_018,quartic_partition,0.0,0.0,3,1.2802975719522893e-30,1.7256332301709633e-30,8,8.0,28,14,0.15813191002234817
quartet_019,quartic_partition,0.0,0.0,3,8.306535850142148e-31,1.8242408433235898e-30,8,8.0,28,14,0.15772935398854315
quartet_020,quartic_partition,0.0,0.0,3,1.717881362144805e-30,3.046821172020607e-30,8,8.0,28,14,0.15987841691821814
quartet_021,quartic_partition,0.0,0.0,3,1.9508707371670506e-30,1.7441221576370808e-30,8,8.0,28,14,0.15913911897223443
quartet_022,quartic_partition,0.0,0.0,3,2.7434628331700955e-30,3.1261694857293612e-30,8,8.0,28,14,0.1599288609577343
quartet_023,quartic_partition,0.0,0.0,3,1.4722806206950279e-30,2.2186712959340957e-30,8,8.0,28,14,0.16294511407613754
quartet_024,quartic_partition,0.0,0.0,3,1.201826367412393e-30,2.2032638563789978e-30,8,8.0,28,14,0.16451649100054055
quartet_025,quartic_partition,0.0,0.0,3,9.46209381677449e-31,1.8242408433235898e-30,8,8.0,28,14,0.16233435191679746
quartet_026,quartic_partition,0.0,0.0,3,2.9353083341638948e-30,2.6885982023645813e-30,8,8.0,28,14,0.16102406894788146
quartet_027,quartic_partition,0.0,0.0,3,1.4888632458994467e-30,2.195560136601449e-30,8,8.0,28,14,0.15953574900049716
quartet_028,quartic_partition,0.0,0.0,3,1.9246242507837375e-30,2.4883014881483087e-30,8,8.0,28,14,0.16081470099743456
quartet_029,quartic_partition,0.0,0.0,3,1.223177159978632e-30,2.2186712959340957e-30,8,8.0,28,14,0.15874218591488898
quartet_030,quartic_partition,0.0,0.0,3,8.501861388360025e-31,1.8242408433235898e-30,8,8.0,28,14,0.16087917692493647
quartet_031,quartic_partition,0.0,0.0,3,8.93047693110548e-31,2.0461079729169994e-30,8,8.0,28,14,0.1596926209749654
quartet_032,quartic_partition,0.0,0.0,3,1.1018567830511525e-30,2.2186712959340957e-30,8,8.0,28,14,0.16001255193259567
quartet_033,quartic_partition,0.0,0.0,3,9.845234748776507e-31,1.7749370367472766e-30,8,8.0,28,14,0.15903152094688267
quartet_034,quartic_partition,0.0,0.0,3,1.192295080321528e-30,1.6347293367958858e-30,8,8.0,28,14,0.15997433196753263
nested_prefix_000,nested_prefix_control,0.0,0.0,4,2.879794897593624e-30,3.0701730725963024e-30,8,6.666666666666667,28,14,0.16067515208851546
nested_prefix_001,nested_prefix_control,0.0,0.0,4,9.114463461812594e-31,1.7749370367472766e-30,8,6.666666666666667,28,14,0.1616601390996948
nested_prefix_002,nested_prefix_control,0.0,0.0,4,1.4463252399862044e-30,2.2186712959340957e-30,8,6.666666666666667,28,14,0.16852276807185262
nested_prefix_003,nested_prefix_control,0.0,0.0,4,2.96566729898899e-30,2.914714414897795e-30,8,6.666666666666667,28,14,0.165645711007528
nested_prefix_004,nested_prefix_control,0.0,0.0,4,2.997493291319989e-30,2.9267875882366726e-30,8,6.666666666666667,28,14,0.1604072549380362
nested_prefix_005,nested_prefix_control,0.0,0.0,4,1.3659176648080373e-30,1.7749370367472766e-30,8,6.666666666666667,28,14,0.16893331799656153
nested_prefix_006,nested_prefix_control,0.0,0.0,4,4.396344358177048e-30,5.069047613627205e-30,8,6.666666666666667,28,14,0.16627265000715852
nested_prefix_007,nested_prefix_control,0.0,0.0,4,1.3563361633347108e-30,1.5592328829759061e-30,8,6.666666666666667,28,14,0.1634867729153484
nested_prefix_008,nested_prefix_control,0.0,0.0,4,1.685838702695062e-30,1.6910627876692124e-30,8,6.666666666666667,28,14,0.16103587695397437
nested_prefix_009,nested_prefix_control,0.0,0.0,4,4.3534201945415176e-30,4.247542195848829e-30,8,6.666666666666667,28,14,0.1610239400761202
nested_prefix_010,nested_prefix_control,0.0,0.0,4,1.806233398343569e-30,1.8242408433235898e-30,8,6.666666666666667,28,14,0.16789812000934035
nested_prefix_011,nested_prefix_control,0.0,0.0,4,3.164495491622667e-30,3.320399520620814e-30,8,6.666666666666667,28,14,0.17012820800300688
nested_prefix_012,nested_prefix_control,0.0,0.0,4,3.5143406660206086e-30,3.547899995301556e-30,8,6.666666666666667,28,14,0.16484349605161697
nested_prefix_013,nested_prefix_control,0.0,0.0,4,5.320273137810367e-30,5.388101983039255e-30,8,6.666666666666667,28,14,0.1661242429399863
nested_prefix_014,nested_prefix_control,0.0,0.0,4,1.848507560622869e-30,3.5544963053610825e-30,8,6.666666666666667,28,14,0.1655048109823838
nested_prefix_015,nested_prefix_control,0.0,0.0,4,3.930293385759642e-30,3.9680656867939365e-30,8,6.666666666666667,28,14,0.166494949022308
nested_prefix_016,nested_prefix_control,0.0,0.0,4,3.641789080090434e-30,3.906893336935337e-30,8,6.666666666666667,28,14,0.16399355500470847
nested_prefix_017,nested_prefix_control,0.0,0.0,4,4.1442882767053686e-30,4.1914013379699414e-30,8,6.666666666666667,28,14,0.16360594506841153
nested_prefix_018,nested_prefix_control,0.0,0.0,4,4.246940342741208e-30,5.069047613627205e-30,8,6.666666666666667,28,14,0.16420902009122074
nested_prefix_019,nested_prefix_control,0.0,0.0,4,1.992013415604023e-30,2.2186712959340957e-30,8,6.666666666666667,28,14,0.16573268605861813
nested_prefix_020,nested_prefix_control,0.0,0.0,4,3.963888826227047e-30,4.003541383446727e-30,8,6.666666666666667,28,14,0.16452977701555938
nested_prefix_021,nested_prefix_control,0.0,0.0,4,3.182599233099907e-30,3.1427926685618536e-30,8,6.666666666666667,28,14,0.16369820502586663
nested_prefix_022,nested_prefix_control,0.0,0.0,4,4.49791308861917e-30,5.069047613627205e-30,8,6.666666666666667,28,14,0.15720627992413938
nested_prefix_023,nested_prefix_control,0.0,0.0,4,8.927166774720935e-31,1.9721522630525295e-30,8,6.666666666666667,28,14,0.15833917004056275
