task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,exact_expected_calibration_decrease,expected_calibration_decrease_minus_bound,actual_training_first_step_test_decrease,actual_training_first_step_calibration_decrease
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,0.11114913454509481,0.15056502152557713,0.4201618104084656,0.42016181040846556,0.11735988787732353,4.175678222482818,0.5375216982857891,1.0906441267396167,0.5037493872178116,0.13336895623909134,0.022219821693996528,0.08082601119100169,0.07681853787374784
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.269599480906695,0.3652052875817227,1.0191298964813986,1.0191298964813986,0.2846640685102005,10.128380088807814,1.303793964991599,1.0906441267396167,0.5037493872178116,0.2761658356625125,0.006566354755817516,0.1721448376272247,0.16391907753993784
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,0.03948192987659893,0.05348307610375167,0.1492481178847288,0.1492481178847289,0.0416880876532429,1.4832669227885018,0.1909362055379718,1.0906441267396167,0.5037493872178116,0.050509753779997266,0.011027823903398334,0.030294023200240897,0.028771504288713928
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,0.13707298383696404,0.18568202844273402,0.5181581780437787,0.518158178043779,0.144732301155162,5.149591815008963,0.662890479198941,1.0906441267396167,0.5037493872178116,0.160538209823375,0.02346522598641096,0.09768903080659391,0.09287120407907157
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,0.20846821917024266,0.28239555832107477,0.7880437822362105,0.7880437822362105,0.22011693503451307,7.831785703340629,1.0081607172707236,1.0906441267396167,0.5037493872178116,0.22766521162204156,0.0191969924517989,0.1402424253514067,0.13343595726920487
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,0.269599480906695,0.3652052875817227,1.0191298964813986,1.0191298964813986,0.2846640685102005,10.128380088807814,1.303793964991599,1.0906441267396167,0.5037493872178116,0.2761658356625125,0.006566354755817516,0.1721448376272247,0.16391907753993784
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,0.03948192987659893,0.05348307610375167,0.1492481178847288,0.1492481178847289,0.0416880876532429,1.4832669227885018,0.1909362055379718,1.0906441267396167,0.5037493872178116,0.050509753779997266,0.011027823903398334,0.030294023200240897,0.028771504288713928
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,0.12845447602533194,0.17400721136487127,0.48557881645022816,0.48557881645022816,0.1356322113111641,4.825809578407479,0.6212110277613923,1.0906441267396167,0.5037493872178116,0.1516709069689145,0.023216430943582556,0.0921662974533086,0.08761265824762254
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,0.2082954949890697,0.2821615824096767,0.787390856732472,0.7873908567324722,0.21993455943060825,7.825296758511936,1.0073254161630805,1.0906441267396167,0.5037493872178116,0.22751644319397007,0.019220948204900362,0.14014636108932862,0.133344273643899
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,0.269599480906695,0.3652052875817227,1.0191298964813986,1.0191298964813986,0.2846640685102005,10.128380088807814,1.303793964991599,1.0906441267396167,0.5037493872178116,0.2761658356625125,0.006566354755817516,0.1721448376272247,0.16391907753993784
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_b_k1,balanced_permutation_b,balanced,1,0.18840039778945986,0.125,0.6340039778945984,64,64,8,0.03948192987659893,0.05348307610375167,0.1492481178847288,0.1492481178847289,0.0416880876532429,1.4832669227885018,0.1909362055379718,1.0906441267396167,0.5037493872178116,0.050509753779997266,0.011027823903398334,0.030294023200240897,0.028771504288713928
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.31340039778945983,0.25,0.6340039778945984,64,64,16,0.10519606277002846,0.14250086174939347,0.3976582306483495,0.3976582306483495,0.11107417239328635,3.9520317472335127,0.5087324030416358,1.0906441267396167,0.5037493872178116,0.12691964416198115,0.021723581391952684,0.07684745226573461,0.07303270552004494
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,0.2145966857425764,0.2906973116829764,0.8112103828633599,0.8112103828633601,0.22658784596632253,8.06202145378568,1.0377982288296828,1.0906441267396167,0.5037493872178116,0.23290091353518672,0.018304227792610317,0.1436292947841405,0.13666874744103993
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,balanced_permutation_b_k8,balanced_permutation_b,balanced,8,1.06340039778946,1.0,0.6340039778945984,64,64,64,0.269599480906695,0.3652052875817227,1.0191298964813986,1.0191298964813986,0.2846640685102005,10.128380088807814,1.303793964991599,1.0906441267396167,0.5037493872178116,0.2761658356625125,0.006566354755817516,0.1721448376272247,0.16391907753993784
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,comb_contiguous_k1,comb_contiguous,comb,1,0.225,0.125,1.0,64,64,8,0.03948192987659893,0.05348307610375167,0.1492481178847288,0.1492481178847289,0.0416880876532429,1.4832669227885018,0.1909362055379718,1.0906441267396167,0.5037493872178116,0.050509753779997266,0.011027823903398334,0.030294023200240897,0.028771504288713928
s7206_r1_n000_a375,confirmatory,7206,1,0.0,0.375,feedback_only,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,0.03980983465655988,0.05392726301042644,0.15048765129678687,0.15048765129678682,0.04203431498437024,1.4955857307966345,0.19252196628115706,1.0906441267396167,0.5037493872178116,0.050914783780153,0.011104949123593125,0.03053831612588879,0.029003609140708833
