seed,depth,config_index,batch_size,checkpoint_sha256,batch_loss,path_gain_mean,path_gain_cv,path_gain_log_variance,shared_gradient_cosine,shared_gradient_norm_ratio,shared_exact_gradient_norm,shared_approximate_gradient_norm,shared_gradient_parameter_tensors,shared_gradient_parameter_scalars,shared_gradient_tensors_missing_from_approximate,shared_gradient_tensors_unexpected_in_approximate,path_gradient_cosine,path_gradient_norm_ratio,path_exact_gradient_norm,path_approximate_gradient_norm,path_gradient_parameter_tensors,path_gradient_parameter_scalars,path_gradient_tensors_missing_from_approximate,path_gradient_tensors_unexpected_in_approximate
10200,2,10,128,3446679abce5c684c89d54f726bf3f6eaa945c4cbb6a76e49d8ea80ec6a5f55f,0.6419017315,0.2068778204,0.7843363644,0.4500742927,0.8328484358,7.808014953,0.01348773522,0.1053124383,6,66048,0,0,1,1.000000019,0.01348773522,0.01348773548,6,66048,0,0
10201,2,11,128,3888ed8e21fc391b0f9845e91dc4eefbb716d638025dc01b97a1c4c01df539cb,0.6028060913,0.2103549469,0.7624479001,0.429615706,0.7349951672,7.243753934,0.00200490956,0.01452307151,6,66048,0,0,1,0.9999999419,0.00200490956,0.002004909443,6,66048,0,0
10202,2,12,128,68bdd7051121cfffe71212b80e145f36fe0c9d32a600a2f857326bdf0bb407fc,0.6461750865,0.2076952327,0.7801510167,0.4510705829,0.8346243736,7.853407662,0.01243438478,0.09765229271,6,66048,0,0,1,1.000000004,0.01243438478,0.01243438483,6,66048,0,0
10203,2,13,128,e05b7ee140eaba2a0ac235b6993e5a326262d58594eb9b3d3e1633d65f2c73d6,0.6258407235,0.2057720793,0.7925515202,0.4641938037,0.7292109005,7.632620248,0.006625729767,0.05057167918,6,66048,0,0,1,0.9999999682,0.006625729767,0.006625729556,6,66048,0,0
10204,2,14,128,866f88a2719949647f12aef271d159a811e6bfb87c8f0c085f9a76e3bb0fbe19,0.5845357776,0.2065959221,0.7870323825,0.4563921078,0.8894465066,9.999957874,0.002434983051,0.02434972794,6,66048,0,0,1,1.000000016,0.002434983051,0.002434983092,6,66048,0,0
10205,2,15,128,4972cb8b1b2486972736e83e5b010947af41209aedbcf5657e5de72ed0b7f069,0.5683778524,0.2072838205,0.7819539811,0.450005437,0.8283627967,7.877686153,0.01499531722,0.1181284028,6,66048,0,0,1,0.9999999831,0.01499531722,0.01499531696,6,66048,0,0
10206,2,16,128,6f87b08bc0e3331e95a63766917fcec3eda59838afeee414528763e3021f3533,0.5280153155,0.2106156636,0.759801834,0.4225850326,0.7639393896,6.590899125,0.002734114936,0.01802027574,6,66048,0,0,1,0.9999999934,0.002734114936,0.002734114918,6,66048,0,0
10207,2,17,128,4668603f55e8292777d6f3565aabb47c859e9809838179df4ccae752fecb2ea6,0.6029656529,0.2083989558,0.7754979367,0.4466213542,0.8594440103,8.715941033,0.004921590969,0.04289629667,6,66048,0,0,1,0.99999999,0.004921590969,0.004921590919,6,66048,0,0
10208,2,18,128,2cbc4cf0f63d30474e3c23fa5810904e3e9b34693dcfac2a192bb3e094064e40,0.5824147463,0.2086781514,0.7731910163,0.4407576246,0.702053653,8.017037856,0.007410052559,0.05940667188,6,66048,0,0,1,1.000000008,0.007410052559,0.007410052618,6,66048,0,0
10209,2,19,128,5e06483da783a91129aaa9c5deaa409d478f7ae57de66ca23ad967ee3e019a28,0.5912193656,0.2081262861,0.7769231461,0.4450697776,0.8147587555,8.190369574,0.006462454465,0.05292989042,6,66048,0,0,1,0.9999999209,0.006462454465,0.006462453953,6,66048,0,0
10200,3,20,128,561cf963ce47de460871c01924b5e3bf74fc7a5848d03f83bc1cf6d17019aa2a,0.3523958027,0.2570847036,0.6733473121,0.5636238931,0.8513980904,6.033566794,0.01569398589,0.09469071215,9,66048,0,0,1,0.9999999974,0.01569398589,0.01569398585,9,66048,0,0
10201,3,21,128,5c2b88d41b23049b627d34d9ba5c2350fdcbeca86e83c138af978f6839c79025,0.3540511727,0.2656809541,0.7050309251,0.6707369839,0.7788412936,5.211810899,0.02342881953,0.122106577,9,66048,0,0,1,0.9999999612,0.02342881953,0.02342881862,9,66048,0,0
10202,3,22,128,4752d7c4c4491d29f2708aba16eeeed4272c44b5d6ec7145f92d1ae8fec0741d,0.3369863331,0.2602474652,0.717662018,0.6706587286,0.7538315664,7.406914909,0.02939005787,0.2176896578,9,66048,0,0,1,0.9999999338,0.02939005787,0.02939005592,9,66048,0,0
10203,3,23,128,8721bf3ec01fbd1d26228be8ca66cf168615f7ba4532ea6c1e075dfd34bf6380,0.387396574,0.2600379974,0.6925238822,0.6221330276,0.6793039587,6.39406412,0.03143870023,0.2010210651,9,66048,0,0,1,1.000000034,0.03143870023,0.03143870129,9,66048,0,0
10204,3,24,128,84952f597ae172cf5662b36bf67db850f5f7e92a0a6c5bee6009fb16b70e9320,0.3859269321,0.2604496909,0.7109843181,0.6339953379,0.8021054714,8.313109179,0.0192112771,0.159705444,9,66048,0,0,1,1.000000054,0.0192112771,0.01921127813,9,66048,0,0
10205,3,25,128,5cc8f7b165c46b354050cf1ac85662dbffb05eaf5c75fec8bef048b88701e189,0.3260373771,0.2608295526,0.7207871992,0.6429211347,0.7890589106,7.458064215,0.02947497518,0.2198262577,9,66048,0,0,1,1.000000039,0.02947497518,0.02947497634,9,66048,0,0
10206,3,26,128,474d9e64f95a9c75cdc8df257e9622d4dd8eb6934733ff6fc403583abe2ab804,0.4090553522,0.2647252674,0.6633598962,0.5580201751,0.8278409532,5.155263166,0.00867321117,0.04471268608,9,66048,0,0,1,0.9999999951,0.00867321117,0.008673211128,9,66048,0,0
10207,3,27,128,e3f5658f25e3f71736f8a666affb11e704a96501129ec660cc814ab8876f6a5c,0.3792077005,0.2615500228,0.679653494,0.585557321,0.7872703355,5.478575605,0.006473303705,0.03546448376,9,66048,0,0,1,1.000000038,0.006473303705,0.006473303952,9,66048,0,0
10208,3,28,128,23f460542bcd33a9f811496b6b880e1ccf54339c5414d07155655dc9fa5e6747,0.3713009953,0.2636189527,0.7135869934,0.6664519347,0.670289506,6.960482012,0.01668494617,0.1161352677,9,66048,0,0,1,1.000000029,0.01668494617,0.01668494666,9,66048,0,0
10209,3,29,128,51d319bbfe96f7370640315c9539687ec8366c28f2fa994e910a75d07b91ca88,0.3485896587,0.2583616254,0.6664350268,0.5894769162,0.7339374047,7.600948214,0.01653614388,0.1256903733,9,66048,0,0,1,0.9999999375,0.01653614388,0.01653614285,9,66048,0,0
