seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10206,1,6,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3961164764,0.3627489562,0.0002023111592,0.001838270924,0.2904396206,0.9401701689,0.9720113277,65536
10206,1,6,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,67.06548136,51.56044339,5.590656281,8.268661261,58.25528717,173.1393166,305.2223511,65536
10206,1,6,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.03646878693,0.0400003276,0.003276300151,0.005775695667,0.01716582384,0.12093856,0.1788698733,65536
10206,1,6,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10206,1,6,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240312788,0.004292890794,0.1162856743,0.1176174134,0.1239719726,0.1319074631,0.1338237673,65536
10206,1,6,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3898742407,0.0758444177,0.2017638981,0.2659793779,0.4220367968,0.474764818,0.4844644368,8192
10206,1,6,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.0360639,0.03011536862,129.0055237,129.0064697,129.0115051,129.0836945,129.1074677,8192
10206,1,6,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007749771852,1.808487512e-06,0.007745485287,0.007746911608,0.007751246681,0.007751549128,0.007751605939,8192
10206,1,6,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10206,1,6,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10207,1,7,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3682754606,0.3466411704,0.0001705881441,0.001168581686,0.2739231735,0.9260763079,0.9722257257,65536
