cohort,root_id,channels,method,total_capture,residual_capture,dictionary_rank,nonzero_coefficients,wiring_density,coverage,incremental_total_capture
pinky,648518346349539333,2,common + surrogate ancestry,0.5850741216458905,0.30158444696746656,2.0,11.635,0.6463888888888889,1.0,0.17917011013368075
pinky,648518346349539333,2,common-constrained SVD,0.8054640907427989,0.6725513839062064,2.0,18.0,1.0,1.0,0.3995600792305893
pinky,648518346349539333,4,common + ancestry,0.9228038940959412,0.8700612234387347,3.0,12.0,0.3333333333333333,1.0,0.5168998825837317
pinky,648518346349539333,4,common + depth bins,0.5458352485344558,0.2355364111756191,4.0,15.0,0.4166666666666667,1.0,0.1399312370222461
pinky,648518346349539333,4,common + random routes,0.7003707080897965,0.4956550831577253,2.235,13.115,0.36430555555555555,1.0,0.29446669657758684
pinky,648518346349539333,4,common + shuffled routes,0.6140616064349236,0.35037704168405076,3.67,12.0,0.33333333333333326,1.0,0.20815759492271396
pinky,648518346349539333,4,common + surrogate ancestry,0.9217065228995928,0.8682140956721567,3.735,14.98,0.4161111111111111,1.0,0.5158025113873831
pinky,648518346349539333,4,common-constrained SVD,0.9967592577148312,0.9945450864036004,4.0,36.0,1.0,1.0,0.5908552462026218
pinky,648518346349539333,8,common + ancestry,0.9999920469332148,0.9999866131619476,5.0,25.0,0.3472222222222222,1.0,0.5940880354210052
pinky,648518346349539333,8,common + depth bins,0.7541434219939828,0.5861669111218543,8.0,16.0,0.2222222222222222,1.0,0.3482394104817731
pinky,648518346349539333,8,common + random routes,0.9062094113494426,0.8421288975721049,3.74,18.965,0.26340277777777776,1.0,0.500305399837233
pinky,648518346349539333,8,common + shuffled routes,0.7663019749029243,0.6066325482319282,5.625,25.0,0.3472222222222222,1.0,0.36039796339071467
pinky,648518346349539333,8,common + surrogate ancestry,0.9749057867537367,0.9577606754926283,4.815,20.01,0.2779166666666667,1.0,0.5690017752415271
pinky,648518346349539333,8,common-constrained SVD,1.0,1.0,8.0,72.0,1.0,1.0,0.5940959884877905
pinky,648518346349539366,1,common + ancestry,0.4293927026721389,2.0818940778831275e-32,1.0,9.0,1.0,1.0,2.7755575615628914e-16
pinky,648518346349539366,1,common + depth bins,0.4293927026721389,2.0818940778831275e-32,1.0,9.0,1.0,1.0,2.7755575615628914e-16
pinky,648518346349539366,1,common + random routes,0.4293927026721389,2.0818940778831275e-32,1.0,9.0,1.0,1.0,2.7755575615628914e-16
pinky,648518346349539366,1,common + shuffled routes,0.4293927026721389,2.0818940778831275e-32,1.0,9.0,1.0,1.0,2.7755575615628914e-16
pinky,648518346349539366,1,common + surrogate ancestry,0.4293927026721389,2.0818940778831275e-32,1.0,9.0,1.0,1.0,2.7755575615628914e-16
pinky,648518346349539366,1,common-constrained SVD,0.4293927026721389,2.0818940778831275e-32,1.0,9.0,1.0,1.0,2.7755575615628914e-16
pinky,648518346349539366,2,common + ancestry,0.4816195077962532,0.0915284563809312,2.0,10.0,0.5555555555555556,1.0,0.0522268051241145
pinky,648518346349539366,2,common + depth bins,0.4759418259650653,0.0815782123904032,2.0,13.0,0.7222222222222222,1.0,0.0465491232929266
pinky,648518346349539366,2,common + random routes,0.5089639607783217,0.1394501235417298,1.405,9.49,0.5272222222222223,1.0,0.0795712581061831
pinky,648518346349539366,2,common + shuffled routes,0.48739446826765415,0.10164918301454583,2.0,10.0,0.5555555555555556,1.0,0.05800176559551547
pinky,648518346349539366,2,common + surrogate ancestry,0.4825358268434045,0.09313432271219355,2.0,11.475,0.6375,1.0,0.05314312417126587
pinky,648518346349539366,2,common-constrained SVD,0.8742255821724921,0.7795779717215215,2.0,18.0,1.0,1.0,0.4448328795003535
pinky,648518346349539366,4,common + ancestry,0.9767229454247748,0.9592065249003454,4.0,12.0,0.3333333333333333,1.0,0.5473302427526361
pinky,648518346349539366,4,common + depth bins,0.4907639453733233,0.1075542548940125,4.0,15.0,0.4166666666666667,1.0,0.0613712427011847
pinky,648518346349539366,4,common + random routes,0.6168803848035886,0.3285756824517484,2.17,10.4,0.2888888888888889,1.0,0.18748768213144998
pinky,648518346349539366,4,common + shuffled routes,0.602014400112769,0.3025227652170114,3.695,12.0,0.33333333333333326,1.0,0.17262169744063027
pinky,648518346349539366,4,common + surrogate ancestry,0.7535277318279964,0.5680527232542821,3.775,15.245,0.4234722222222222,1.0,0.32413502915585773
pinky,648518346349539366,4,common-constrained SVD,0.9772208081416968,0.9600790386576236,4.0,36.0,1.0,1.0,0.5478281054695582
pinky,648518346349539366,8,common + ancestry,0.9999392640731158,0.9998935591480012,6.0,16.0,0.2222222222222222,1.0,0.5705465614009773
pinky,648518346349539366,8,common + depth bins,0.5713773997734799,0.2488308470050267,8.0,16.0,0.2222222222222222,1.0,0.1419846971013412
pinky,648518346349539366,8,common + random routes,0.7929663643428826,0.637169667078128,3.41,11.99,0.16652777777777775,1.0,0.36357366167074395
pinky,648518346349539366,8,common + shuffled routes,0.7624605291870604,0.5837076183124004,5.75,16.0,0.2222222222222222,1.0,0.3330678265149218
pinky,648518346349539366,8,common + surrogate ancestry,0.9650897160414609,0.9388190720272536,5.91,19.87,0.27597222222222223,1.0,0.5356970133693221
pinky,648518346349539366,8,common-constrained SVD,0.9999999999888018,0.9999999999803744,8.0,72.0,1.0,1.0,0.5706072973166632
pinky,648518346349539785,1,common + ancestry,0.2910458973448029,1.102624025662642e-33,1.0,11.0,1.0,1.0,-5.551115123125783e-17
pinky,648518346349539785,1,common + depth bins,0.2910458973448029,1.102624025662642e-33,1.0,11.0,1.0,1.0,-5.551115123125783e-17
pinky,648518346349539785,1,common + random routes,0.2910458973448029,1.102624025662642e-33,1.0,11.0,1.0,1.0,-5.551115123125783e-17
pinky,648518346349539785,1,common + shuffled routes,0.2910458973448029,1.102624025662642e-33,1.0,11.0,1.0,1.0,-5.551115123125783e-17
pinky,648518346349539785,1,common + surrogate ancestry,0.2910458973448029,1.102624025662642e-33,1.0,11.0,1.0,1.0,-5.551115123125783e-17
pinky,648518346349539785,1,common-constrained SVD,0.2910458973448029,1.102624025662642e-33,1.0,11.0,1.0,1.0,-5.551115123125783e-17
pinky,648518346349539785,2,common + ancestry,0.8558052757718655,0.7966092252120526,2.0,12.0,0.5454545454545454,1.0,0.5647593784270626
pinky,648518346349539785,2,common + depth bins,0.3604440040499205,0.0978880105851782,2.0,16.0,0.7272727272727273,1.0,0.0693981067051175
pinky,648518346349539785,2,common + random routes,0.5056325242064663,0.3026805628996107,1.595,11.595,0.5270454545454545,1.0,0.21458662686166335
pinky,648518346349539785,2,common + shuffled routes,0.3590530441212419,0.09592602189864824,2.0,12.0,0.5454545454545454,1.0,0.0680071467764389
pinky,648518346349539785,2,common + surrogate ancestry,0.333201591650906,0.059461810219054126,2.0,12.54,0.57,1.0,0.04215569430610305
pinky,648518346349539785,2,common-constrained SVD,0.8560428336406741,0.7969443073674688,2.0,22.0,1.0,1.0,0.5649969362958711
pinky,648518346349539785,4,common + ancestry,0.9542403805461578,0.935454750480374,3.0,14.0,0.3181818181818182,1.0,0.6631944832013548
pinky,648518346349539785,4,common + depth bins,0.4213549416230802,0.1838046268301994,4.0,19.0,0.4318181818181818,1.0,0.1303090442782772
pinky,648518346349539785,4,common + random routes,0.7844740674817463,0.6959945196578183,2.47,12.715,0.2889772727272727,1.0,0.49342817013694334
pinky,648518346349539785,4,common + shuffled routes,0.46492542722268854,0.2452620405561751,3.65,14.0,0.3181818181818182,1.0,0.17387952987788555
pinky,648518346349539785,4,common + surrogate ancestry,0.6650628532899562,0.5275615932602313,3.855,15.18,0.345,1.0,0.3740169559451532
pinky,648518346349539785,4,common-constrained SVD,0.9999971732131016,0.9999960127363848,4.0,44.0,1.0,1.0,0.7089512758682988
pinky,648518346349539785,8,common + ancestry,0.997431131014618,0.9963765369637329,4.0,16.0,0.1818181818181818,1.0,0.7063852336698151
pinky,648518346349539785,8,common + depth bins,0.5016859115165215,0.2971137530382052,8.0,20.0,0.2272727272727272,1.0,0.2106400141717185
pinky,648518346349539785,8,common + random routes,0.972534996843817,0.961259829016688,3.62,14.925,0.16960227272727268,1.0,0.6814890994990139
pinky,648518346349539785,8,common + shuffled routes,0.5666880693687605,0.3888011522771558,5.22,16.0,0.1818181818181818,1.0,0.27564217202395747
pinky,648518346349539785,8,common + surrogate ancestry,0.9636078107606629,0.9486677782058957,5.155,17.325,0.19687499999999997,1.0,0.6725619134158599
pinky,648518346349539785,8,common-constrained SVD,1.0,1.0,8.0,88.0,1.0,1.0,0.7089541026551971
pinky,648518346349539825,1,common + ancestry,0.5883157322277871,7.565057262801993e-33,1.0,12.0,1.0,1.0,-3.3306690738754696e-16
pinky,648518346349539825,1,common + depth bins,0.5883157322277871,7.565057262801993e-33,1.0,12.0,1.0,1.0,-3.3306690738754696e-16
pinky,648518346349539825,1,common + random routes,0.5883157322277871,7.565057262801993e-33,1.0,12.0,1.0,1.0,-3.3306690738754696e-16
pinky,648518346349539825,1,common + shuffled routes,0.5883157322277871,7.565057262801993e-33,1.0,12.0,1.0,1.0,-3.3306690738754696e-16
pinky,648518346349539825,1,common + surrogate ancestry,0.5883157322277871,7.565057262801993e-33,1.0,12.0,1.0,1.0,-3.3306690738754696e-16
pinky,648518346349539825,1,common-constrained SVD,0.5883157322277871,7.565057262801993e-33,1.0,12.0,1.0,1.0,-3.3306690738754696e-16
pinky,648518346349539825,2,common + ancestry,0.8433439257171907,0.6194751984802874,2.0,15.0,0.625,1.0,0.2550281934894033
pinky,648518346349539825,2,common + depth bins,0.6322754601163508,0.106780198637289,2.0,17.0,0.7083333333333334,1.0,0.0439597278885633
pinky,648518346349539825,2,common + random routes,0.6972538576453415,0.2646157114700103,1.49,13.09,0.5454166666666667,1.0,0.10893812541755411
pinky,648518346349539825,2,common + shuffled routes,0.650620796465898,0.15134186345100886,2.0,15.0,0.625,1.0,0.0623050642381104
pinky,648518346349539825,2,common + surrogate ancestry,0.645393241128602,0.13864389137259006,1.99,14.715,0.613125,1.0,0.05707750890081458
pinky,648518346349539825,2,common-constrained SVD,0.8535185103563985,0.6441897320092623,2.0,24.0,1.0,1.0,0.265202778128611
pinky,648518346349539825,4,common + ancestry,0.9955965343778056,0.9893037796998584,3.0,16.0,0.3333333333333333,1.0,0.4072808021500181
pinky,648518346349539825,4,common + depth bins,0.7824745805299178,0.4716207625635089,4.0,20.0,0.4166666666666667,1.0,0.1941588483021303
pinky,648518346349539825,4,common + random routes,0.8946596757132546,0.7441235127667524,2.47,14.99,0.31229166666666663,1.0,0.306343943485467
