cohort,regime,root_id,focal_segment_id,dose,perturbation,category,n_sites,median_abs_log_gradient_change,mean_abs_log_gradient_change,synapse_weighted_median_abs_log_gradient_change,median_signed_log_gradient_change,gradient_sign_flip_fraction
original_eight,Ra150_Rm300,864691135060651419,6962,1.0,focal shunt,depth-matched unrelated,3,0.002703829356229926,0.0027038293562315213,0.002703829356229926,-0.002703829356229926,0.0
original_eight,Ra150_Rm300,864691135060651419,7803,1.0,matched additive,descendant,3,0.08967528327741446,0.08447259562867131,0.05002099325986116,0.08967528327741446,0.0
original_eight,Ra150_Rm300,864691135060651419,7803,1.0,matched additive,depth-matched unrelated,3,0.0,0.0,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135060651419,7803,1.0,focal shunt,descendant,3,0.11231895201295186,0.11666042782985764,0.1456668292308329,-0.11231895201295186,0.0
original_eight,Ra150_Rm300,864691135060651419,7803,1.0,focal shunt,depth-matched unrelated,3,0.0027907742246934004,0.002790774224692398,0.002790774224689838,-0.0027907742246934004,0.0
original_eight,Ra150_Rm300,864691135060651419,7968,1.0,matched additive,descendant,3,0.012015954640837906,0.017540438111917096,0.012015954640837906,0.012015954640837906,0.0
original_eight,Ra150_Rm300,864691135060651419,7968,1.0,matched additive,depth-matched unrelated,3,0.0,3.700743415417188e-17,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135060651419,7968,1.0,focal shunt,descendant,3,0.04810298571948446,0.04287974542773201,0.04810298571948446,-0.04810298571948446,0.0
original_eight,Ra150_Rm300,864691135060651419,7968,1.0,focal shunt,depth-matched unrelated,3,0.0020960902837954955,0.0020960902837956438,0.002096090283794049,-0.0020960902837954955,0.0
original_eight,Ra150_Rm300,864691135060651419,8277,1.0,matched additive,descendant,4,0.22227784169363096,0.21984869393875178,0.23201663372447073,0.22227784169363096,0.0
original_eight,Ra150_Rm300,864691135060651419,8277,1.0,matched additive,depth-matched unrelated,4,1.1102230246251565e-16,4.6980182994910485e-05,1.1102230246251565e-16,-1.1102230246251565e-16,0.0
original_eight,Ra150_Rm300,864691135060651419,8277,1.0,focal shunt,descendant,4,0.19809347930087556,0.19989020757537235,0.1908358899147171,-0.19809347930087556,0.0
original_eight,Ra150_Rm300,864691135060651419,8277,1.0,focal shunt,depth-matched unrelated,4,0.0016497463384522082,0.0016667288539963642,0.0016497463384522082,-0.0016497463384522082,0.0
original_eight,Ra150_Rm300,864691135060651419,8304,1.0,matched additive,descendant,3,0.2809430126872484,0.28173251768659163,0.28869166075790836,0.2809430126872484,0.0
original_eight,Ra150_Rm300,864691135060651419,8304,1.0,matched additive,depth-matched unrelated,3,0.0,1.1102230246251568e-16,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135060651419,8304,1.0,focal shunt,descendant,3,0.18563310366661948,0.18504695281798736,0.17990257593049086,-0.18563310366661948,0.0
original_eight,Ra150_Rm300,864691135060651419,8304,1.0,focal shunt,depth-matched unrelated,3,0.0012005609986556218,0.0012005609986555476,0.0012005609986556218,-0.0012005609986556218,0.0
original_eight,Ra150_Rm300,864691135060651419,8390,1.0,matched additive,descendant,3,0.05001469570864303,0.05853093782880517,0.047389300163374136,0.05001469570864303,0.0
original_eight,Ra150_Rm300,864691135060651419,8390,1.0,matched additive,depth-matched unrelated,3,2.220446049250313e-16,1.8503717077085943e-16,3.33066907387547e-16,-2.220446049250313e-16,0.0
original_eight,Ra150_Rm300,864691135060651419,8390,1.0,focal shunt,descendant,3,0.07674658048501891,0.06913231821336324,0.07908966695388646,-0.07674658048501891,0.0
original_eight,Ra150_Rm300,864691135060651419,8390,1.0,focal shunt,depth-matched unrelated,3,0.0021533204716455245,0.002153320471645376,0.0021533204716455245,-0.0021533204716455245,0.0
original_eight,Ra150_Rm300,864691135196576298,4720,1.0,matched additive,descendant,6,0.0005545467734805086,0.0016434897962694006,0.0002569993125318588,0.0005545467734805086,0.0
original_eight,Ra150_Rm300,864691135196576298,4720,1.0,matched additive,depth-matched unrelated,6,0.0,3.700743415417188e-17,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135196576298,4720,1.0,focal shunt,descendant,6,0.02504548501445953,0.023971885303167278,0.025338830949873922,-0.02504548501445953,0.0
original_eight,Ra150_Rm300,864691135196576298,4720,1.0,focal shunt,depth-matched unrelated,6,0.011364888099203281,0.011364888099205134,0.011364888099202046,-0.011364888099203281,0.0
original_eight,Ra150_Rm300,864691135196576298,4724,1.0,matched additive,descendant,5,0.0008765410830810062,0.0038026054483162306,0.0005336701534277108,0.0008765410830810062,0.0
original_eight,Ra150_Rm300,864691135196576298,4724,1.0,matched additive,depth-matched unrelated,5,0.0,4.494861311928459e-05,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135196576298,4724,1.0,focal shunt,descendant,5,0.03339189595490285,0.030538478451710628,0.0337262175781381,-0.03339189595490285,0.0
original_eight,Ra150_Rm300,864691135196576298,4724,1.0,focal shunt,depth-matched unrelated,5,0.008978383467531837,0.009174440035931356,0.008978383467523995,-0.008978383467531837,0.0
original_eight,Ra150_Rm300,864691135196576298,4737,1.0,matched additive,descendant,3,0.0050225745175683945,0.026830120273728945,0.001757957690410515,0.0050225745175683945,0.0
original_eight,Ra150_Rm300,864691135196576298,4737,1.0,matched additive,depth-matched unrelated,3,0.0,0.0002423442617264554,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135196576298,4737,1.0,focal shunt,descendant,3,0.1878896399621473,0.16938498690295808,0.19064380452377475,-0.1878896399621473,0.0
original_eight,Ra150_Rm300,864691135196576298,4737,1.0,focal shunt,depth-matched unrelated,3,0.02156725173995924,0.021846335827647667,0.02156725173995924,-0.02156725173995924,0.0
original_eight,Ra150_Rm300,864691135196576298,5647,1.0,matched additive,descendant,3,0.009198882007067734,0.03003186576288422,0.009198882007067734,0.009198882007067734,0.0
original_eight,Ra150_Rm300,864691135196576298,5647,1.0,matched additive,depth-matched unrelated,3,0.0,0.0,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135196576298,5647,1.0,focal shunt,descendant,3,0.2092133409373473,0.19176846846428586,0.2092133409373473,-0.2092133409373473,0.0
original_eight,Ra150_Rm300,864691135196576298,5647,1.0,focal shunt,depth-matched unrelated,3,0.03267319602911999,0.03267319602913005,0.03267319602911999,-0.03267319602911999,0.0
original_eight,Ra150_Rm300,864691135277186789,1502,1.0,matched additive,descendant,27,0.0030606923212303815,0.005687794126151953,0.0030606923212303815,0.0030606923212303815,0.0
original_eight,Ra150_Rm300,864691135277186789,1502,1.0,matched additive,depth-matched unrelated,27,0.000394462518905864,0.0003548830671415922,0.000394462518905864,0.000394462518905864,0.0
original_eight,Ra150_Rm300,864691135277186789,1502,1.0,focal shunt,descendant,27,0.052073325821670007,0.04957447329151129,0.052073325821670007,-0.052073325821670007,0.0
original_eight,Ra150_Rm300,864691135277186789,1502,1.0,focal shunt,depth-matched unrelated,27,0.0076574161341966,0.006845821785579188,0.0076574161341966,-0.0076574161341966,0.0
