panel,record,block,route_columns,site_count,route,origin_segment,support_sites,field_t,field_normalized,field_scale,method,series,channels,total_capture_mean,ci95_low,ci95_high,n_cells,broadcast,spatial,unexplained,root_id,ancestry_total_capture,surrogate_mean,ancestry_minus_surrogate,fraction_surrogates_ge,n_replicates,control,residual_pp,residual_lo,residual_hi,total_pp,total_lo,total_hi,cells_positive,wiring_pct,dictionary_rank,cell_difference_pp,cohort,residual_capture,cell_residual_capture
D,,,,,,,,,,,common + random routes,Random routes,2.0,0.2326546959294747,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + random routes,Random routes,4.0,0.2928302104865453,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + random routes,Random routes,8.0,0.4040230068708773,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + random routes,Random routes,16.0,0.5907603026514574,,,46.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common-constrained SVD,SVD oracle,1.0,0.2026335066924924,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common-constrained SVD,SVD oracle,2.0,0.3837760736301739,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common-constrained SVD,SVD oracle,4.0,0.5504221578503211,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common-constrained SVD,SVD oracle,8.0,0.7421669720945812,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common-constrained SVD,SVD oracle,16.0,0.9261856122337409,,,46.0,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,common + ancestry,Ancestry,,,,,47.0,0.20263350669249258,0.4164181338457352,0.3809483594617722,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,common + surrogate ancestry,Surrogate tree,,,,,47.0,0.20263350669249258,0.3756131588342152,0.4217533344732922,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,common + depth bins,Depth bins,,,,,47.0,0.20263350669249258,0.3088311396820683,0.4885353536254391,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,common + shuffled routes,Shuffled routes,,,,,47.0,0.2026335066924925,0.2331862829940077,0.5641802103134999,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,common + random routes,Random routes,,,,,47.0,0.20263350669249258,0.2013895001783847,0.5959769931291228,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,common-constrained SVD,SVD oracle,,,,,47.0,0.2026335066924927,0.5395334654020885,0.25783302790541884,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691134941194851,0.4641658273389228,0.38713374059630423,0.07703208674261858,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135082534135,0.5800693788549806,0.7122625961626887,-0.13219321730770817,0.895,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135334986985,0.397418256063054,0.3429995839726796,0.054418672090374376,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135342193329,0.5638309846782007,0.6525042490365506,-0.08867326435834988,0.975,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135367232761,0.6182371474483366,0.5849482017443566,0.03328894570398,0.035,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135404231406,0.5740609058345305,0.6109593066273068,-0.03689840079277629,0.74,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135404277230,0.5711818699575073,0.5340971334139687,0.03708473654353861,0.15,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135416557754,0.5154813484078096,0.7037681879073696,-0.18828683949956004,0.975,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135455195242,0.6772307355722389,0.6691207063470381,0.008110029225200766,0.415,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135468547212,0.55003186823893,0.5068427097480679,0.043189158490862134,0.185,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135495249040,0.5213845436612797,0.47326767393686586,0.04811686972441387,0.005,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135502788957,0.5146333783276639,0.4688608017810315,0.04577257654663236,0.08,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135516884435,0.8431320755571288,0.809935658657762,0.03319641689936681,0.085,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135572379429,0.6533671674673134,0.46690388842904634,0.18646327903826704,0.02,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135573814980,0.4558898355060073,0.4344377336223081,0.021452101883699226,0.29,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135658994050,0.4907241410052922,0.4820920524686241,0.008632088536668137,0.37,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135687601120,0.4356419228058983,0.41316532532673816,0.022476597479160143,0.145,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135716106266,0.475515986198144,0.4972580656494647,-0.021742079451320673,0.935,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135716174106,0.5752271430507144,0.5148158726651485,0.06041127038556593,0.005,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135740320660,0.7507747405426156,0.6660330623831561,0.08474167815945954,0.075,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135762339894,0.5901634400345047,0.5561835398995799,0.0339799001349248,0.005,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135856802606,0.6583856029081061,0.5881646275444702,0.07022097536363592,0.02,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135856845358,0.5273623160299203,0.548724974590441,-0.021362658560520664,0.715,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135867632406,0.4133155171506919,0.36431137322031404,0.049004143930377886,0.01,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135919106224,0.925708599418492,0.9146635247433565,0.011045074675135491,0.34,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135938349828,0.4407437910756978,0.44873812336415936,-0.00799433228846158,0.58,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135947212897,0.4637930598074651,0.463288347166622,0.0005047126408431191,0.53,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135952698659,0.769839202567788,0.6145021741914456,0.15533702837634245,0.01,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691135992368833,0.7778605725807038,0.7181743655191006,0.059686207061603214,0.03,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136024229689,0.5467946151438262,0.46504898507052617,0.08174563007330005,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136066506392,0.6471344799394353,0.6204002842067751,0.026734195732660226,0.14,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136066697624,0.5004837619976309,0.44302277685449143,0.057460985143139465,0.015,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136066733720,0.725147990298648,0.5992426220659101,0.1259053682327379,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136100511093,0.6263973205754364,0.5270642264029529,0.09933309417248348,0.015,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136109892792,0.6047689271328719,0.5459598667365995,0.05880906039627243,0.06,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136137737085,0.7508393500770171,0.7793741517251493,-0.02853480164813227,0.78,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136195348812,0.5133177766207953,0.29893046511940696,0.2143873115013883,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136275165965,0.6286351638176954,0.627472842344702,0.0011623214729933329,0.51,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136371808392,0.6844559367945038,0.5142548421657341,0.17020109462876964,0.135,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136389026167,0.6188562855298301,0.5255861726245006,0.0932701129053295,0.015,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136419314071,0.9686485097977452,0.9643562112652976,0.004292298532447614,0.115,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136486753554,0.8423449912388195,0.6756330723635773,0.16671191887524217,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136619341965,0.6842755323357402,0.6583691604479001,0.025906371887840174,0.265,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136663284190,0.831098195228449,0.8467243909977508,-0.0156261957693018,0.66,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136673975943,0.6024122474386393,0.5497290355431113,0.05268321189552805,0.01,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691136953057759,0.6302472752479714,0.5739336954360077,0.05631357981196372,0.0,200.0,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,864691137197373249,0.8943973879917134,0.8143328776689086,0.08006451032280482,0.01,200.0,,,,,,,,,,,,,,
G,,,,,,,,,,,,Surrogate tree,,,,,47.0,,,,,,,,,,common + surrogate ancestry,5.083054718661363,2.439175914260112,7.683175938559936,4.080497501152001,1.9942759170239035,6.180718071373578,38.0,20.80409828256876,7.615638297872341,,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691134941194851,,,,,,common + surrogate ancestry,,,,,,,,,,9.22107400989018,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135082534135,,,,,,common + surrogate ancestry,,,,,,,,,,-17.112992388355135,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135334986985,,,,,,common + surrogate ancestry,,,,,,,,,,6.394001245584602,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135342193329,,,,,,common + surrogate ancestry,,,,,,,,,,-12.610970236598956,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135367232761,,,,,,common + surrogate ancestry,,,,,,,,,,4.423394751901383,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135404231406,,,,,,common + surrogate ancestry,,,,,,,,,,-4.509396724610365,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135404277230,,,,,,common + surrogate ancestry,,,,,,,,,,4.858162220074402,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135416557754,,,,,,common + surrogate ancestry,,,,,,,,,,-22.28406307606322,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135455195242,,,,,,common + surrogate ancestry,,,,,,,,,,0.9549898018427538,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135468547212,,,,,,common + surrogate ancestry,,,,,,,,,,5.117210415089691,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135495249040,,,,,,common + surrogate ancestry,,,,,,,,,,5.942786097119058,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135502788957,,,,,,common + surrogate ancestry,,,,,,,,,,5.4162098232989395,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135516884435,,,,,,common + surrogate ancestry,,,,,,,,,,4.512917509850745,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135572379429,,,,,,common + surrogate ancestry,,,,,,,,,,21.517726230069457,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135573814980,,,,,,common + surrogate ancestry,,,,,,,,,,2.5002815083627117,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135658994050,,,,,,common + surrogate ancestry,,,,,,,,,,1.0247284321337813,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135687601120,,,,,,common + surrogate ancestry,,,,,,,,,,2.615736789565343,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135716106266,,,,,,common + surrogate ancestry,,,,,,,,,,-2.691501937811341,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135716174106,,,,,,common + surrogate ancestry,,,,,,,,,,7.7201159380572095,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135740320660,,,,,,common + surrogate ancestry,,,,,,,,,,9.848857374397157,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135762339894,,,,,,common + surrogate ancestry,,,,,,,,,,4.378866052754965,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135856802606,,,,,,common + surrogate ancestry,,,,,,,,,,9.556715585591046,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135856845358,,,,,,common + surrogate ancestry,,,,,,,,,,-2.7864888065070814,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135867632406,,,,,,common + surrogate ancestry,,,,,,,,,,5.795974456349298,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135919106224,,,,,,common + surrogate ancestry,,,,,,,,,,1.6408034934088378,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135938349828,,,,,,common + surrogate ancestry,,,,,,,,,,-0.8992789005827118,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135947212897,,,,,,common + surrogate ancestry,,,,,,,,,,0.0656668954286288,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135952698659,,,,,,common + surrogate ancestry,,,,,,,,,,20.790772473977658,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691135992368833,,,,,,common + surrogate ancestry,,,,,,,,,,7.620863517700716,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136024229689,,,,,,common + surrogate ancestry,,,,,,,,,,9.835363910691191,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136066506392,,,,,,common + surrogate ancestry,,,,,,,,,,3.2260797593494206,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136066697624,,,,,,common + surrogate ancestry,,,,,,,,,,6.794830781673461,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136066733720,,,,,,common + surrogate ancestry,,,,,,,,,,14.98826305647295,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136100511093,,,,,,common + surrogate ancestry,,,,,,,,,,12.576606985060558,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136109892792,,,,,,common + surrogate ancestry,,,,,,,,,,7.54855016017813,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136137737085,,,,,,common + surrogate ancestry,,,,,,,,,,-3.4462692123442884,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136195348812,,,,,,common + surrogate ancestry,,,,,,,,,,24.94293492492433,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136275165965,,,,,,common + surrogate ancestry,,,,,,,,,,0.15283665723364592,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136371808392,,,,,,common + surrogate ancestry,,,,,,,,,,22.88732809794029,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136389026167,,,,,,common + surrogate ancestry,,,,,,,,,,12.62661007045589,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136419314071,,,,,,common + surrogate ancestry,,,,,,,,,,0.5792772762078013,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136486753554,,,,,,common + surrogate ancestry,,,,,,,,,,20.51592923541814,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136619341965,,,,,,common + surrogate ancestry,,,,,,,,,,3.222718619666487,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136663284190,,,,,,common + surrogate ancestry,,,,,,,,,,-2.0991363718250167,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136673975943,,,,,,common + surrogate ancestry,,,,,,,,,,6.786418512769904,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691136953057759,,,,,,common + surrogate ancestry,,,,,,,,,,7.382584169112882,,,
G,,,,,,,,,,,,Surrogate tree,,,,,,,,,864691137197373249,,,,,,common + surrogate ancestry,,,,,,,,,,11.359482592178594,,,
G,,,,,,,,,,,,Depth bins,,,,,47.0,,,,,,,,,,common + depth bins,13.507628173594638,9.857297221510759,16.83539132669268,10.758699416366689,7.693638289765276,13.464379499412521,45.0,23.187297530612668,8.0,,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691134941194851,,,,,,common + depth bins,,,,,,,,,,12.91544619348989,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135082534135,,,,,,common + depth bins,,,,,,,,,,-16.18202931049059,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135334986985,,,,,,common + depth bins,,,,,,,,,,9.388494997962182,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135342193329,,,,,,common + depth bins,,,,,,,,,,3.5625564116339383,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135367232761,,,,,,common + depth bins,,,,,,,,,,21.29856503509705,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135404231406,,,,,,common + depth bins,,,,,,,,,,20.00459953118311,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135404277230,,,,,,common + depth bins,,,,,,,,,,14.529675364989004,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135416557754,,,,,,common + depth bins,,,,,,,,,,-39.83134641530732,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135455195242,,,,,,common + depth bins,,,,,,,,,,16.424833925555376,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135468547212,,,,,,common + depth bins,,,,,,,,,,3.0080134447011186,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135495249040,,,,,,common + depth bins,,,,,,,,,,15.708084283693207,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135502788957,,,,,,common + depth bins,,,,,,,,,,19.54690326314977,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135516884435,,,,,,common + depth bins,,,,,,,,,,42.874774181668485,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135572379429,,,,,,common + depth bins,,,,,,,,,,30.496697697452806,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135573814980,,,,,,common + depth bins,,,,,,,,,,11.521533275681396,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135658994050,,,,,,common + depth bins,,,,,,,,,,15.354838598633687,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135687601120,,,,,,common + depth bins,,,,,,,,,,9.082771697318531,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135716106266,,,,,,common + depth bins,,,,,,,,,,8.789182524411421,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135716174106,,,,,,common + depth bins,,,,,,,,,,11.61106049972258,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135740320660,,,,,,common + depth bins,,,,,,,,,,29.021331924640332,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135762339894,,,,,,common + depth bins,,,,,,,,,,17.162083510928944,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135856802606,,,,,,common + depth bins,,,,,,,,,,23.135875097447606,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135856845358,,,,,,common + depth bins,,,,,,,,,,11.52235725319014,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135867632406,,,,,,common + depth bins,,,,,,,,,,4.600935007033518,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135919106224,,,,,,common + depth bins,,,,,,,,,,7.916582560262908,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135938349828,,,,,,common + depth bins,,,,,,,,,,4.902649111582058,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135947212897,,,,,,common + depth bins,,,,,,,,,,0.9757878592258018,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135952698659,,,,,,common + depth bins,,,,,,,,,,27.98591832498109,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691135992368833,,,,,,common + depth bins,,,,,,,,,,23.499301584788686,,,
G,,,,,,,,,,,,Depth bins,,,,,,,,,864691136024229689,,,,,,common + depth bins,,,,,,,,,,11.62663429003713,,,
