panel,task,series,x_name,x_label,unit,mean,signed_mean,n_seeds,interval,endpoint,drop_radius_pt,record,x,ci95_low,ci95_high,seed,value,noise,common_rate,ci_low,ci_high,positive_seeds
C,Pairwise,exact path,training updates,,test NMSE,0.023140910285634225,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11008.0,0.022880723953082552,0.023427402090489272,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023109366294712837,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11264.0,0.02278254124995623,0.023448944344703966,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023084508730632152,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11520.0,0.022811399110112367,0.023386644587040466,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023142181945168684,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11776.0,0.02280089531924503,0.023526419342489956,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023158190394844864,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12032.0,0.02285831167453604,0.023517092578267663,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02296223645329031,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12288.0,0.022701897846753576,0.023235341709403088,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02304814901350727,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12544.0,0.02278792858943227,0.023329665285801278,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023147147957132685,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12800.0,0.022876071836654552,0.023446834863398793,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.022997433577543917,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13056.0,0.022692719220687167,0.023314600507516478,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023135851076530316,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13312.0,0.022820770117860927,0.02345444355912881,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02330566968765826,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13568.0,0.02296812501732392,0.023658622620063904,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023239494817841235,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13824.0,0.02292411681763588,0.023574111108943467,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023073854496536157,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14080.0,0.02277785543468715,0.023393284047769747,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023153494142910708,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14336.0,0.022862553178182317,0.023445017692177626,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023127632377981124,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14592.0,0.022836644965458657,0.02346683167634187,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02315348077305438,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14848.0,0.022894689937404088,0.02342934430863233,,,,,,,
