panel,noise_variance,rank,captured_energy,twice_L_times_bound,rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive,contrast,record_type,checkpoint,coordinate,basis,cohort,seed,checkpoint_sha256,forward_max_difference,n_fields,mean_capture,ensemble_energy_capture,task,source,label,mean_pp,low_pp,high_pp,n_seeds,source_table,source_contrast
C,1.6,1.0,0.8,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.61,1.0,0.8,0.2655601659751038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.62,1.0,0.8,0.26446280991735543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.6300000000000001,1.0,0.8,0.26337448559670784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.6400000000000001,1.0,0.8,0.26229508196721313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.6500000000000001,1.0,0.8,0.2612244897959184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.6600000000000001,1.0,0.8,0.2601626016260163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.67,1.0,0.8,0.25910931174089075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.68,1.0,0.8,0.2580645161290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.69,1.0,0.8,0.25702811244979923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.7,1.0,0.8,0.25600000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.71,1.0,0.8,0.25498007968127495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.72,1.0,0.8,0.253968253968254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.73,1.0,0.8,0.2529644268774704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.74,1.0,0.8,0.2519685039370079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.75,1.0,0.8,0.2509803921568628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.76,1.0,0.8,0.25000000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.77,1.0,0.8,0.24902723735408563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.78,1.0,0.8,0.24806201550387602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.79,1.0,0.8,0.24710424710424717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.8,1.0,0.8,0.2461538461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
