panel,endpoint,comparison,unit,n_targets,mean,ci95_low,ci95_high,positive_targets,reliability,lambda_value,lambda,n_replicates,n_positive_detections,power,power_ci95_low,power_ci95_high,mean_target_effect,target_effect_sd_across_datasets,mean_effect_mc_se,n_two_sided_rejections,two_sided_rejection_rate,two_sided_ci95_low,two_sided_ci95_high,scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated
B,,,,,,,,,perfect,0.6,0.6,4000.0,3953.0,0.98825,0.9844110267481853,0.9911520768794212,0.43718645900501135,0.05465146651737209,0.0008641155583166297,3953.0,0.98825,0.9844110267481853,0.9911520768794212,,,,,,,,
B,,,,,,,,,perfect,0.65,0.65,4000.0,3962.0,0.9905,0.9869880788141053,0.9930707073186976,0.4526677113459286,0.05284326698184676,0.0008355254133350368,3962.0,0.9905,0.9869880788141053,0.9930707073186976,,,,,,,,
B,,,,,,,,,perfect,0.7,0.7,4000.0,3968.0,0.992,0.9887284951205216,0.9943274126824121,0.4666374177413649,0.05114908464973981,0.0008087380386296679,3968.0,0.992,0.9887284951205216,0.9943274126824121,,,,,,,,
B,,,,,,,,,perfect,0.75,0.75,4000.0,3977.0,0.99425,0.991386245498183,0.996165344809947,0.4794866117431667,0.049553031886550344,0.0007835022286422475,3977.0,0.99425,0.991386245498183,0.996165344809947,,,,,,,,
B,,,,,,,,,perfect,0.8,0.8,4000.0,3980.0,0.995,0.9922892796106572,0.9967608715325383,0.491300623512496,0.048035083915931455,0.0007595013638583174,3980.0,0.995,0.9922892796106572,0.9967608715325383,,,,,,,,
B,,,,,,,,,perfect,0.85,0.85,4000.0,3986.0,0.9965,0.9941333399731076,0.9979139328402189,0.5022665805645665,0.04635056220631666,0.0007328667370063999,3986.0,0.9965,0.9941333399731076,0.9979139328402189,,,,,,,,
B,,,,,,,,,perfect,0.9,0.9,4000.0,3988.0,0.997,0.9947633060019944,0.9982830073680423,0.5122496329618687,0.045175244826335975,0.0007142833375347971,3988.0,0.997,0.9947633060019944,0.9982830073680423,,,,,,,,
B,,,,,,,,,perfect,0.95,0.95,4000.0,3991.0,0.99775,0.9957290782521232,0.998815795952979,0.5214448596462272,0.04424749975302136,0.0006996143999364267,3991.0,0.99775,0.9957290782521232,0.998815795952979,,,,,,,,
B,,,,,,,,,perfect,1.0,1.0,4000.0,3991.0,0.99775,0.9957290782521232,0.998815795952979,0.5307875384412257,0.04422320294273732,0.0006992302336345539,3991.0,0.99775,0.9957290782521232,0.998815795952979,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,0.0,0.1393588092171175,0.1393588092171175,0.14580673579874995,0.14216971518534421,0.0027647422633418905,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,1.0,0.24367158055436286,0.24367158055436286,0.2544805537938984,0.24424658651781883,0.0026973413472259743,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,2.0,0.4194694909594008,0.4194694909594008,0.43574429758944183,0.4202178140355899,0.002362927194518332,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,3.0,0.19198988597872238,0.19198988597872238,0.20071289179698973,0.19435891894470683,0.0026824254769832485,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,4.0,0.24097132770383092,0.24097132770383092,0.251675585954329,0.24527108916559326,0.0025977014408172985,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,5.0,0.1903105767854587,0.1903105767854587,0.19896312400564636,0.19019190401221317,0.0025394504181239425,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,6.0,0.0855922904441582,0.0855922904441582,0.08960203600884252,0.08558182338628882,0.002724713529244025,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,7.0,0.03859071609178951,0.03859071609178951,0.04040935350697557,0.0374635179619293,0.002697885751150051,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses4_scan10_automatic_conservative,8.0,-0.09791517580268116,0.0,0.0,-0.0013407137064071364,0.0027620931636219573,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan4_automatic_conservative,0.0,0.20597776823624828,0.20597776823624828,0.21528150419570474,0.2119978102189781,0.002685450018293981,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan4_automatic_conservative,1.0,0.07941415008825915,0.07941415008825915,0.08313834107900199,0.07487710032918277,0.002777985817010766,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan4_automatic_conservative,2.0,0.2798244358570679,0.2798244358570679,0.2919841778353249,0.2796173751252326,0.0025685394861191878,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan4_automatic_conservative,3.0,0.2512952626305997,0.2512952626305997,0.26239711600152593,0.25132723629597825,0.002571568969264705,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan4_automatic_conservative,4.0,0.13390582510376414,0.13390582510376414,0.14011099281044365,0.1350766423357664,0.002668198007706666,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan4_automatic_conservative,5.0,0.059386479652688326,0.059386479652688326,0.062179354944198184,0.05883274652926865,0.0026731859101046564,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,0.0,0.05491150231382091,0.05491150231382091,0.05749526854030233,0.05614474023185917,0.0026860941410172664,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,1.0,0.19959925576069845,0.19959925576069845,0.20863956248265564,0.19601718429464243,0.0025991620501809175,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,2.0,0.14871427889890748,0.14871427889890748,0.15557590252491277,0.14559722341491343,0.002684843099405694,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,3.0,0.26442440723247934,0.26442440723247934,0.27602077346901477,0.2601736129001479,0.002585862768043275,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,4.0,0.15354706359429415,0.15354706359429415,0.160620944514411,0.15575707265874716,0.002644333594328798,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,5.0,0.03674443013215018,0.03674443013215018,0.03847630347091117,0.03669819188015839,0.0027285218449305602,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,6.0,0.21771862029483327,0.21771862029483327,0.2275009151352284,0.22200646438624114,0.0026127280227609922,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,7.0,0.13723104813701636,0.13723104813701636,0.14358438876126814,0.13878711416440054,0.0026968610873486926,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,8.0,0.2311912599589714,0.2311912599589714,0.24151208025733129,0.23177946662850052,0.002626322647487755,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses6_scan6_automatic_conservative,9.0,0.28866943371022374,0.28866943371022374,0.30114423365264126,0.28960599685129523,0.0024388892645412614,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,0.0,0.29084490243786076,0.29084490243786076,0.303396210250651,0.2890264825151472,0.002469334918199097,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,1.0,0.15278374123371977,0.15278374123371977,0.15982416438047678,0.15239741901626833,0.0026176059911817446,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,2.0,0.324063737417108,0.324063737417108,0.33773267674345947,0.3298209198034445,0.002561545038332224,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,3.0,0.12102953103382472,0.12102953103382472,0.12665701570967275,0.1185897094604265,0.002573019487706612,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,4.0,0.08709508134153905,0.08709508134153905,0.09117414693236935,0.09176727255379037,0.0027648646433426445,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,5.0,0.12813319975192022,0.12813319975192022,0.13408013503307992,0.12978603597156624,0.002672585257674553,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,6.0,0.10799103096226326,0.10799103096226326,0.11302769162165584,0.11052503220266209,0.0027184326952297212,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,7.0,0.057511569104527455,0.057511569104527455,0.06021687267249731,0.05631922618195697,0.0027638916406996753,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,8.0,0.1484805114259816,0.1484805114259816,0.1553318423990717,0.1484710605410047,0.002669675506965154,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,9.0,0.1842946424311817,0.1842946424311817,0.19269352669120626,0.18175063212632983,0.002650359641728988,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256456_ses7_scan4_automatic_conservative,10.0,0.2112685463479796,0.2112685463479796,0.22078896992298613,0.21195958685177235,0.002704811558886179,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,0.0,0.3545632364868088,0.3545632364868088,0.36916859797909696,0.35316819331138777,0.002438103929036467,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,1.0,0.2214636706264014,0.2214636706264014,0.23139682771736475,0.21952152091980343,0.002600331300760452,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,2.0,0.2156051715089929,0.2156051715089929,0.22530194298716671,0.2193586326988216,0.002507608975293493,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,3.0,0.33299460903582845,0.33299460903582845,0.34694702747970085,0.3329461285244025,0.0025038511448079452,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,4.0,0.35248795381899717,0.35248795381899717,0.3670324928381812,0.3517136539287247,0.0024125265598481196,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,5.0,0.24095701540957015,0.24095701540957015,0.25166071728832234,0.24464144840417917,0.002427631670831701,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,6.0,0.4041553361003769,0.4041553361003769,0.42007876206192585,0.40496756357044034,0.0023208754364016137,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,7.0,0.3418586899479987,0.3418586899479987,0.3560849662612954,0.34432673059491437,0.002423824485990038,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,8.0,0.3048041601068651,0.3048041601068651,0.3178369009159442,0.3061434998330232,0.0024394443881425735,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan6_automatic_conservative,9.0,0.26127570249510995,0.26127570249510995,0.2727546366716751,0.2610519679404608,0.0025614659483144345,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,0.0,0.24564667716234911,0.24564667716234911,0.2565319222440796,0.24538262487476742,0.0025849059178119586,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,1.0,0.3627975764515052,0.3627975764515052,0.3776399497552169,0.3638787510137875,0.002421137228571411,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,2.0,0.3535041267115119,0.3535041267115119,0.36807850207347964,0.35006880874004104,0.002418744697983724,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,3.0,0.2007537808310672,0.2007537808310672,0.2098419434901743,0.20269757168074043,0.0026767808546071044,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,4.0,0.17066933829492867,0.17066933829492867,0.17848673728973613,0.17016090358284433,0.0026528980978613582,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,5.0,0.35277897046896617,0.35277897046896617,0.36733206479892666,0.35016658556366587,0.002469756224724995,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,6.0,0.27658031582462667,0.27658031582462667,0.2886229224616371,0.28104389580649775,0.0024616540356911937,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses5_scan7_automatic_conservative,7.0,0.08647488192357235,0.08647488192357235,0.09052534603526091,0.08374840894995468,0.0026950611584877263,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,0.0,0.2658890320118315,0.2658890320118315,0.2775397668358997,0.2665520108773436,0.0025903484450155744,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,1.0,0.14180144077095558,0.14180144077095558,0.14835772703817973,0.13938827346023566,0.00266614052028402,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,2.0,0.1692190258098373,0.1692190258098373,0.17697398238413561,0.17386041696483945,0.002630349324081678,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,3.0,0.3708363150613043,0.3708363150613043,0.38590329954908864,0.3680616669052049,0.0023187518310930195,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,4.0,0.1154095701540957,0.1154095701540957,0.12078307973029019,0.11249648871714135,0.0026309000800682947,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,5.0,0.23614808453795144,0.23614808453795144,0.24666405064141464,0.23869414150088258,0.0025898499792782865,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,6.0,0.11284289871666428,0.11284289871666428,0.11810006530977397,0.11151523305185822,0.0026197848216150885,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,7.0,0.24656743475979198,0.24656743475979198,0.25748814289216987,0.24987949525308906,0.0026357508206149047,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,8.0,0.4318210009064453,0.4318210009064453,0.44835884738835147,0.43025490673154904,0.0022478531735530298,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,9.0,0.4074137684270789,0.4074137684270789,0.42341425471599026,0.4083487810696055,0.002306291987580382,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,10.0,0.19328753399169887,0.19328753399169887,0.2020648788754883,0.1968337054529841,0.002673673596820482,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,11.0,0.1261437908496732,0.1261437908496732,0.1320014453796369,0.1258914269357378,0.00257936786221061,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target256550_ses9_scan4_automatic_conservative,12.0,0.14701111588187588,0.14701111588187588,0.15379769703984594,0.1504294690138829,0.0026927841922938026,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,0.0,0.35373789418443774,0.35373789418443774,0.3683191185739281,0.35127659462811883,0.0023779588247606104,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,1.0,-0.18779638376031677,0.0,0.0,-0.0020442249892657794,0.0027663658896153096,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,2.0,0.2937025905252612,0.2937025905252612,0.30635380016303004,0.29471984638137494,0.002643894649127582,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,3.0,0.1275273126282143,0.1275273126282143,0.13344707219205298,0.12759732360097323,0.0026835158627823855,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,4.0,0.15561280473259864,0.15561280473259864,0.1627771017156781,0.15435279805352797,0.00263704251397123,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,5.0,0.23371022374886694,0.23371022374886694,0.24413041890670148,0.2323023329039645,0.0026495358809129487,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,6.0,0.18474786508277277,0.18474786508277277,0.1931659269281985,0.18277456705309864,0.0025224755624804135,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,7.0,0.25747340298649873,0.25747340298649873,0.2688095416997556,0.26237867468155146,0.002622481580352994,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,8.0,0.09595439148895568,0.09595439148895568,0.1004409355341793,0.10055269309670341,0.002663247114794856,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,9.0,0.15546491102523735,0.15546491102523735,0.16262274110178407,0.1589471924049425,0.002670221111961328,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,10.0,0.08470015743523687,0.08470015743523687,0.08866872480644196,0.08259384571346787,0.0026911357271012007,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses4_scan7_automatic_conservative,11.0,0.03522732694050856,0.03522732694050856,0.036887878774078224,0.037952955488764845,0.0026678275951664415,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses8_scan5_automatic_conservative,0.0,0.1127856495396212,0.1127856495396212,0.11804021867209749,0.1176932684509327,0.002734409868154993,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses8_scan5_automatic_conservative,1.0,0.3782882496064119,0.3782882496064119,0.39355734611965437,0.37942682601020944,0.0024295055822724254,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses8_scan5_automatic_conservative,2.0,0.39550116883736464,0.39550116883736464,0.4112140175251107,0.39680081580077287,0.002411744417201012,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses8_scan5_automatic_conservative,3.0,0.4294833261771862,0.4294833261771862,0.44597281182467063,0.43252903010352567,0.002313058330140928,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses8_scan5_automatic_conservative,4.0,0.28056867515862793,0.28056867515862793,0.2927551709088559,0.2818433710223749,0.0026082058261099926,1000.0
C,,,,,,,,,,,,,,,,,,,,,,,,target258209_ses8_scan5_automatic_conservative,5.0,0.14363818520108773,0.14363818520108773,0.15027579325200563,0.14234698249129338,0.002688320871383059,1000.0
