contrast,detail,n_seeds,mean_accuracy,mean_pp,ci_low_pp,ci_high_pp,positive_pairs,negative_pairs,exact_two_sided_sign_flip_p,positive_claim_gate
h3_depth__grouped_bp__rewired_tree,H=3 rewired_tree: D3 minus D1 for grouped_bp,10,-1.0013580322265625e-05,-0.0010013580322265625,-0.03199996054172516,0.027999281883239746,5,4,0.9140625,False
h3_placement_interaction__grouped_bp,H=3 aligned-minus-reversed depth interaction for grouped_bp,10,0.0001399993896484375,0.013999938964843752,-0.037999749183654785,0.06699919700622559,6,4,0.65234375,False
h3_depth__shared_local__aligned,H=3 aligned: D3 minus D1 for shared_local,10,0.16921998858451842,16.921998858451843,16.281999945640564,17.464023768901825,10,0,0.001953125,True
h3_depth__shared_local__rewired_tree,H=3 rewired_tree: D3 minus D1 for shared_local,10,-0.007849997282028199,-0.7849997282028198,-1.1079996824264526,-0.4660004377365112,1,9,0.00390625,False
h3_placement_interaction__shared_local,H=3 aligned-minus-reversed depth interaction for shared_local,10,0.17706998586654663,17.706998586654663,17.244998812675476,18.203997626900673,10,0,0.001953125,True
h3_depth__path_local__aligned,H=3 aligned: D3 minus D1 for path_local,10,0.27713998556137087,27.71399855613709,27.053999304771427,28.37999820709228,10,0,0.001953125,True
h3_depth__path_local__rewired_tree,H=3 rewired_tree: D3 minus D1 for path_local,10,-0.007870012521743774,-0.7870012521743774,-1.0590266585350034,-0.48100113868713384,1,9,0.00390625,False
h3_placement_interaction__path_local,H=3 aligned-minus-reversed depth interaction for path_local,10,0.2850099980831146,28.500999808311462,27.913999542593952,29.100999251008037,10,0,0.001953125,True
h3_serial_minus_grouped__aligned__d3,H=3 aligned: serial minus grouped point at D3,10,0.30864999890327455,30.864999890327454,30.49100160598755,31.30100011825562,10,0,0.001953125,True
h3_serial_minus_grouped__rewired_tree__d3,H=3 rewired_tree: serial minus grouped point at D3,10,-0.004019993543624878,-0.4019993543624878,-0.6449991464614868,-0.13499915599822998,1,9,0.01953125,False
h3_architecture_placement_interaction__d3,H=3 architecture-by-placement interaction at D3,10,0.3126699924468994,31.26699924468994,30.73199987411499,31.744998097419742,10,0,0.001953125,True
h3_additive_depth__aligned,H=3 aligned raw-additive BP: D3 minus D1,10,-0.0680600106716156,-6.80600106716156,-8.752999946475029,-4.454001188278198,1,9,0.00390625,False
h3_shunting_additive_depth_interaction__aligned,H=3 aligned shunting-minus-additive D3-minus-D1 interaction,10,0.37662999629974364,37.662999629974365,35.588974982500076,39.51199774444103,10,0,0.001953125,True
