hierarchy,regime,architecture,mechanism,credit,depth,seed,train_accuracy_clean,valid_accuracy_clean,test_accuracy_clean,train_accuracy_historical,valid_accuracy_historical,test_accuracy_historical,_merge,train_accuracy_difference,train_accuracy_absolute_difference,valid_accuracy_difference,valid_accuracy_absolute_difference,test_accuracy_difference,test_accuracy_absolute_difference
3,aligned,serial_tree,shunting,local_shared,3,10200,0.7764999866485596,0.7719999551773071,0.7731999754905701,0.7756999731,0.7721999884,0.771699965,both,0.0008000135485595194,0.0008000135485595194,-0.00020003322269290802,0.00020003322269290802,0.0015000104905700251,0.0015000104905700251
3,aligned,serial_tree,shunting,local_shared,3,10201,0.7882999777793884,0.7805999517440796,0.7852999567985535,0.7882999778,0.7791000009,0.7851999998,both,-2.061162351907342e-11,2.061162351907342e-11,0.0014999508440796117,0.0014999508440796117,9.995699855347429e-05,9.995699855347429e-05
3,aligned,serial_tree,shunting,local_shared,3,10202,0.7875999808311462,0.7849999666213989,0.7886999845504761,0.7881000042,0.7845000029,0.7881999612,both,-0.0005000233688537969,0.0005000233688537969,0.0004999637213989327,0.0004999637213989327,0.0005000233504760532,0.0005000233504760532
3,aligned,serial_tree,shunting,local_shared,3,10203,0.7782999873161316,0.7767999768257141,0.7705000042915344,0.7781999707,0.7749999762,0.7712000012,both,0.00010001661613157076,0.00010001661613157076,0.00180000062571406,0.00180000062571406,-0.0006999969084655611,0.0006999969084655611
3,aligned,serial_tree,shunting,local_shared,3,10204,0.7847999930381775,0.7724999785423279,0.7627999782562256,0.7838999629,0.7731999755,0.7637999654,both,0.0009000301381775211,0.0009000301381775211,-0.0006999969576720888,0.0006999969576720888,-0.0009999871437743613,0.0009999871437743613
3,aligned,serial_tree,shunting,local_shared,3,10205,0.7877999544143677,0.7745999693870544,0.781499981880188,0.790899992,0.7766000032,0.7820999622,both,-0.003100037585632376,0.003100037585632376,-0.0020000338129455564,0.0020000338129455564,-0.0005999803198120102,0.0005999803198120102
3,aligned,serial_tree,shunting,local_shared,3,10206,0.7852999567985535,0.7854999899864197,0.7914999723434448,0.78549999,0.7842999697,0.7892999649,both,-0.00020003320144657,0.00020003320144657,0.001200020286419634,0.001200020286419634,0.0022000074434448402,0.0022000074434448402
3,aligned,serial_tree,shunting,local_shared,3,10207,0.7954999804496765,0.7960999608039856,0.790399968624115,0.7951999903,0.796399951,0.7892999649,both,0.00029999014967652116,0.00029999014967652116,-0.00029999019601445465,0.00029999019601445465,0.0011000037241150062,0.0011000037241150062
3,aligned,serial_tree,shunting,local_shared,3,10208,0.7698000073432922,0.7616999745368958,0.7587999701499939,0.7708999515,0.763199985,0.7605999708,both,-0.0010999441567077772,0.0010999441567077772,-0.0015000104631042177,0.0015000104631042177,-0.0018000006500060728,0.0018000006500060728
3,aligned,serial_tree,shunting,local_shared,3,10209,0.7786999940872192,0.7741999626159668,0.7749999761581421,0.7792999744,0.7738999724,0.7761999965,both,-0.0005999803127807457,0.0005999803127807457,0.00029999021596682773,0.00029999021596682773,-0.0012000203418579547,0.0012000203418579547
3,rewired_tree,grouped_point,shunting,full_bp,1,10200,0.6134999990463257,0.6111999750137329,0.6083999872207642,0.6134999990463257,0.6111999750137329,0.6083999872207642,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,1,10201,0.6229000091552734,0.6108999848365784,0.6144999861717224,0.6229000091552734,0.6108999848365784,0.6144999861717224,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,1,10202,0.616599977016449,0.6129999756813049,0.6166999936103821,0.616599977016449,0.613599956035614,0.6164000034332275,both,0.0,0.0,-0.000599980354309082,0.000599980354309082,0.000299990177154541,0.000299990177154541
3,rewired_tree,grouped_point,shunting,full_bp,1,10203,0.6247000098228455,0.620199978351593,0.6137999892234802,0.6250999569892883,0.6193999648094177,0.6136999726295471,both,-0.0003999471664428711,0.0003999471664428711,0.000800013542175293,0.000800013542175293,0.00010001659393310547,0.00010001659393310547
3,rewired_tree,grouped_point,shunting,full_bp,1,10204,0.6272000074386597,0.6132000088691711,0.6010000109672546,0.6268999576568604,0.6125999689102173,0.6015999913215637,both,0.0003000497817993164,0.0003000497817993164,0.0006000399589538574,0.0006000399589538574,-0.000599980354309082,0.000599980354309082
3,rewired_tree,grouped_point,shunting,full_bp,1,10205,0.6158999800682068,0.6054999828338623,0.6128000020980835,0.6150000095367432,0.6049999594688416,0.6114999651908875,both,0.000899970531463623,0.000899970531463623,0.000500023365020752,0.000500023365020752,0.001300036907196045,0.001300036907196045
3,rewired_tree,grouped_point,shunting,full_bp,1,10206,0.6126999855041504,0.6107000112533569,0.6107000112533569,0.613599956035614,0.6119999885559082,0.6114999651908875,both,-0.000899970531463623,0.000899970531463623,-0.0012999773025512695,0.0012999773025512695,-0.0007999539375305176,0.0007999539375305176
3,rewired_tree,grouped_point,shunting,full_bp,1,10207,0.6237999796867371,0.618399977684021,0.6103000044822693,0.6237999796867371,0.618399977684021,0.6103000044822693,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,1,10208,0.6189999580383301,0.6110000014305115,0.614799976348877,0.6189999580383301,0.6110000014305115,0.614799976348877,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,1,10209,0.6198999881744385,0.615399956703186,0.6061999797821045,0.6204999685287476,0.6152999997138977,0.6056999564170837,both,-0.000599980354309082,0.000599980354309082,9.995698928833008e-05,9.995698928833008e-05,0.000500023365020752,0.000500023365020752
