cohort,seed,family,step,structure,common_rate,model,optimizer,rate,rule,selected_rate,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,parameter_jacobian_nonroot,24,1.6732800394103031,8.273286576358403,11,13,0.22120433954175198
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,parameter_gradient_nonroot,24,0.9983107573010882,6.926541365316563,11,13,0.28083393142380103
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,path_q,6,0.3605344403767011,1.6772324835392556,3,4,0.7558113738921978
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,loss_credit,6,0.22490197391961914,1.7392782165002703,3,4,0.7388425720313756
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,parameter_jacobian_nonroot,24,1.6641402294230014,8.259593480549698,11,13,0.22241191703964455
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,parameter_gradient_nonroot,24,0.9738988005743581,6.866711055972949,11,13,0.28611160501974586
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,path_q,6,0.35789257558504345,1.6729250628894548,3,4,0.756986417466464
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,loss_credit,6,0.2242854155329196,1.7199143745672538,3,4,0.7440380529376953
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,parameter_jacobian_nonroot,24,1.655074973258495,8.20043257799567,11,13,0.22175469680593052
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,parameter_gradient_nonroot,24,0.9690232900186697,6.791867551173565,11,13,0.28966553937658507
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,path_q,6,0.363261507641529,1.6663037000901828,3,4,0.7588805534949091
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,loss_credit,6,0.22254659052860506,1.7359876742320424,3,4,0.7398142469607188
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,parameter_jacobian_nonroot,24,1.6843132226622917,8.229079796078778,11,13,0.22276612595502782
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,parameter_gradient_nonroot,24,0.9630499205259988,6.834571615259348,11,13,0.28819666200678073
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,exact,True,path_q,6,0.3523002594131748,1.6718826701968765,3,4,0.7572514977471466
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,exact,True,loss_credit,6,0.2213774147331688,1.7159272714388778,3,4,0.7450629641577415
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,exact,True,parameter_jacobian_nonroot,24,1.6262031445067326,8.212408587051362,11,13,0.22284501132107848
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,exact,True,parameter_gradient_nonroot,24,0.9568681380742283,6.761638694188745,11,13,0.2915400668726927
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,unit_broadcast,True,path_q,6,0.3528767191851966,1.6824687847371542,3,4,0.7543051432895769
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,unit_broadcast,True,loss_credit,6,0.2242758709492095,1.7311105211985858,3,4,0.7409307499372672
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,unit_broadcast,True,parameter_jacobian_nonroot,24,1.6306475257470683,8.218265642285546,11,13,0.22188849482795417
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,unit_broadcast,True,parameter_gradient_nonroot,24,0.9706553699796385,6.813825587035332,11,13,0.2880924993696037
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,path_q,6,0.3495377187501359,1.6772485126704233,3,4,0.7557682361275184
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,loss_credit,6,0.22217591916104135,1.7188864024869717,3,4,0.7442320496314522
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,parameter_jacobian_nonroot,24,1.614633904705007,8.218279915708091,11,13,0.2217966239935114
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,parameter_gradient_nonroot,24,0.9609439459117687,6.7620311775832915,11,13,0.29111301099877124
