family,optimizer,rule,step,effective_rank,rank95,rank99,leading_fraction
quartet,adam,broadcast,1024,3.098463165048825,4.45,4.85,0.5163804738948486
quartet,adam,exact,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,adam,exact,1,2.30138661938403,3.4,4.3,0.6131864450173315
quartet,adam,exact,16,2.3650674629991286,3.4,4.45,0.6059919418315254
quartet,adam,exact,64,3.035461870752827,4.2,4.85,0.5181329030283598
quartet,adam,exact,256,4.412716524940441,4.95,5.2,0.3471910183139058
quartet,adam,exact,1024,4.504316291052618,5.0,5.0,0.33323627135942485
quartet,adam,global_projection,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,adam,global_projection,1,2.3189402558246313,3.45,4.25,0.6104560404104304
quartet,adam,global_projection,16,2.2340631067213375,3.3,4.35,0.6315880425199858
quartet,adam,global_projection,64,2.6783146735283125,4.05,4.75,0.5505337107838348
quartet,adam,global_projection,256,3.386858145190991,4.55,4.9,0.46281274182070264
quartet,adam,global_projection,1024,4.00949481058245,4.9,5.15,0.398461668455857
quartet,adam,shuffled_projection,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,adam,shuffled_projection,1,2.3183753056981207,3.45,4.3,0.6098244932015644
quartet,adam,shuffled_projection,16,2.389093570419881,3.45,4.35,0.6028004904210328
quartet,adam,shuffled_projection,64,2.9997855584922735,4.1,5.0,0.5146008861232885
quartet,adam,shuffled_projection,256,3.9767529684089737,4.6,4.9,0.3953243000824366
quartet,adam,shuffled_projection,1024,4.073980350132081,4.75,4.9,0.3900315562644622
quartet,adam,subtree_projection,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,adam,subtree_projection,1,2.2802159372177955,3.4,4.25,0.6134088047923933
quartet,adam,subtree_projection,16,2.6357462216974943,3.75,4.8,0.5550892214335295
quartet,adam,subtree_projection,64,3.611537566898618,4.5,4.95,0.4403297914173095
quartet,adam,subtree_projection,256,3.839592182811412,4.85,5.0,0.41587545777203394
quartet,adam,subtree_projection,1024,3.8871346927375496,4.8,4.95,0.4094705780296861
quartet,sgd,broadcast,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,sgd,broadcast,1,2.3004914842783593,3.4,4.25,0.6134850846503597
quartet,sgd,broadcast,16,2.3459114998993678,3.4,4.2,0.6011723419485014
quartet,sgd,broadcast,64,2.467728187586834,3.55,4.4,0.5893591905427545
quartet,sgd,broadcast,256,2.850145383472429,3.85,4.8,0.5594413187701709
quartet,sgd,broadcast,1024,3.146847624716253,4.4,5.0,0.5168091589638719
quartet,sgd,exact,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,sgd,exact,1,2.2969684160529233,3.4,4.35,0.6154430939432866
quartet,sgd,exact,16,2.3024702952638583,3.45,4.35,0.6176075392333807
quartet,sgd,exact,64,2.549055294391008,3.8,4.35,0.5881396425448837
quartet,sgd,exact,256,3.266727761507526,4.25,5.25,0.4956587451974729
quartet,sgd,exact,1024,4.034789076143055,4.65,5.0,0.410806748954651
quartet,sgd,global_projection,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,sgd,global_projection,1,2.3020482805296933,3.4,4.25,0.6136606154911204
quartet,sgd,global_projection,16,2.3192051391554083,3.35,4.3,0.6077891131679118
quartet,sgd,global_projection,64,2.425076689359252,3.55,4.5,0.5834378365716384
quartet,sgd,global_projection,256,2.527094531611046,3.7,4.6,0.5690072246742105
quartet,sgd,global_projection,1024,2.7966334786548237,3.75,4.5,0.5407597332901315
quartet,sgd,shuffled_projection,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,sgd,shuffled_projection,1,2.30208625312522,3.4,4.25,0.6137943174187975
quartet,sgd,shuffled_projection,16,2.3434007003239077,3.5,4.35,0.6043154622380099
quartet,sgd,shuffled_projection,64,2.4380582153973416,3.6,4.45,0.5878934447798757
quartet,sgd,shuffled_projection,256,2.6773084820102637,3.7,4.7,0.5740861281738122
quartet,sgd,shuffled_projection,1024,3.2218692733160617,4.3,4.8,0.5026761593944673
quartet,sgd,subtree_projection,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,sgd,subtree_projection,1,2.295810535292173,3.4,4.25,0.615250364746308
quartet,sgd,subtree_projection,16,2.317930075650943,3.45,4.35,0.6090910910280298
quartet,sgd,subtree_projection,64,2.3978895709637724,3.55,4.4,0.5995993466238378
quartet,sgd,subtree_projection,256,2.733170533733466,3.95,4.7,0.5562608192897623
quartet,sgd,subtree_projection,1024,3.32811199176153,4.4,4.9,0.47242112782910495
