optimizer,rule,step,dictionary,metric,contrast,mean,ci95_low,ci95_high,n_seeds,status
adam,broadcast,0,initial_mean_fixed,error_weighted_energy_fidelity,quartet_minus_matching,0.04624568424281626,-0.130739496729697,0.21657295455529707,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_fixed,eligibility_weighted_update_fidelity,quartet_minus_matching,0.013740071654586017,-0.1461800588410682,0.1739380380089799,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_fixed,population_gradient_cosine_nonroot,quartet_minus_matching,0.004440257437085979,-0.11995960185237171,0.1324591793987548,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_fixed,population_gradient_cosine_full,quartet_minus_matching,-0.09098341192124176,-0.1565302728039075,-0.027200230423698426,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_fixed,population_nmse,quartet_minus_matching,0.30945669375190377,-0.17461397363416636,0.8726742017314528,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,field_energy_fidelity,quartet_minus_matching,0.08111343480405474,-0.04825709013502055,0.2039454939545043,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,mean_per_example_fidelity,quartet_minus_matching,0.0751265577070821,-0.04318598871770383,0.18544088654676674,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,error_weighted_energy_fidelity,quartet_minus_matching,0.08841094791101209,-0.04918951571450713,0.2201219560966692,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,eligibility_weighted_update_fidelity,quartet_minus_matching,0.05572755920075062,-0.07752768792601043,0.1861210224710739,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,population_gradient_cosine_nonroot,quartet_minus_matching,-0.015949295905399112,-0.1015290855804367,0.07083988187362501,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,population_gradient_cosine_full,quartet_minus_matching,-0.038572021230807864,-0.08962453857104073,0.01064306508720975,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_projection,population_nmse,quartet_minus_matching,0.30945669375190377,-0.16451788488909624,0.8827515506068357,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,uniform_projection,field_energy_fidelity,quartet_minus_matching,-0.016890204854152307,-0.07348649498539862,0.03513987620058465,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,uniform_projection,mean_per_example_fidelity,quartet_minus_matching,-0.011135322230638647,-0.07441481758040346,0.05053838815403721,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,uniform_projection,error_weighted_energy_fidelity,quartet_minus_matching,-0.025927816830832617,-0.07686735345533939,0.02183090798520763,20,posthoc descriptive; no multiplicity adjustment
