family,optimizer,rule,step,field,effective_rank,rank95,rank99,leading_fraction
matching,adam,subtree_projection,1024,parameter_gradient_nonroot,4.201437161537149,8.2,12.3,0.4318096345593213
matching,adam,subtree_projection,1024,parameter_jacobian_nonroot,5.506873683143599,8.75,13.15,0.332306178490258
matching,adam,subtree_projection,1024,path_q,1.0135695969817398,1.0,1.2,0.993426154084873
matching,sgd,broadcast,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,sgd,broadcast,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,sgd,broadcast,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,sgd,broadcast,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,sgd,broadcast,1,loss_credit,1.9108288193822722,2.85,3.75,0.7074499013141285
matching,sgd,broadcast,1,parameter_gradient_nonroot,4.957905403969201,9.25,12.2,0.37912956897780614
matching,sgd,broadcast,1,parameter_jacobian_nonroot,6.675358655678073,10.15,12.75,0.276152920121973
matching,sgd,broadcast,1,path_q,2.013344482050376,3.0,3.9,0.685942671981968
matching,sgd,broadcast,16,loss_credit,1.8582964682211052,2.9,3.8,0.7195662997916424
matching,sgd,broadcast,16,parameter_gradient_nonroot,5.419002743189941,9.45,12.7,0.34033979196725334
matching,sgd,broadcast,16,parameter_jacobian_nonroot,6.845984973034947,10.3,13.2,0.2724164387772421
matching,sgd,broadcast,16,path_q,1.9826045733409892,3.05,3.95,0.6943580586985834
matching,sgd,broadcast,64,loss_credit,1.554312500647373,2.6,4.0,0.8090552727634822
matching,sgd,broadcast,64,parameter_gradient_nonroot,6.120310897816524,9.95,13.1,0.3011408166449359
matching,sgd,broadcast,64,parameter_jacobian_nonroot,7.010615302178439,10.4,13.45,0.26097410006808297
matching,sgd,broadcast,64,path_q,1.588005244275418,2.7,3.95,0.8001507010229713
matching,sgd,broadcast,256,loss_credit,1.0337740937527564,1.05,1.1,0.9867811115481674
matching,sgd,broadcast,256,parameter_gradient_nonroot,7.381303670482032,11.05,13.85,0.2350710513030593
matching,sgd,broadcast,256,parameter_jacobian_nonroot,7.883794600356168,11.7,14.6,0.22641447723912572
matching,sgd,broadcast,256,path_q,1.0465740451928822,1.1,1.1,0.9835590724543593
matching,sgd,broadcast,1024,loss_credit,1.0005422331494582,1.0,1.0,0.9997291812971115
matching,sgd,broadcast,1024,parameter_gradient_nonroot,5.687618170958975,11.1,14.15,0.329144443167712
matching,sgd,broadcast,1024,parameter_jacobian_nonroot,7.879720869776387,11.8,14.8,0.22714861759410226
matching,sgd,broadcast,1024,path_q,1.000443700356864,1.0,1.0,0.9997783263329252
matching,sgd,exact,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,sgd,exact,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,sgd,exact,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,sgd,exact,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,sgd,exact,1,loss_credit,1.907236650248273,2.85,3.75,0.7091557155216758
matching,sgd,exact,1,parameter_gradient_nonroot,4.992119393519282,9.3,12.2,0.37615873203886613
matching,sgd,exact,1,parameter_jacobian_nonroot,6.662537845093546,10.1,12.7,0.2769954171248436
matching,sgd,exact,1,path_q,2.003945807335562,3.0,3.85,0.6878878913504749
matching,sgd,exact,16,loss_credit,1.9036412502167153,2.85,3.85,0.7114097847155113
matching,sgd,exact,16,parameter_gradient_nonroot,5.858851646639677,9.55,12.55,0.31382765588617406
matching,sgd,exact,16,parameter_jacobian_nonroot,6.706969529431985,10.2,12.95,0.28370358211392877
matching,sgd,exact,16,path_q,1.9107331216270105,2.95,3.9,0.7070883786985777
matching,sgd,exact,64,loss_credit,1.5871999704370963,2.5,3.8,0.7959962903064467
matching,sgd,exact,64,parameter_gradient_nonroot,6.128980081273221,9.95,12.95,0.29909000999408636
matching,sgd,exact,64,parameter_jacobian_nonroot,6.452403871068979,10.2,13.2,0.28960993920376776
matching,sgd,exact,64,path_q,1.5787282016019284,2.45,3.75,0.7985806726371398
matching,sgd,exact,256,loss_credit,1.1805273398842282,1.65,2.65,0.9233569612061758
matching,sgd,exact,256,parameter_gradient_nonroot,6.43481349301455,10.05,12.45,0.2913188570601075
matching,sgd,exact,256,parameter_jacobian_nonroot,6.62709569195539,10.25,12.75,0.28501262091159474
matching,sgd,exact,256,path_q,1.182518389582317,1.65,2.7,0.9223487159372228
matching,sgd,exact,1024,loss_credit,1.0117390311410224,1.05,1.2,0.9943835548303109
matching,sgd,exact,1024,parameter_gradient_nonroot,6.586206155323396,11.5,13.8,0.31618880998349475
matching,sgd,exact,1024,parameter_jacobian_nonroot,7.606893780291311,12.25,14.4,0.28110248690181494
matching,sgd,exact,1024,path_q,1.0087908437589161,1.0,1.2,0.9957242056369104
matching,sgd,global_projection,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,sgd,global_projection,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,sgd,global_projection,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,sgd,global_projection,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,sgd,global_projection,1,loss_credit,1.9091988111343585,2.85,3.75,0.7080163657123857
matching,sgd,global_projection,1,parameter_gradient_nonroot,4.9465849107795545,9.2,12.2,0.3804328348167653
matching,sgd,global_projection,1,parameter_jacobian_nonroot,6.671758773671288,10.15,12.7,0.2764473729182932
matching,sgd,global_projection,1,path_q,2.0129445814302604,3.0,3.95,0.6854014755865003
matching,sgd,global_projection,16,loss_credit,1.984026740679905,2.95,3.9,0.6889709795290064
matching,sgd,global_projection,16,parameter_gradient_nonroot,5.659741940537119,9.75,12.55,0.33113510074457075
matching,sgd,global_projection,16,parameter_jacobian_nonroot,6.866153114480942,10.5,13.0,0.27532470355879446
matching,sgd,global_projection,16,path_q,2.0079641084794217,3.0,4.05,0.6807853495316446
matching,sgd,global_projection,64,loss_credit,1.6704169992222941,2.85,3.95,0.7666133523567773
matching,sgd,global_projection,64,parameter_gradient_nonroot,5.967674573036844,10.1,13.1,0.30540086258916316
matching,sgd,global_projection,64,parameter_jacobian_nonroot,6.619208535661052,10.7,13.55,0.28475141499927925
matching,sgd,global_projection,64,path_q,1.6745996849875837,2.8,4.0,0.7692532138603864
matching,sgd,global_projection,256,loss_credit,1.3582228927870332,2.35,3.35,0.8657110354879876
matching,sgd,global_projection,256,parameter_gradient_nonroot,5.646892034030442,8.95,11.95,0.3126573030720174
matching,sgd,global_projection,256,parameter_jacobian_nonroot,6.081502922173426,9.35,12.5,0.29497290313840907
matching,sgd,global_projection,256,path_q,1.3663424103169182,2.4,3.4,0.8631469312716268
matching,sgd,global_projection,1024,loss_credit,1.2401593893885223,1.55,2.1,0.9241976207846079
matching,sgd,global_projection,1024,parameter_gradient_nonroot,6.389973355161164,9.95,12.7,0.28134550669599234
matching,sgd,global_projection,1024,parameter_jacobian_nonroot,7.0818734030582515,10.4,13.4,0.2553854480362699
matching,sgd,global_projection,1024,path_q,1.2444048494867705,1.65,2.1,0.9225532418275311
matching,sgd,shuffled_projection,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,sgd,shuffled_projection,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,sgd,shuffled_projection,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,sgd,shuffled_projection,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,sgd,shuffled_projection,1,loss_credit,1.9091938791161815,2.85,3.75,0.7082278632300976
matching,sgd,shuffled_projection,1,parameter_gradient_nonroot,4.9579485368960485,9.25,12.2,0.37936853400448584
matching,sgd,shuffled_projection,1,parameter_jacobian_nonroot,6.6682198608154994,10.15,12.7,0.27660802948846597
matching,sgd,shuffled_projection,1,path_q,2.0118822870826927,3.0,3.95,0.6857169901017637
matching,sgd,shuffled_projection,16,loss_credit,1.9681796943164205,2.95,3.9,0.6939187328501221
matching,sgd,shuffled_projection,16,parameter_gradient_nonroot,5.7135476976791315,9.7,12.55,0.3256642817529336
matching,sgd,shuffled_projection,16,parameter_jacobian_nonroot,6.813521364054824,10.35,13.0,0.2779902205100329
matching,sgd,shuffled_projection,16,path_q,1.9893224902906492,2.95,3.95,0.6864488211265277
matching,sgd,shuffled_projection,64,loss_credit,1.644056489458962,2.8,3.95,0.7776730148425173
matching,sgd,shuffled_projection,64,parameter_gradient_nonroot,6.069772665455256,9.85,12.85,0.3003385180944008
matching,sgd,shuffled_projection,64,parameter_jacobian_nonroot,6.606862023646227,10.25,13.2,0.28480149220359463
matching,sgd,shuffled_projection,64,path_q,1.6461229545244063,2.7,3.95,0.7785645339139409
matching,sgd,shuffled_projection,256,loss_credit,1.3218201400726415,2.15,3.3,0.8781408015162986
matching,sgd,shuffled_projection,256,parameter_gradient_nonroot,6.1211551032976015,9.2,12.3,0.2907905780364374
matching,sgd,shuffled_projection,256,parameter_jacobian_nonroot,6.500139083581876,9.85,12.75,0.2782240201836156
matching,sgd,shuffled_projection,256,path_q,1.3417603137121967,2.3,3.35,0.8727322020015862
matching,sgd,shuffled_projection,1024,loss_credit,1.1257422335427205,1.35,1.8,0.9535566269225513
matching,sgd,shuffled_projection,1024,parameter_gradient_nonroot,5.997761417131965,9.35,12.45,0.2994148707818714
matching,sgd,shuffled_projection,1024,parameter_jacobian_nonroot,6.561681084505537,10.05,13.3,0.2802374094891499
matching,sgd,shuffled_projection,1024,path_q,1.1160440296481542,1.3,1.85,0.9564731541189276
matching,sgd,subtree_projection,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,sgd,subtree_projection,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,sgd,subtree_projection,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,sgd,subtree_projection,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,sgd,subtree_projection,1,loss_credit,1.909094762498699,2.85,3.75,0.7080605849636494
matching,sgd,subtree_projection,1,parameter_gradient_nonroot,4.9529776837404675,9.2,12.2,0.379710098090207
matching,sgd,subtree_projection,1,parameter_jacobian_nonroot,6.67009216306801,10.15,12.7,0.27643587164517197
matching,sgd,subtree_projection,1,path_q,2.0126629587346008,3.0,3.9,0.6854338654574959
matching,sgd,subtree_projection,16,loss_credit,1.9829862170538057,2.95,3.9,0.6895772624220619
matching,sgd,subtree_projection,16,parameter_gradient_nonroot,5.657343866589056,9.7,12.5,0.3301647247378892
matching,sgd,subtree_projection,16,parameter_jacobian_nonroot,6.8489347416261825,10.45,13.0,0.27483261948171317
matching,sgd,subtree_projection,16,path_q,2.0051535208678057,3.0,3.95,0.6816636086562204
matching,sgd,subtree_projection,64,loss_credit,1.7008146265645934,2.75,3.95,0.7580143400095379
matching,sgd,subtree_projection,64,parameter_gradient_nonroot,5.957981761515531,9.95,13.0,0.30433403060444036
matching,sgd,subtree_projection,64,parameter_jacobian_nonroot,6.591809374065879,10.35,13.4,0.28401742495151616
matching,sgd,subtree_projection,64,path_q,1.7047312741624796,2.75,3.95,0.7598247718869502
matching,sgd,subtree_projection,256,loss_credit,1.3647924430920626,2.2,3.25,0.8655036430692651
matching,sgd,subtree_projection,256,parameter_gradient_nonroot,5.857505795691724,9.4,12.3,0.3026760525282032
matching,sgd,subtree_projection,256,parameter_jacobian_nonroot,6.395329827731647,9.9,12.85,0.28106455474378594
matching,sgd,subtree_projection,256,path_q,1.396873838765011,2.3,3.3,0.8558552335279389
matching,sgd,subtree_projection,1024,loss_credit,1.318755689003457,1.75,2.35,0.8992837282652515
matching,sgd,subtree_projection,1024,parameter_gradient_nonroot,5.901475582686912,9.2,11.55,0.29802984724158044
matching,sgd,subtree_projection,1024,parameter_jacobian_nonroot,6.3930522066220075,9.7,12.15,0.28188547639255357
matching,sgd,subtree_projection,1024,path_q,1.3012831756460028,1.8,2.35,0.9029176676987412
nested,adam,broadcast,0,loss_credit,1.6233125689391765,2.65,3.6,0.7758274129380194
nested,adam,broadcast,0,parameter_gradient_nonroot,4.875402274431359,8.45,11.6,0.36704715665310395
nested,adam,broadcast,0,parameter_jacobian_nonroot,6.24266469954676,9.45,12.4,0.28081522519358826
nested,adam,broadcast,0,path_q,1.635100997775646,2.6,3.65,0.7710618504017649
nested,adam,broadcast,1,loss_credit,1.6214048699911197,2.6,3.6,0.7762252280858271
nested,adam,broadcast,1,parameter_gradient_nonroot,4.878570677525449,8.45,11.55,0.36611157931272587
nested,adam,broadcast,1,parameter_jacobian_nonroot,6.225853152722854,9.4,12.4,0.28100412532070684
nested,adam,broadcast,1,path_q,1.632183107063875,2.6,3.6,0.7718846357922391
nested,adam,broadcast,16,loss_credit,1.5840594372808319,2.55,3.4,0.7854695848832961
nested,adam,broadcast,16,parameter_gradient_nonroot,4.889678705253907,8.3,11.55,0.35690896063738925
nested,adam,broadcast,16,parameter_jacobian_nonroot,6.0882148243432415,9.2,12.35,0.28267259327524763
nested,adam,broadcast,16,path_q,1.5956719723326152,2.6,3.55,0.7822774574083797
nested,adam,broadcast,64,loss_credit,1.5388545110155487,2.35,3.45,0.7996235778270806
nested,adam,broadcast,64,parameter_gradient_nonroot,4.897885937355853,7.75,10.95,0.3432802164586807
nested,adam,broadcast,64,parameter_jacobian_nonroot,5.851606904406637,8.45,11.7,0.28319456434014867
nested,adam,broadcast,64,path_q,1.561940446824466,2.4,3.5,0.7960392573737372
nested,adam,broadcast,256,loss_credit,1.5274446555256693,2.2,2.85,0.805484019754242
nested,adam,broadcast,256,parameter_gradient_nonroot,5.155201964038964,6.95,9.8,0.2929642232988104
nested,adam,broadcast,256,parameter_jacobian_nonroot,5.4510082082168685,7.65,10.75,0.28078031844797346
nested,adam,broadcast,256,path_q,1.497715047368784,2.2,3.05,0.8172127714905981
nested,adam,broadcast,1024,loss_credit,1.5608408088266308,2.0,2.7,0.8039018113081093
nested,adam,broadcast,1024,parameter_gradient_nonroot,5.269151080859837,6.5,8.95,0.2571843902567314
nested,adam,broadcast,1024,parameter_jacobian_nonroot,5.430898721995733,6.85,9.9,0.24704958431125695
nested,adam,broadcast,1024,path_q,1.5362560061776436,2.05,2.85,0.8154808690917761
nested,adam,exact,0,loss_credit,1.6233125689391765,2.65,3.6,0.7758274129380194
nested,adam,exact,0,parameter_gradient_nonroot,4.875402274431359,8.45,11.6,0.36704715665310395
nested,adam,exact,0,parameter_jacobian_nonroot,6.24266469954676,9.45,12.4,0.28081522519358826
nested,adam,exact,0,path_q,1.635100997775646,2.6,3.65,0.7710618504017649
nested,adam,exact,1,loss_credit,1.607321692210725,2.55,3.55,0.7799890299811209
nested,adam,exact,1,parameter_gradient_nonroot,4.930215256386117,8.4,11.55,0.36094598907091213
nested,adam,exact,1,parameter_jacobian_nonroot,6.136440900594772,9.4,12.3,0.2839150008323773
nested,adam,exact,1,path_q,1.6095807709702683,2.55,3.6,0.7780291608201523
nested,adam,exact,16,loss_credit,1.4432144227337897,1.9,3.2,0.8273052865646389
nested,adam,exact,16,parameter_gradient_nonroot,4.78851671101092,7.1,10.65,0.33574813346833343
nested,adam,exact,16,parameter_jacobian_nonroot,5.031376700953723,7.9,11.25,0.32003909173673856
nested,adam,exact,16,path_q,1.4319553539081862,2.0,3.25,0.8308396314303905
nested,adam,exact,64,loss_credit,1.7351672489961565,2.2,2.95,0.7353228154098665
nested,adam,exact,64,parameter_gradient_nonroot,4.8911982976294075,6.8,9.65,0.3163973653754425
nested,adam,exact,64,parameter_jacobian_nonroot,5.327612060974337,7.45,10.5,0.29774532166287526
nested,adam,exact,64,path_q,1.8311443471243094,2.35,3.15,0.7179356696209925
nested,adam,exact,256,loss_credit,2.8538222881519566,4.0,5.35,0.505859656356084
nested,adam,exact,256,parameter_gradient_nonroot,5.500918087084292,10.35,13.35,0.3542211757662388
nested,adam,exact,256,parameter_jacobian_nonroot,8.399126154600093,12.3,14.55,0.2408290570948834
nested,adam,exact,256,path_q,3.4346894326789412,4.65,5.75,0.432231773546786
nested,adam,exact,1024,loss_credit,2.7682462705618915,4.15,5.65,0.5319527587955312
nested,adam,exact,1024,parameter_gradient_nonroot,5.586541614301968,10.7,13.85,0.3537629726903195
