membrane_resistance_ohm_cm2,background_leak_multiplier,dose_scheme,dose_value,metric,n_cells,mean_shunt_minus_additive,ci95_low,ci95_high,cells_positive
300,1,input_conductance_normalized,1,descendant_gradient_energy_ratio,8,-1.341106494,-1.390474327,-1.288523932,0
300,1,input_conductance_normalized,4,localization_index,8,1.174066661,1.088150607,1.260777193,8
300,1,input_conductance_normalized,4,signed_localization,8,-1.755039943,-1.831971109,-1.670704409,0
300,1,input_conductance_normalized,4,descendant_attenuated_fraction,8,1,1,1,8
300,1,input_conductance_normalized,4,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,input_conductance_normalized,4,descendant_sign_flip_fraction,8,0,0,0,0
300,1,input_conductance_normalized,4,descendant_gradient_energy_ratio,8,-4.748627981,-5.122658948,-4.348846041,0
300,1,relative_local,0.25,localization_index,8,0.03289634794,0.02515773946,0.04106266746,8
300,1,relative_local,0.25,signed_localization,8,-0.04676063755,-0.05633374777,-0.03746559987,0
300,1,relative_local,0.25,descendant_attenuated_fraction,8,1,1,1,8
300,1,relative_local,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,relative_local,0.25,descendant_sign_flip_fraction,8,0,0,0,0
300,1,relative_local,0.25,descendant_gradient_energy_ratio,8,-0.0960528052,-0.1162758051,-0.07664763802,0
300,1,relative_local,1,localization_index,8,0.1186645279,0.09249977714,0.1449860862,8
300,1,relative_local,1,signed_localization,8,-0.1715304405,-0.2038622447,-0.1401632958,0
300,1,relative_local,1,descendant_attenuated_fraction,8,1,1,1,8
300,1,relative_local,1,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,relative_local,1,descendant_sign_flip_fraction,8,0,0,0,0
300,1,relative_local,1,descendant_gradient_energy_ratio,8,-0.3482407874,-0.4201923807,-0.278828044,0
300,1,relative_local,2,localization_index,8,0.2118791041,0.167944049,0.2552213622,8
300,1,relative_local,2,signed_localization,8,-0.3119783226,-0.3654146368,-0.2580245781,0
300,1,relative_local,2,descendant_attenuated_fraction,8,1,1,1,8
300,1,relative_local,2,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,relative_local,2,descendant_sign_flip_fraction,8,0,0,0,0
300,1,relative_local,2,descendant_gradient_energy_ratio,8,-0.642986791,-0.7835598535,-0.514176414,0
300,4,fixed_absolute_ns,0.05,localization_index,8,0.001081983727,0.0009872855455,0.001197033593,8
300,4,fixed_absolute_ns,0.05,signed_localization,8,-0.001210602907,-0.001313738493,-0.001129924127,0
300,4,fixed_absolute_ns,0.05,descendant_attenuated_fraction,8,1,1,1,8
300,4,fixed_absolute_ns,0.05,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,fixed_absolute_ns,0.05,descendant_sign_flip_fraction,8,0,0,0,0
300,4,fixed_absolute_ns,0.05,descendant_gradient_energy_ratio,8,-0.002490864237,-0.00269916957,-0.002333561286,0
300,4,fixed_absolute_ns,0.5,localization_index,8,0.01075373974,0.009794339381,0.01185606192,8
300,4,fixed_absolute_ns,0.5,signed_localization,8,-0.01203878637,-0.01308567606,-0.01123572077,0
300,4,fixed_absolute_ns,0.5,descendant_attenuated_fraction,8,1,1,1,8
300,4,fixed_absolute_ns,0.5,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,fixed_absolute_ns,0.5,descendant_sign_flip_fraction,8,0,0,0,0
300,4,fixed_absolute_ns,0.5,descendant_gradient_energy_ratio,8,-0.0246638504,-0.02666695012,-0.02310768479,0
300,4,fixed_absolute_ns,5,localization_index,8,0.101484357,0.09278757826,0.1117016506,8
300,4,fixed_absolute_ns,5,signed_localization,8,-0.1142224036,-0.123245535,-0.1070673688,0
300,4,fixed_absolute_ns,5,descendant_attenuated_fraction,8,1,1,1,8
300,4,fixed_absolute_ns,5,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,fixed_absolute_ns,5,descendant_sign_flip_fraction,8,0,0,0,0
300,4,fixed_absolute_ns,5,descendant_gradient_energy_ratio,8,-0.2251217293,-0.2415171684,-0.2121723515,0
300,4,input_conductance_normalized,0.25,localization_index,8,0.1944903357,0.1877615641,0.200330377,8
300,4,input_conductance_normalized,0.25,signed_localization,8,-0.217326315,-0.2205202791,-0.2139049908,0
300,4,input_conductance_normalized,0.25,descendant_attenuated_fraction,8,1,1,1,8
300,4,input_conductance_normalized,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,input_conductance_normalized,0.25,descendant_sign_flip_fraction,8,0,0,0,0
300,4,input_conductance_normalized,0.25,descendant_gradient_energy_ratio,8,-0.4172198813,-0.4202078302,-0.4144196979,0
300,4,input_conductance_normalized,1,localization_index,8,0.6060252008,0.5836111332,0.6256914645,8
300,4,input_conductance_normalized,1,signed_localization,8,-0.6934725061,-0.7069325179,-0.6798527968,0
300,4,input_conductance_normalized,1,descendant_attenuated_fraction,8,1,1,1,8
300,4,input_conductance_normalized,1,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,input_conductance_normalized,1,descendant_sign_flip_fraction,8,0,0,0,0
300,4,input_conductance_normalized,1,descendant_gradient_energy_ratio,8,-1.19949684,-1.224566145,-1.176647101,0
300,4,input_conductance_normalized,4,localization_index,8,1.386652282,1.324512515,1.443843381,8
300,4,input_conductance_normalized,4,signed_localization,8,-1.691517328,-1.740482738,-1.645345777,0
300,4,input_conductance_normalized,4,descendant_attenuated_fraction,8,1,1,1,8
300,4,input_conductance_normalized,4,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,input_conductance_normalized,4,descendant_sign_flip_fraction,8,0,0,0,0
300,4,input_conductance_normalized,4,descendant_gradient_energy_ratio,8,-3.658759926,-3.834864835,-3.498535097,0
300,4,relative_local,0.25,localization_index,8,0.05840296439,0.04791654835,0.06801474712,8
300,4,relative_local,0.25,signed_localization,8,-0.06740368111,-0.07722245832,-0.05673796249,0
300,4,relative_local,0.25,descendant_attenuated_fraction,8,1,1,1,8
300,4,relative_local,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,relative_local,0.25,descendant_sign_flip_fraction,8,0,0,0,0
300,4,relative_local,0.25,descendant_gradient_energy_ratio,8,-0.133037471,-0.1530027414,-0.1121467216,0
300,4,relative_local,1,localization_index,8,0.2043247132,0.1708196276,0.2347230027,8
300,4,relative_local,1,signed_localization,8,-0.2392013901,-0.2712701465,-0.2041008632,0
300,4,relative_local,1,descendant_attenuated_fraction,8,1,1,1,8
300,4,relative_local,1,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,relative_local,1,descendant_sign_flip_fraction,8,0,0,0,0
300,4,relative_local,1,descendant_gradient_energy_ratio,8,-0.4464674749,-0.5098445839,-0.3809225986,0
300,4,relative_local,2,localization_index,8,0.3558019628,0.3012930374,0.4037363826,8
300,4,relative_local,2,signed_localization,8,-0.4229508877,-0.4752416352,-0.3659963197,0
300,4,relative_local,2,descendant_attenuated_fraction,8,1,1,1,8
300,4,relative_local,2,descendant_enhanced_fraction,8,-1,-1,-1,0
300,4,relative_local,2,descendant_sign_flip_fraction,8,0,0,0,0
300,4,relative_local,2,descendant_gradient_energy_ratio,8,-0.7743179613,-0.8854480098,-0.6593998461,0
1000,0,fixed_absolute_ns,0.05,localization_index,8,0.0007203468006,0.0004172217671,0.001039717142,8
1000,0,fixed_absolute_ns,0.05,signed_localization,8,-0.002683836201,-0.002926297642,-0.002389522703,0
1000,0,fixed_absolute_ns,0.05,descendant_attenuated_fraction,8,1,1,1,8
1000,0,fixed_absolute_ns,0.05,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,fixed_absolute_ns,0.05,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,fixed_absolute_ns,0.05,descendant_gradient_energy_ratio,8,-0.006466211614,-0.006702424787,-0.006244837187,0
1000,0,fixed_absolute_ns,0.5,localization_index,8,0.007296411173,0.004359315274,0.01035914822,8
1000,0,fixed_absolute_ns,0.5,signed_localization,8,-0.02675185784,-0.02915442058,-0.02387641156,0
1000,0,fixed_absolute_ns,0.5,descendant_attenuated_fraction,8,1,1,1,8
1000,0,fixed_absolute_ns,0.5,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,fixed_absolute_ns,0.5,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,fixed_absolute_ns,0.5,descendant_gradient_energy_ratio,8,-0.06417904077,-0.06658396394,-0.06193459123,0
1000,0,fixed_absolute_ns,5,localization_index,8,0.07409523223,0.05152226578,0.09757204822,8
1000,0,fixed_absolute_ns,5,signed_localization,8,-0.2533023625,-0.2767827255,-0.2250231208,0
1000,0,fixed_absolute_ns,5,descendant_attenuated_fraction,8,1,1,1,8
1000,0,fixed_absolute_ns,5,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,fixed_absolute_ns,5,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,fixed_absolute_ns,5,descendant_gradient_energy_ratio,8,-0.5936666626,-0.6267103051,-0.5590081092,0
1000,0,input_conductance_normalized,0.25,localization_index,8,0.06456600247,0.05186870725,0.07874993696,8
1000,0,input_conductance_normalized,0.25,signed_localization,8,-0.1868500515,-0.2019438749,-0.1684612018,0
1000,0,input_conductance_normalized,0.25,descendant_attenuated_fraction,8,1,1,1,8
1000,0,input_conductance_normalized,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,input_conductance_normalized,0.25,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,input_conductance_normalized,0.25,descendant_gradient_energy_ratio,8,-0.4516514591,-0.4638388485,-0.4370973201,0
1000,0,input_conductance_normalized,1,localization_index,8,0.2242249695,0.1860228236,0.2670086592,8
1000,0,input_conductance_normalized,1,signed_localization,8,-0.6604566996,-0.7153406509,-0.5931658018,0
1000,0,input_conductance_normalized,1,descendant_attenuated_fraction,8,1,1,1,8
1000,0,input_conductance_normalized,1,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,input_conductance_normalized,1,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,input_conductance_normalized,1,descendant_gradient_energy_ratio,8,-1.52542144,-1.633506647,-1.399032626,0
1000,0,input_conductance_normalized,4,localization_index,8,0.5475556465,0.453057481,0.6619668276,8
1000,0,input_conductance_normalized,4,signed_localization,8,-1.830691132,-1.973660518,-1.654396206,0
1000,0,input_conductance_normalized,4,descendant_attenuated_fraction,8,1,1,1,8
1000,0,input_conductance_normalized,4,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,input_conductance_normalized,4,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,input_conductance_normalized,4,descendant_gradient_energy_ratio,8,-6.34655694,-7.201168802,-5.35747074,0
1000,0,relative_local,0.25,localization_index,8,0.003635891928,0.0005682017098,0.007477278832,6
1000,0,relative_local,0.25,signed_localization,8,-0.01954767563,-0.02769447891,-0.01249316156,0
1000,0,relative_local,0.25,descendant_attenuated_fraction,8,1,1,1,8
1000,0,relative_local,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,relative_local,0.25,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,relative_local,0.25,descendant_gradient_energy_ratio,8,-0.04329766313,-0.06120706558,-0.02841719665,0
1000,0,relative_local,1,localization_index,8,0.01577067618,0.005847550426,0.0287014699,8
1000,0,relative_local,1,signed_localization,8,-0.07535298395,-0.1055689722,-0.04907862521,0
1000,0,relative_local,1,descendant_attenuated_fraction,8,1,1,1,8
1000,0,relative_local,1,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,relative_local,1,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,relative_local,1,descendant_gradient_energy_ratio,8,-0.1715300265,-0.2440474537,-0.1116110035,0
1000,0,relative_local,2,localization_index,8,0.03174908086,0.0146882852,0.0534099563,8
1000,0,relative_local,2,signed_localization,8,-0.1428200501,-0.1973300543,-0.09589924158,0
1000,0,relative_local,2,descendant_attenuated_fraction,8,1,1,1,8
1000,0,relative_local,2,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,0,relative_local,2,descendant_sign_flip_fraction,8,0,0,0,0
1000,0,relative_local,2,descendant_gradient_energy_ratio,8,-0.3416981888,-0.4932312528,-0.2212244405,0
1000,1,fixed_absolute_ns,0.05,localization_index,8,0.001344616403,0.001166468625,0.001513927638,8
1000,1,fixed_absolute_ns,0.05,signed_localization,8,-0.002334038669,-0.002521995445,-0.002120641958,0
1000,1,fixed_absolute_ns,0.05,descendant_attenuated_fraction,8,1,1,1,8
1000,1,fixed_absolute_ns,0.05,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,fixed_absolute_ns,0.05,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,fixed_absolute_ns,0.05,descendant_gradient_energy_ratio,8,-0.005320949165,-0.005556769312,-0.005107958611,0
1000,1,fixed_absolute_ns,0.5,localization_index,8,0.01332810745,0.01160728551,0.01497183421,8
1000,1,fixed_absolute_ns,0.5,signed_localization,8,-0.02317474651,-0.02502405371,-0.02106825836,0
1000,1,fixed_absolute_ns,0.5,descendant_attenuated_fraction,8,1,1,1,8
1000,1,fixed_absolute_ns,0.5,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,fixed_absolute_ns,0.5,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,fixed_absolute_ns,0.5,descendant_gradient_energy_ratio,8,-0.05233145122,-0.05463886918,-0.05025079943,0
1000,1,fixed_absolute_ns,5,localization_index,8,0.1217344357,0.1074257123,0.1357611325,8
1000,1,fixed_absolute_ns,5,signed_localization,8,-0.2158435806,-0.232764666,-0.1962074501,0
1000,1,fixed_absolute_ns,5,descendant_attenuated_fraction,8,1,1,1,8
1000,1,fixed_absolute_ns,5,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,fixed_absolute_ns,5,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,fixed_absolute_ns,5,descendant_gradient_energy_ratio,8,-0.4535664691,-0.4732797833,-0.4338448916,0
1000,1,input_conductance_normalized,0.25,localization_index,8,0.1200121714,0.1123172984,0.1274855552,8
1000,1,input_conductance_normalized,0.25,signed_localization,8,-0.195301762,-0.2065125344,-0.1814885996,0
1000,1,input_conductance_normalized,0.25,descendant_attenuated_fraction,8,1,1,1,8
1000,1,input_conductance_normalized,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,input_conductance_normalized,0.25,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,input_conductance_normalized,0.25,descendant_gradient_energy_ratio,8,-0.4260336825,-0.4324594834,-0.4185233329,0
1000,1,input_conductance_normalized,1,localization_index,8,0.3855799487,0.3598454765,0.4115982225,8
1000,1,input_conductance_normalized,1,signed_localization,8,-0.6641188801,-0.7044847777,-0.6154097797,0
1000,1,input_conductance_normalized,1,descendant_attenuated_fraction,8,1,1,1,8
1000,1,input_conductance_normalized,1,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,input_conductance_normalized,1,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,input_conductance_normalized,1,descendant_gradient_energy_ratio,8,-1.285225064,-1.338824274,-1.223173836,0
1000,1,input_conductance_normalized,4,localization_index,8,0.8860199488,0.8102132598,0.9699194973,8
1000,1,input_conductance_normalized,4,signed_localization,8,-1.772450388,-1.88262358,-1.635492602,0
1000,1,input_conductance_normalized,4,descendant_attenuated_fraction,8,1,1,1,8
1000,1,input_conductance_normalized,4,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,input_conductance_normalized,4,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,input_conductance_normalized,4,descendant_gradient_energy_ratio,8,-4.354077879,-4.74480015,-3.909252586,0
1000,1,relative_local,0.25,localization_index,8,0.01301517113,0.009141589301,0.01789009218,8
1000,1,relative_local,0.25,signed_localization,8,-0.02533614548,-0.03375835846,-0.0178438574,0
1000,1,relative_local,0.25,descendant_attenuated_fraction,8,1,1,1,8
1000,1,relative_local,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,relative_local,0.25,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,relative_local,0.25,descendant_gradient_energy_ratio,8,-0.05356987295,-0.07014531755,-0.03871318424,0
1000,1,relative_local,1,localization_index,8,0.04865609579,0.035104336,0.06515316316,8
1000,1,relative_local,1,signed_localization,8,-0.09566891548,-0.1251481684,-0.06942348982,0
1000,1,relative_local,1,descendant_attenuated_fraction,8,1,1,1,8
1000,1,relative_local,1,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,relative_local,1,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,relative_local,1,descendant_gradient_energy_ratio,8,-0.1973384672,-0.2556620578,-0.1444904228,0
1000,1,relative_local,2,localization_index,8,0.08970489723,0.06615878601,0.1163310336,8
1000,1,relative_local,2,signed_localization,8,-0.1788451692,-0.2300319693,-0.1319498221,0
1000,1,relative_local,2,descendant_attenuated_fraction,8,1,1,1,8
1000,1,relative_local,2,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,1,relative_local,2,descendant_sign_flip_fraction,8,0,0,0,0
1000,1,relative_local,2,descendant_gradient_energy_ratio,8,-0.36846268,-0.4800119336,-0.2704045423,0
1000,4,fixed_absolute_ns,0.05,localization_index,8,0.001450240639,0.001323360749,0.001578671049,8
1000,4,fixed_absolute_ns,0.05,signed_localization,8,-0.001845672406,-0.001982419225,-0.00171914738,0
1000,4,fixed_absolute_ns,0.05,descendant_attenuated_fraction,8,1,1,1,8
1000,4,fixed_absolute_ns,0.05,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,4,fixed_absolute_ns,0.05,descendant_sign_flip_fraction,8,0,0,0,0
1000,4,fixed_absolute_ns,0.05,descendant_gradient_energy_ratio,8,-0.003976567057,-0.004206559886,-0.003781695702,0
1000,4,fixed_absolute_ns,0.5,localization_index,8,0.01436989238,0.01316681637,0.015642084,8
1000,4,fixed_absolute_ns,0.5,signed_localization,8,-0.01831593554,-0.01963337301,-0.0170620929,0
1000,4,fixed_absolute_ns,0.5,descendant_attenuated_fraction,8,1,1,1,8
1000,4,fixed_absolute_ns,0.5,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,4,fixed_absolute_ns,0.5,descendant_sign_flip_fraction,8,0,0,0,0
1000,4,fixed_absolute_ns,0.5,descendant_gradient_energy_ratio,8,-0.03909906156,-0.0413430695,-0.03724645851,0
1000,4,fixed_absolute_ns,5,localization_index,8,0.1319116333,0.1211266944,0.1428669882,8
1000,4,fixed_absolute_ns,5,signed_localization,8,-0.1705774369,-0.1817802564,-0.1593280471,0
1000,4,fixed_absolute_ns,5,descendant_attenuated_fraction,8,1,1,1,8
1000,4,fixed_absolute_ns,5,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,4,fixed_absolute_ns,5,descendant_sign_flip_fraction,8,0,0,0,0
1000,4,fixed_absolute_ns,5,descendant_gradient_energy_ratio,8,-0.3372348632,-0.3534517483,-0.3226495106,0
1000,4,input_conductance_normalized,0.25,localization_index,8,0.1654876577,0.1594591153,0.1706421807,8
1000,4,input_conductance_normalized,0.25,signed_localization,8,-0.2064814613,-0.2132635419,-0.1980398181,0
1000,4,input_conductance_normalized,0.25,descendant_attenuated_fraction,8,1,1,1,8
1000,4,input_conductance_normalized,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,4,input_conductance_normalized,0.25,descendant_sign_flip_fraction,8,0,0,0,0
1000,4,input_conductance_normalized,0.25,descendant_gradient_energy_ratio,8,-0.4118917462,-0.4147533959,-0.4087207892,0
1000,4,input_conductance_normalized,1,localization_index,8,0.5204719359,0.4997267818,0.5388353385,8
1000,4,input_conductance_normalized,1,signed_localization,8,-0.6762618409,-0.7011181275,-0.6463066323,0
1000,4,input_conductance_normalized,1,descendant_attenuated_fraction,8,1,1,1,8
1000,4,input_conductance_normalized,1,descendant_enhanced_fraction,8,-1,-1,-1,0
1000,4,input_conductance_normalized,1,descendant_sign_flip_fraction,8,0,0,0,0
1000,4,input_conductance_normalized,1,descendant_gradient_energy_ratio,8,-1.158196162,-1.181855831,-1.133040862,0
