budget,metric,contrast,seed,difference
180,best_valid_loss,bp_exact_minus_broadcast,10205,-0.07591183233261106
180,best_valid_loss,bp_exact_minus_broadcast,10206,-0.05515832271575927
180,best_valid_loss,bp_exact_minus_broadcast,10207,-0.055744972038269
180,best_valid_loss,bp_exact_minus_broadcast,10208,-0.06630360341072083
180,best_valid_loss,bp_exact_minus_broadcast,10209,-0.10646386237144473
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10200,-0.12167789335250856
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10201,-0.12966061382293703
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10202,-0.11449894771575925
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10203,-0.11992487745285035
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10204,-0.12291346769332889
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10205,-0.11474662904739374
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10206,-0.1147602695941925
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10207,-0.12092813673019409
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10208,-0.12869501142501827
180,best_valid_loss,broadcast_bp_minus_localca_recipe,10209,-0.11656121549606324
600,test_loss,depth_gain_exact_bp,10200,-0.570484384894371
600,test_loss,depth_gain_exact_bp,10201,-0.5566664934158325
600,test_loss,depth_gain_exact_bp,10202,-0.5668701604008675
600,test_loss,depth_gain_exact_bp,10203,-0.5668020248413086
600,test_loss,depth_gain_exact_bp,10204,-0.5648390129208565
600,test_loss,depth_gain_exact_bp,10205,-0.555326946079731
600,test_loss,depth_gain_exact_bp,10206,-0.5500398352742195
600,test_loss,depth_gain_exact_bp,10207,-0.5638699010014534
600,test_loss,depth_gain_exact_bp,10208,-0.5636617690324783
600,test_loss,depth_gain_exact_bp,10209,-0.5717077851295471
600,test_loss,localca_path_minus_shared,10200,-0.03896541893482208
600,test_loss,localca_path_minus_shared,10201,-0.005259960889816284
600,test_loss,localca_path_minus_shared,10202,-0.03359159827232361
600,test_loss,localca_path_minus_shared,10203,-0.0437629371881485
600,test_loss,localca_path_minus_shared,10204,-0.02540251612663269
600,test_loss,localca_path_minus_shared,10205,-0.025333881378173828
600,test_loss,localca_path_minus_shared,10206,0.0028954744338989258
600,test_loss,localca_path_minus_shared,10207,-0.008387595415115356
600,test_loss,localca_path_minus_shared,10208,-0.003153681755065918
600,test_loss,localca_path_minus_shared,10209,-0.03308407962322235
600,test_loss,bp_exact_minus_broadcast,10200,-0.08852095901966095
600,test_loss,bp_exact_minus_broadcast,10201,-0.05620779097080231
600,test_loss,bp_exact_minus_broadcast,10202,-0.07083224505186081
600,test_loss,bp_exact_minus_broadcast,10203,-0.0831863284111023
600,test_loss,bp_exact_minus_broadcast,10204,-0.07271065562963486
600,test_loss,bp_exact_minus_broadcast,10205,-0.06311614066362381
600,test_loss,bp_exact_minus_broadcast,10206,-0.06725781410932541
600,test_loss,bp_exact_minus_broadcast,10207,-0.06378980726003647
600,test_loss,bp_exact_minus_broadcast,10208,-0.06331214308738708
600,test_loss,bp_exact_minus_broadcast,10209,-0.09245222806930542
600,test_loss,broadcast_bp_minus_localca_recipe,10200,-0.10357514023780823
600,test_loss,broadcast_bp_minus_localca_recipe,10201,-0.11753492057323456
600,test_loss,broadcast_bp_minus_localca_recipe,10202,-0.12362973392009735
600,test_loss,broadcast_bp_minus_localca_recipe,10203,-0.10475814342498779
600,test_loss,broadcast_bp_minus_localca_recipe,10204,-0.10589264333248138
600,test_loss,broadcast_bp_minus_localca_recipe,10205,-0.13755309581756592
600,test_loss,broadcast_bp_minus_localca_recipe,10206,-0.1107388585805893
600,test_loss,broadcast_bp_minus_localca_recipe,10207,-0.10440899431705475
600,test_loss,broadcast_bp_minus_localca_recipe,10208,-0.10891212522983551
600,test_loss,broadcast_bp_minus_localca_recipe,10209,-0.09868443012237549
600,best_valid_loss,depth_gain_exact_bp,10200,-0.5638396305084228
600,best_valid_loss,depth_gain_exact_bp,10201,-0.5566232852935791
600,best_valid_loss,depth_gain_exact_bp,10202,-0.5682781803727149
600,best_valid_loss,depth_gain_exact_bp,10203,-0.5630275787115097
600,best_valid_loss,depth_gain_exact_bp,10204,-0.5652572028517723
600,best_valid_loss,depth_gain_exact_bp,10205,-0.5609433058738709
600,best_valid_loss,depth_gain_exact_bp,10206,-0.5495694574713708
600,best_valid_loss,depth_gain_exact_bp,10207,-0.5560222916960716
600,best_valid_loss,depth_gain_exact_bp,10208,-0.5652187707781793
600,best_valid_loss,depth_gain_exact_bp,10209,-0.5727462393879891
600,best_valid_loss,localca_path_minus_shared,10200,-0.036206921100616435
600,best_valid_loss,localca_path_minus_shared,10201,-0.005667345309257499
600,best_valid_loss,localca_path_minus_shared,10202,-0.036889911103248574
600,best_valid_loss,localca_path_minus_shared,10203,-0.03807227749824524
600,best_valid_loss,localca_path_minus_shared,10204,-0.028534826517105094
600,best_valid_loss,localca_path_minus_shared,10205,-0.033956147241592405
600,best_valid_loss,localca_path_minus_shared,10206,0.010128058505058324
600,best_valid_loss,localca_path_minus_shared,10207,-0.007462460565567042
600,best_valid_loss,localca_path_minus_shared,10208,8.195354938506094e-05
600,best_valid_loss,localca_path_minus_shared,10209,-0.035371820306777935
600,best_valid_loss,bp_exact_minus_broadcast,10200,-0.08708486058712006
600,best_valid_loss,bp_exact_minus_broadcast,10201,-0.055172610473632824
600,best_valid_loss,bp_exact_minus_broadcast,10202,-0.07062300559282304
600,best_valid_loss,bp_exact_minus_broadcast,10203,-0.08174387090206145
600,best_valid_loss,bp_exact_minus_broadcast,10204,-0.0733161977171898
600,best_valid_loss,bp_exact_minus_broadcast,10205,-0.06341554365158082
600,best_valid_loss,bp_exact_minus_broadcast,10206,-0.0682723578095436
600,best_valid_loss,bp_exact_minus_broadcast,10207,-0.06278960489034653
600,best_valid_loss,bp_exact_minus_broadcast,10208,-0.06089109088182448
600,best_valid_loss,bp_exact_minus_broadcast,10209,-0.09425972052812576
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10200,-0.1021813652276993
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10201,-0.11846691756248473
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10202,-0.12387288136482238
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10203,-0.10428920946121217
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10204,-0.10572132124900818
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10205,-0.137007276391983
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10206,-0.11112705917358401
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10207,-0.10432843074798581
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10208,-0.10935493795871737
600,best_valid_loss,broadcast_bp_minus_localca_recipe,10209,-0.09884959883689878
