candidate_id,shape,restart,fit_seed,validation_mse,test_nmse,noisy_test_mse,exact_population_nmse,status,fit_seconds,training_curve,dead_coordinate_blocks,minimum_coordinate_rank,final_parameter_norm,maximum_parameter_norm,selected_by_validation,seed,family,family_index,oracle_cut_candidate,parameters,edges
comb_p3,comb,0,82091300,0.6109922064716122,0.5453200693365872,0.637299908839827,0.5459590776288124,completed,0.09387249406427145,"{""0"": 1.1003696460921086, ""2"": 0.5996098660493917, ""8"": 0.5751407175129719, ""32"": 0.5751127240630134}",0,4,2.538612919358698,9.832979111904349,True,820913,matching,0,balanced_p1,28,14
comb_p3,comb,1,82091301,0.6125947963194999,0.5458478001168843,0.6375063586375584,0.5465917977815213,completed,0.08859827008564025,"{""0"": 1.0992803952889716, ""2"": 0.7827975546767377, ""8"": 0.5740627411428227, ""32"": 0.5740030760923656}",0,4,2.5322753596955274,209.36420454538606,False,820913,matching,0,balanced_p1,28,14
mixed_p0,mixed,0,82091300,0.6172298560842073,0.5477399365795899,0.6393789143080157,0.547081063910067,completed,0.08813888998702168,"{""0"": 1.019599441586286, ""2"": 0.5809293353214575, ""8"": 0.5742260550749394, ""32"": 0.5734839750691061}",0,4,2.5671856338328283,5.309190068926317,False,820913,matching,0,balanced_p1,28,14
mixed_p0,mixed,1,82091301,0.612429827750371,0.5461434968094191,0.6384327290082927,0.5453217810103774,completed,0.087644062936306,"{""0"": 1.0165359871491808, ""2"": 0.5756065041238995, ""8"": 0.5745258626413448, ""32"": 0.5745220736174388}",0,4,2.548102302128472,11.125357865797948,True,820913,matching,0,balanced_p1,28,14
mixed_p1,mixed,0,82091300,0.46419297627847683,0.39451517413526915,0.48739646643259715,0.39800713046827274,completed,0.08923018595669419,"{""0"": 0.997457492894038, ""2"": 0.45954182715151126, ""8"": 0.4286265846252184, ""32"": 0.4286265670474473}",0,4,2.5721499073251484,3.917721166313465,True,820913,matching,0,balanced_p1,28,14
mixed_p1,mixed,1,82091301,0.46419297629759804,0.3945151741349161,0.48739646643192347,0.39800713047276826,completed,0.0877591649768874,"{""0"": 1.0483764198418293, ""2"": 0.43879413028749925, ""8"": 0.4286763058465846, ""32"": 0.4286265670474473}",0,4,2.5721499073037086,5.224175666706135,False,820913,matching,0,balanced_p1,28,14
mixed_p2,mixed,0,82091300,0.31279374028592777,0.25419436926030314,0.34884954035905963,0.24927387115702393,completed,0.08940102101769298,"{""0"": 1.1072742971492542, ""2"": 0.3773070824729874, ""8"": 0.30539078367551803, ""32"": 0.3053860256341999}",0,4,2.5971247741502657,3.8250238777669,False,820913,matching,0,balanced_p1,28,14
mixed_p2,mixed,1,82091301,0.3127929999835389,0.2541934884849629,0.3488489357475877,0.24927265754909117,completed,0.08911230403464288,"{""0"": 1.0087084955010757, ""2"": 0.5717705213387221, ""8"": 0.5705688314723135, ""32"": 0.3053860257998141}",0,4,2.5971250774923407,6.34003601084863,True,820913,matching,0,balanced_p1,28,14
mixed_p3,mixed,0,82091300,0.9899816695053358,0.9194859495895722,0.9991636778041624,0.9321880938559549,completed,0.08835515507962555,"{""0"": 1.0237527213260347, ""2"": 0.892518169325571, ""8"": 0.8811514752033461, ""32"": 0.8810546713147988}",0,4,2.4728960144693786,6.122572763251656,False,820913,matching,0,balanced_p1,28,14
mixed_p3,mixed,1,82091301,0.6038846346939062,0.5466659453957712,0.638350178076776,0.5462769817364932,completed,0.0883550209691748,"{""0"": 1.0003645038174651, ""2"": 0.5775490545256611, ""8"": 0.5747294709281149, ""32"": 0.5747144442719601}",0,4,2.547429335432695,12.006286685575978,True,820913,matching,0,balanced_p1,28,14
estimated_adaptive_dp,adaptive,0,82091300,0.09337594042308522,0.0009303039519578297,0.08862411375995626,0.0009565604847856645,completed,0.08894610498100519,"{""0"": 0.9909727289278383, ""2"": 0.08410626936255373, ""8"": 0.08072216217538776, ""32"": 0.080722162174925}",0,4,2.6461764534090504,3.7154256029223225,False,820913,matching,0,balanced_p1,28,14
estimated_adaptive_dp,adaptive,1,82091301,0.09337594042308521,0.0009303039519577999,0.08862411375995623,0.0009565604847856335,completed,0.08823672600556165,"{""0"": 1.0368109712926652, ""2"": 0.08131591403798301, ""8"": 0.08072216217499122, ""32"": 0.080722162174925}",0,4,2.6461764534090504,7.342727581102495,True,820913,matching,0,balanced_p1,28,14
oracle_adaptive_dp,adaptive,0,82091300,0.09339615746015445,0.0007423590349073147,0.088528526246072,0.0007418128761596545,completed,0.08926682802848518,"{""0"": 0.9412891080754644, ""2"": 0.08270479141292525, ""8"": 0.08086295324962126, ""32"": 0.08086295324944748}",0,4,2.649948790641737,4.297377872569438,True,820913,matching,0,balanced_p1,28,14
oracle_adaptive_dp,adaptive,1,82091301,0.09339615746015446,0.0007423590349073218,0.088528526246072,0.000741812876159662,completed,0.08801941701676697,"{""0"": 0.9908654065076322, ""2"": 0.08155946448201996, ""8"": 0.08086295324954858, ""32"": 0.08086295324944746}",0,4,2.6499487906417367,6.914183771728863,False,820913,matching,0,balanced_p1,28,14
balanced_p0,balanced,0,82091310,0.7589039724737701,0.6701421744439431,0.7577592986986618,0.6664062393127947,completed,0.09077078907284886,"{""0"": 1.0359727876071576, ""2"": 0.7752388867816074, ""8"": 0.7101048010668657, ""32"": 0.7101043324125991}",0,4,2.502459925603968,3.0913594091190957,False,820913,quartet,1,mixed_p2,28,14
balanced_p0,balanced,1,82091311,0.4351890211818704,0.3490902559582736,0.4403286290219351,0.3481898641301664,completed,0.089271773933433,"{""0"": 1.0016163469954436, ""2"": 0.3919583213679309, ""8"": 0.37707171935916783, ""32"": 0.3770712174797208}",0,4,2.588766921126169,18.34132342570574,True,820913,quartet,1,mixed_p2,28,14
balanced_p1,balanced,0,82091310,0.4304352626713582,0.3489529441939371,0.44050381206649747,0.3490769211758916,completed,0.08875813195481896,"{""0"": 1.0430195815074152, ""2"": 0.38596717477846443, ""8"": 0.37634920345787526, ""32"": 0.37634839023057265}",0,4,2.5832447881823843,10.146740188125065,True,820913,quartet,1,mixed_p2,28,14
balanced_p1,balanced,1,82091311,0.7640607100619163,0.6653601673318823,0.7531938796923261,0.6660867344030974,completed,0.08915825595613569,"{""0"": 1.0010239778652068, ""2"": 0.7175738141443603, ""8"": 0.7108194521122324, ""32"": 0.7108194515124526}",0,4,2.514897393877685,11.565396270382553,False,820913,quartet,1,mixed_p2,28,14
balanced_p2,balanced,0,82091310,0.7613068644399179,0.6674968068726105,0.7546378847745525,0.6656226483305034,completed,0.09081053000409156,"{""0"": 1.05918597925716, ""2"": 0.7592085896358938, ""8"": 0.7106646824243222, ""32"": 0.7106646790514135}",0,4,2.5055223241891578,3.2821144066432684,False,820913,quartet,1,mixed_p2,28,14
balanced_p2,balanced,1,82091311,0.4394438083183282,0.35083580082458365,0.44179419662065056,0.3506126399438366,completed,0.08995567297097296,"{""0"": 1.0013819386002054, ""2"": 0.985859629558137, ""8"": 0.37939948625813347, ""32"": 0.37493166685946844}",0,4,2.590558822630828,5.4640664651004265,True,820913,quartet,1,mixed_p2,28,14
