seed,optimizer,rule,first_contact_step,last_precontact_checkpoint,exact_nmse,broadcast_nmse,gap
2113,sgd,unit_broadcast,1633,1024,0.0001587733172366,1.0023129884669857,1.0021542151497491
2113,sgd,calibrated_broadcast,4520,4096,0.0001457542055743,1.0003719095091668,1.0002261553035925
2114,adam,unit_broadcast,2995,2048,3.305174525330178e-05,0.8869054692976193,0.886872417552366
2114,adam,calibrated_broadcast,2995,2048,3.305174525330178e-05,0.8869038896236138,0.8868708378783605
2114,sgd,unit_broadcast,2588,2048,0.0001499824143881,1.0005529343430457,1.0004029519286577
2114,sgd,calibrated_broadcast,5697,4096,0.0001470676345048,0.999953354022384,0.9998062863878792
2115,adam,unit_broadcast,544,256,0.0001490288695548,0.4109331781279327,0.41078414925837786
2115,adam,calibrated_broadcast,544,256,0.0001490288695548,0.4109332114085317,0.41078418253897686
2115,sgd,unit_broadcast,2925,2048,0.0001117898358697,0.2454271689073082,0.2453153790714385
2115,sgd,calibrated_broadcast,6884,4096,0.0001100723439555,0.2984138558413598,0.29830378349740433
2116,adam,unit_broadcast,6263,4096,2.1597023211291057e-05,0.9336184887775002,0.933596891754289
2116,adam,calibrated_broadcast,6263,4096,2.1597023211291057e-05,0.9336210306189044,0.9335994335956932
2116,sgd,unit_broadcast,3066,2048,0.000202044642201,0.9949250173382544,0.9947229726960535
2116,sgd,calibrated_broadcast,6149,4096,0.0001934485349195,0.9882795746281068,0.9880861260931872
2117,adam,unit_broadcast,1357,1024,0.0002250204257912,1.0093322292729767,1.0091072088471855
2117,adam,calibrated_broadcast,1357,1024,0.0002250204257912,1.0093322776069105,1.0091072571811193
2117,sgd,unit_broadcast,6078,4096,0.0001997399687457,1.0156514668585592,1.0154517268898136
2117,sgd,calibrated_broadcast,16385,16384,0.000161633189641,0.999773773358592,0.999612140168951
2118,adam,unit_broadcast,1039,1024,0.000177221235632,0.6023231990672768,0.6021459778316448
2118,adam,calibrated_broadcast,1039,1024,0.000177221235632,0.6023233884581252,0.6021461672224931
2118,sgd,unit_broadcast,4272,4096,0.0001755667000619,0.3664677909992224,0.3662922242991605
2118,sgd,calibrated_broadcast,16385,16384,0.000153834518101,0.8413497623498984,0.8411959278317974
2119,adam,unit_broadcast,571,256,0.0003377898277532,0.6596755881220505,0.6593377982942973
2119,adam,calibrated_broadcast,571,256,0.0003377898277532,0.6596756052908829,0.6593378154631296
2119,sgd,unit_broadcast,2857,2048,0.0002278565333849,0.2330367384068634,0.2328088818734785
2119,sgd,calibrated_broadcast,6991,4096,0.0002182986097853,0.5086776717321476,0.5084593731223623
2120,adam,unit_broadcast,757,256,0.000290881833997,0.7880037403509681,0.7877128585169711
2120,adam,calibrated_broadcast,757,256,0.000290881833997,0.7880037482333335,0.7877128663993366
2120,sgd,unit_broadcast,3065,2048,0.0001867445446372,0.281266644900301,0.2810799003556638
2120,sgd,calibrated_broadcast,7186,4096,0.0001788979394559,0.3905391491928621,0.3903602512534062
