channels,method,residual,wiring_nonzeros,root_id,residual_sd,actual_channels
4,depth-only bins,0.8281232035497137,23.0,864691136389026167,,4.0
8,dense PCA oracle,0.3450326290780256,184.0,864691136389026167,,
8,morphology-aware paths,0.4589937598406908,13.0,864691136389026167,,
8,random paths,0.8626998594619439,9.984375,864691136389026167,0.07741800651762634,
8,shuffled ancestry,0.7850890902112346,13.0,864691136389026167,0.087417249273742,
8,depth-only bins,0.6679726346979666,23.0,864691136389026167,,8.0
16,dense PCA oracle,0.07772177709620261,368.0,864691136389026167,,
16,morphology-aware paths,0.3812250173392483,40.0,864691136389026167,,
16,random paths,0.6998519662132228,21.328125,864691136389026167,0.10311961923192105,
16,shuffled ancestry,0.5174562905102821,40.0,864691136389026167,0.0997298584277873,
16,depth-only bins,0.3634492797467755,23.0,864691136389026167,,16.0
1,dense PCA oracle,0.8037258992369795,30.0,864691136486753554,,
1,morphology-aware paths,0.8046169850617756,2.0,864691136486753554,,
1,random paths,0.9812309487116823,1.5625,864691136486753554,0.03818593208316723,
1,shuffled ancestry,0.9750294975865059,2.0,864691136486753554,0.044922089700016946,
1,depth-only bins,0.9484574738101086,30.0,864691136486753554,,1.0
2,dense PCA oracle,0.6861354058419978,60.0,864691136486753554,,
2,morphology-aware paths,0.7605189205189143,4.0,864691136486753554,,
2,random paths,0.9751667854489567,3.5,864691136486753554,0.037230362640108386,
2,shuffled ancestry,0.9642887066539243,4.0,864691136486753554,0.04745364951689953,
2,depth-only bins,0.8816282677118179,30.0,864691136486753554,,2.0
4,dense PCA oracle,0.5132254308209538,120.0,864691136486753554,,
4,morphology-aware paths,0.5604090316160937,7.0,864691136486753554,,
4,random paths,0.9250321335600057,5.671875,864691136486753554,0.0838695481911382,
4,shuffled ancestry,0.9201710908424379,7.0,864691136486753554,0.06040275697303078,
4,depth-only bins,0.8159636805204262,30.0,864691136486753554,,4.0
8,dense PCA oracle,0.3304298807426303,240.0,864691136486753554,,
8,morphology-aware paths,0.3985104620432372,12.0,864691136486753554,,
8,random paths,0.8654375999736055,14.8125,864691136486753554,0.10473083610938509,
8,shuffled ancestry,0.8292168964002927,12.0,864691136486753554,0.09911751554693557,
8,depth-only bins,0.7027616763374642,30.0,864691136486753554,,8.0
16,dense PCA oracle,0.11013416031507013,480.0,864691136486753554,,
16,morphology-aware paths,0.2839600420283089,29.0,864691136486753554,,
16,random paths,0.7555198911083766,24.15625,864691136486753554,0.11498170454712743,
16,shuffled ancestry,0.6525976869574338,29.0,864691136486753554,0.13316419568656776,
16,depth-only bins,0.5950529932062292,30.0,864691136486753554,,16.0
1,dense PCA oracle,0.8733817661840688,30.0,864691135716174106,,
1,morphology-aware paths,0.8757353143172791,2.0,864691135716174106,,
1,random paths,0.9771439276287308,2.625,864691135716174106,0.03230555206810888,
1,shuffled ancestry,0.9808045052384073,2.0,864691135716174106,0.024658342080275668,
1,depth-only bins,0.9498604576042415,30.0,864691135716174106,,1.0
2,dense PCA oracle,0.7647512456984085,60.0,864691135716174106,,
2,morphology-aware paths,0.7693072816051353,3.0,864691135716174106,,
2,random paths,0.9640825490874461,3.25,864691135716174106,0.042632951396883605,
2,shuffled ancestry,0.9584113219945555,3.0,864691135716174106,0.03634359766874705,
2,depth-only bins,0.9163941071797552,30.0,864691135716174106,,2.0
4,dense PCA oracle,0.641026636468745,120.0,864691135716174106,,
4,morphology-aware paths,0.6746414528879421,7.0,864691135716174106,,
4,random paths,0.9281117488833719,7.78125,864691135716174106,0.05437700362859106,
4,shuffled ancestry,0.9254517981224569,7.0,864691135716174106,0.041741774342886645,
4,depth-only bins,0.8470142059768765,30.0,864691135716174106,,4.0
8,dense PCA oracle,0.45535263901580003,240.0,864691135716174106,,
8,morphology-aware paths,0.542530270330266,14.0,864691135716174106,,
8,random paths,0.850547819467696,13.59375,864691135716174106,0.08357563112957017,
8,shuffled ancestry,0.8119283030101753,14.0,864691135716174106,0.08238953063818007,
8,depth-only bins,0.7294342915082541,30.0,864691135716174106,,8.0
16,dense PCA oracle,0.16876314370393378,480.0,864691135716174106,,
16,morphology-aware paths,0.37515454159301803,27.0,864691135716174106,,
16,random paths,0.7049404502024658,30.484375,864691135716174106,0.10936338212373563,
16,shuffled ancestry,0.6724224752247531,27.0,864691135716174106,0.09849946820332406,
16,depth-only bins,0.5012662628831401,30.0,864691135716174106,,16.0
1,dense PCA oracle,0.8848597641624993,38.0,864691135502788957,,
1,morphology-aware paths,0.9147131980599967,1.0,864691135502788957,,
1,random paths,0.9916080698806188,3.09375,864691135502788957,0.013152996415659325,
1,shuffled ancestry,0.9873209299982337,1.0,864691135502788957,0.023691136709115816,
1,depth-only bins,0.9733269211591119,38.0,864691135502788957,,1.0
2,dense PCA oracle,0.7860532716504524,76.0,864691135502788957,,
2,morphology-aware paths,0.7883078348648884,2.0,864691135502788957,,
2,random paths,0.9813495214340564,3.53125,864691135502788957,0.02053370005608697,
2,shuffled ancestry,0.9761660412312089,2.0,864691135502788957,0.027632068576416688,
2,depth-only bins,0.9564144918109998,38.0,864691135502788957,,2.0
4,dense PCA oracle,0.6404349989098583,152.0,864691135502788957,,
4,morphology-aware paths,0.681657397774122,5.0,864691135502788957,,
4,random paths,0.9628367545480364,4.921875,864691135502788957,0.03704475813559802,
4,shuffled ancestry,0.9388197218436536,5.0,864691135502788957,0.05341301761848815,
4,depth-only bins,0.924832247529426,38.0,864691135502788957,,4.0
8,dense PCA oracle,0.43347777967909673,304.0,864691135502788957,,
8,morphology-aware paths,0.4737925600161445,9.0,864691135502788957,,
8,random paths,0.9135526676567063,13.3125,864691135502788957,0.05493246129390299,
8,shuffled ancestry,0.8985450394416157,9.0,864691135502788957,0.05710073276219389,
8,depth-only bins,0.8695691679339189,38.0,864691135502788957,,8.0
16,dense PCA oracle,0.23534818894210807,608.0,864691135502788957,,
16,morphology-aware paths,0.3158143418997107,23.0,864691135502788957,,
16,random paths,0.8242205309739712,27.375,864691135502788957,0.09746310203343571,
16,shuffled ancestry,0.7546685043636591,23.0,864691135502788957,0.1017183831172487,
16,depth-only bins,0.720758267704054,38.0,864691135502788957,,16.0
1,dense PCA oracle,0.8584661254876474,39.0,864691135867632406,,
1,morphology-aware paths,0.8625922780198223,3.0,864691135867632406,,
1,random paths,0.9830113178327208,2.234375,864691135867632406,0.02016508931998506,
1,shuffled ancestry,0.9820718092890854,3.0,864691135867632406,0.016179267115284956,
1,depth-only bins,0.9739474723302415,39.0,864691135867632406,,1.0
2,dense PCA oracle,0.7890748873089386,78.0,864691135867632406,,
2,morphology-aware paths,0.8625922780198223,6.0,864691135867632406,,
2,random paths,0.9592989082134822,3.484375,864691135867632406,0.04267767777691798,
2,shuffled ancestry,0.9691794373318785,6.0,864691135867632406,0.020299856553217897,
2,depth-only bins,0.9512673613920011,39.0,864691135867632406,,2.0
4,dense PCA oracle,0.6445520540949462,156.0,864691135867632406,,
4,morphology-aware paths,0.7730220927975947,11.0,864691135867632406,,
4,random paths,0.9251484801151105,7.96875,864691135867632406,0.06391413249677187,
4,shuffled ancestry,0.9326643293174076,11.0,864691135867632406,0.03537491097708598,
4,depth-only bins,0.9131868867964096,39.0,864691135867632406,,4.0
8,dense PCA oracle,0.4970406357753067,312.0,864691135867632406,,
8,morphology-aware paths,0.6547773708256754,28.0,864691135867632406,,
8,random paths,0.8547403677471901,16.609375,864691135867632406,0.07254715961855879,
8,shuffled ancestry,0.8705088944612817,28.0,864691135867632406,0.04563586342343709,
8,depth-only bins,0.8538242854011696,39.0,864691135867632406,,8.0
16,dense PCA oracle,0.2854606958352687,624.0,864691135867632406,,
16,morphology-aware paths,0.41364033130017835,39.0,864691135867632406,,
16,random paths,0.6989921933411214,36.9375,864691135867632406,0.09274328713849446,
16,shuffled ancestry,0.7461561506526511,39.0,864691135867632406,0.05831948869033063,
16,depth-only bins,0.6606809949566026,39.0,864691135867632406,,16.0
1,dense PCA oracle,0.8882309832282963,29.0,864691135938349828,,
1,morphology-aware paths,0.8893551160125042,1.0,864691135938349828,,
1,random paths,0.9852512087673895,1.4375,864691135938349828,0.019259909106651353,
1,shuffled ancestry,0.9773949718429145,1.0,864691135938349828,0.02576418020506766,
1,depth-only bins,0.9656912571594233,29.0,864691135938349828,,1.0
2,dense PCA oracle,0.8102427658223174,58.0,864691135938349828,,
2,morphology-aware paths,0.8264533236600989,2.0,864691135938349828,,
2,random paths,0.9678521617472444,1.953125,864691135938349828,0.02907739454425112,
2,shuffled ancestry,0.9663703634450265,2.0,864691135938349828,0.030669057986001072,
2,depth-only bins,0.9336702853132955,29.0,864691135938349828,,2.0
4,dense PCA oracle,0.6861583015995809,116.0,864691135938349828,,
4,morphology-aware paths,0.7074422691433749,4.0,864691135938349828,,
4,random paths,0.9334985481248215,4.265625,864691135938349828,0.048509835076121194,
4,shuffled ancestry,0.9328657440085766,4.0,864691135938349828,0.04029924987889847,
4,depth-only bins,0.8765605869855357,29.0,864691135938349828,,4.0
8,dense PCA oracle,0.4929512173922074,232.0,864691135938349828,,
8,morphology-aware paths,0.6104049467749115,12.0,864691135938349828,,
8,random paths,0.8741160455097283,10.53125,864691135938349828,0.057169984142791806,
8,shuffled ancestry,0.8393075973999797,12.0,864691135938349828,0.06888551255039027,
8,depth-only bins,0.7521395107880849,29.0,864691135938349828,,8.0
16,dense PCA oracle,0.2524431965874974,464.0,864691135938349828,,
16,morphology-aware paths,0.3273648519769966,21.0,864691135938349828,,
16,random paths,0.7481464026559099,22.03125,864691135938349828,0.09046045775716886,
16,shuffled ancestry,0.7135911148150124,21.0,864691135938349828,0.08388840721756946,
16,depth-only bins,0.6182712298539542,29.0,864691135938349828,,16.0
1,dense PCA oracle,0.8126602766110145,16.0,864691136619341965,,
1,morphology-aware paths,0.8146280037500889,1.0,864691136619341965,,
1,random paths,0.9877834301967432,0.796875,864691136619341965,0.021265664012631778,
1,shuffled ancestry,0.9673787716134106,1.0,864691136619341965,0.04716216348551986,
1,depth-only bins,0.9363897780614566,16.0,864691136619341965,,1.0
2,dense PCA oracle,0.699435223000949,32.0,864691136619341965,,
2,morphology-aware paths,0.7372555079860621,2.0,864691136619341965,,
2,random paths,0.9792431994608297,1.515625,864691136619341965,0.03179458281238892,
2,shuffled ancestry,0.9361776158743214,2.0,864691136619341965,0.07130318645461524,
2,depth-only bins,0.8625366969938634,16.0,864691136619341965,,2.0
4,dense PCA oracle,0.5296925315701103,64.0,864691136619341965,,
4,morphology-aware paths,0.6222306516914115,4.0,864691136619341965,,
4,random paths,0.9469854792131014,2.9375,864691136619341965,0.06757241383555729,
4,shuffled ancestry,0.8777358095301446,4.0,864691136619341965,0.08000658638970502,
4,depth-only bins,0.7418842664513602,16.0,864691136619341965,,4.0
8,dense PCA oracle,0.2700426741623577,128.0,864691136619341965,,
8,morphology-aware paths,0.3565301552168153,10.0,864691136619341965,,
8,random paths,0.8952183711425665,7.140625,864691136619341965,0.0753270923357979,
8,shuffled ancestry,0.7086865926472188,10.0,864691136619341965,0.1221878575843471,
8,depth-only bins,0.4297759884597307,16.0,864691136619341965,,8.0
16,dense PCA oracle,0.0,256.0,864691136619341965,,
16,morphology-aware paths,0.10576241160798186,23.0,864691136619341965,,
16,random paths,0.7703173873038779,13.671875,864691136619341965,0.1178406980827717,
16,shuffled ancestry,0.46693257765244467,23.0,864691136619341965,0.16401800005660425,
16,depth-only bins,2.4235464137573234e-16,16.0,864691136619341965,,16.0
1,dense PCA oracle,0.8984266105136921,23.0,864691136066733720,,
1,morphology-aware paths,0.9506693987502797,1.0,864691136066733720,,
1,random paths,0.9833671529544856,1.09375,864691136066733720,0.028835941773548875,
1,shuffled ancestry,0.9749546695446365,1.0,864691136066733720,0.024370831066461603,
1,depth-only bins,0.9631006978939941,23.0,864691136066733720,,1.0
2,dense PCA oracle,0.8160761357575972,46.0,864691136066733720,,
2,morphology-aware paths,0.847579667866751,4.0,864691136066733720,,
2,random paths,0.9577499427807474,2.296875,864691136066733720,0.043673455842520754,
2,shuffled ancestry,0.9479600865429448,4.0,864691136066733720,0.0307447762532594,
2,depth-only bins,0.9298357460373194,23.0,864691136066733720,,2.0
4,dense PCA oracle,0.6580912546734488,92.0,864691136066733720,,
4,morphology-aware paths,0.7156700961167907,6.0,864691136066733720,,
4,random paths,0.9325366912156725,5.15625,864691136066733720,0.04935640263336634,
4,shuffled ancestry,0.9056065538685556,6.0,864691136066733720,0.04809310743253933,
4,depth-only bins,0.8805732524310956,23.0,864691136066733720,,4.0
8,dense PCA oracle,0.39861619393630326,184.0,864691136066733720,,
8,morphology-aware paths,0.48158457392566567,11.0,864691136066733720,,
8,random paths,0.8417795954067813,10.4375,864691136066733720,0.06898501321939138,
8,shuffled ancestry,0.8153491895961757,11.0,864691136066733720,0.06315946754865986,
8,depth-only bins,0.7610492089375273,23.0,864691136066733720,,8.0
16,dense PCA oracle,0.00913427726785223,368.0,864691136066733720,,
16,morphology-aware paths,0.20884810814562002,48.0,864691136066733720,,
16,random paths,0.7039212702100124,19.59375,864691136066733720,0.07965337635338234,
16,shuffled ancestry,0.5835680594000563,48.0,864691136066733720,0.08564936422908494,
16,depth-only bins,0.5393330564477444,23.0,864691136066733720,,16.0
1,dense PCA oracle,0.8559724581187639,14.0,864691135919106224,,
1,morphology-aware paths,0.9020843893547745,1.0,864691135919106224,,
1,random paths,0.9785611123581507,0.703125,864691135919106224,0.042735192830612626,
1,shuffled ancestry,0.9645881366116278,1.0,864691135919106224,0.04636268197957015,
1,depth-only bins,0.9085138473285962,14.0,864691135919106224,,1.0
2,dense PCA oracle,0.7096340632762707,28.0,864691135919106224,,
2,morphology-aware paths,0.7666842019209694,2.0,864691135919106224,,
