run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues,family
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,29,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,51,occupancy_quantile,263.0,0.9723999500274658,0.9721666574478148,32,0.0967263114651044,180,6034186,230400,2462559232,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,30,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,42,occupancy_quantile,258.0,0.9700999855995178,0.965666651725769,37,0.1078229638338089,180,6034186,230400,2461707264,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,31,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,43,occupancy_quantile,255.0,0.9685999751091005,0.968916654586792,30,0.1046963438987731,180,6034186,230400,2461838336,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,32,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,44,occupancy_quantile,253.0,0.9714999794960022,0.968999981880188,37,0.0972630341947078,180,6034186,230400,2461969408,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,33,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,45,occupancy_quantile,253.0,0.9669999480247498,0.9681666493415833,37,0.1057931412855784,180,6034186,230400,2462198784,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,34,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,46,occupancy_quantile,261.0,0.97079998254776,0.9675832986831664,40,0.1098226026296615,180,6034186,230400,2464394240,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,35,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,47,occupancy_quantile,263.0,0.9709999561309814,0.9706666469573976,38,0.0994811129172643,180,6034186,230400,2461838336,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,36,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,48,occupancy_quantile,262.0,0.9685999751091005,0.96916663646698,41,0.1052947233517964,180,6034186,230400,2461969408,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,37,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,49,occupancy_quantile,262.0,0.9696999788284302,0.96916663646698,32,0.1019566738009452,180,6034186,230400,2461707264,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,38,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,50,occupancy_quantile,257.0,0.9695999622344972,0.96875,34,0.1105795754392941,180,6034186,230400,2462428160,3214934016,24154082,39,pass,,routing
