cohort,channels,method,total_capture_mean,total_capture_std,total_capture_count,residual_capture_mean,residual_capture_std,residual_capture_count,dictionary_rank_mean,dictionary_rank_std,dictionary_rank_count,nonzero_coefficients_mean,nonzero_coefficients_std,nonzero_coefficients_count,wiring_density_mean,wiring_density_std,wiring_density_count,coverage_mean,coverage_std,coverage_count,incremental_total_capture_mean,incremental_total_capture_std,incremental_total_capture_count
original8,2,common + surrogate ancestry,0.3759180378868351,0.11058398637807568,8,0.0943335061628605,0.055012999573047866,8,2.0,0.0,8,85.6075,50.72646245163507,8,0.6234429681394953,0.022530940177600697,8,1.0,0.0,8,0.06215858542147586,0.03417696821384362,8
original8,2,common-constrained SVD,0.43624254893577374,0.11841514504831041,8,0.18540460242391402,0.0802837579112976,8,2.0,0.0,8,137.75,80.92633334441533,8,1.0,0.0,8,1.0,0.0,8,0.1224830964704145,0.04326816630137555,8
original8,4,common + ancestry,0.47416829025704,0.14359742608344922,8,0.24333481411810592,0.14231470460062642,8,4.0,0.0,8,76.75,42.97756890019989,8,0.2844645599427023,0.019351710556399643,8,1.0,0.0,8,0.16040883779168075,0.08434569467085071,8
original8,4,common + depth bins,0.37432107123832026,0.10239752365842872,8,0.09095427418125146,0.032475803717102444,8,4.0,0.0,8,119.875,70.74185970333062,8,0.43398677348881,0.0031373620526909227,8,1.0,0.0,8,0.060561618772961026,0.017781225631999034,8
original8,4,common + random routes,0.39689068995244864,0.11649348385305085,8,0.1265918272149085,0.06632872467492835,8,3.915,0.06341473465550868,8,82.7525,44.18889340094408,8,0.31296870952748995,0.027843894793169545,8,1.0,0.0,8,0.08313123748708941,0.03755318154168536,8
original8,4,common + shuffled routes,0.36515161337736507,0.11449649896492987,8,0.07938590970858712,0.05601557333532778,8,3.984375,0.021947583661337835,8,76.75,42.97756890019989,8,0.2844645599427023,0.019351710556399643,8,1.0,0.0,8,0.051392160912005824,0.032718906267765746,8
original8,4,common + surrogate ancestry,0.45170534821379493,0.1472297679696828,8,0.21087480005160567,0.1366850701755703,8,4.0,0.0,8,108.91499999999999,70.86808570455794,8,0.3870577164881682,0.029574725386469734,8,1.0,0.0,8,0.13794589574843572,0.08293203746155443,8
original8,4,common-constrained SVD,0.5503951797454495,0.1262131269729178,8,0.35645915594632394,0.11754017672276224,8,4.0,0.0,8,275.5,161.85266668883065,8,1.0,0.0,8,1.0,0.0,8,0.23663572728009027,0.052712037504375094,8
original8,8,common + ancestry,0.5854287242929928,0.14746363900252202,8,0.40822549689190346,0.15882370363436282,8,8.0,0.0,8,93.0,52.72841467639355,8,0.1724580422511589,0.026712234658322145,8,1.0,0.0,8,0.27166927182763356,0.08968769799278017,8
original8,8,common + depth bins,0.4446103956324864,0.11935857224887206,8,0.19660556554064487,0.0874629089921903,8,8.0,0.0,8,128.625,75.85689063719167,8,0.23296173817918778,0.0013844444103594286,8,1.0,0.0,8,0.13085094316712717,0.05300687858556864,8
original8,8,common + random routes,0.49680552274283996,0.14744661336645468,8,0.27830075866367077,0.14233617070561885,8,7.814375,0.14258925776008305,8,100.353125,47.7358027463589,8,0.1971104209555673,0.03201424092957861,8,1.0,0.0,8,0.18304607027748068,0.08072129159116699,8
original8,8,common + shuffled routes,0.4264726828639878,0.13738870246492121,8,0.17263679928059678,0.11387325362418406,8,7.796875,0.19531910703110586,8,93.0,52.72841467639355,8,0.1724580422511589,0.026712234658322145,8,1.0,0.0,8,0.11271323039862857,0.06799814505254814,8
original8,8,common + surrogate ancestry,0.5414271022017665,0.17664296120891637,8,0.3452608471960681,0.19906950534229537,8,7.994375,0.0056299581322980085,8,138.26500000000001,96.77557048582634,8,0.23972041793546897,0.029587771757906892,8,1.0,0.0,8,0.22766764973640727,0.12204210397528496,8
