seed,phase,task,step,model,optimizer,rule,rate,selected_rate,common_rate,test_nmse,validation_nmse,population_nmse,parameter_norm,max_abs_parameter,gradient_clipped_steps,parameter_projected_steps,elapsed_seconds
211215,fresh,matching,1,algebraic,sgd,unit_broadcast,0.03,False,True,1.131892080761797,1.1435722826124175,1.1169657314861008,1.9611979580556418,1.236864157048537,0,0,0.04395724297501147
211215,fresh,matching,1,algebraic,sgd,calibrated_broadcast,0.03,True,True,1.1395686306352906,1.1510295848948746,1.125010223852351,1.9674460299239749,1.236864157048537,0,0,0.04397034097928554
211215,fresh,matching,1,algebraic,sgd,sign_broadcast,0.01,True,False,1.140580811123391,1.1520689025461965,1.1262128242850258,1.968257931138966,1.2370966063246214,0,0,0.04398341500200331
211215,fresh,matching,1,algebraic,sgd,sign_broadcast,0.03,False,True,1.1347094983059207,1.1459402091479196,1.1199877750013103,1.9649098446119408,1.236864157048537,0,0,0.04399862699210644
211215,fresh,matching,1,algebraic,adam,exact,0.003,True,True,1.1375223481439034,1.1490504429225308,1.1227611374138204,1.9605907269815555,1.2342128335438696,0,0,0.04401171300560236
211215,fresh,matching,1,algebraic,adam,unit_broadcast,0.003,True,True,1.13779113020628,1.1494073535477334,1.1229662483539604,1.9615831260340757,1.2342128335438696,0,0,0.044024587026797235
211215,fresh,matching,1,algebraic,adam,calibrated_broadcast,0.003,False,True,1.1418461927500223,1.153274648215766,1.1270513799743265,1.965941784016695,1.2342128335438696,0,0,0.044037920073606074
211215,fresh,matching,1,algebraic,adam,calibrated_broadcast,0.01,True,False,1.1381865736306018,1.1491424806299793,1.121984529387921,1.9568922596925638,1.2272128395666837,0,0,0.044051149976439774
211215,fresh,matching,1,algebraic,adam,sign_broadcast,0.003,False,True,1.1418462032782308,1.15327465748598,1.1270513895343233,1.965941799409202,1.2342128335438696,0,0,0.044063895009458065
211215,fresh,matching,1,algebraic,adam,sign_broadcast,0.01,True,False,1.1381866085368921,1.1491425110828968,1.1219845606671504,1.9568923147160595,1.2272128395666837,0,0,0.04407596797682345
211215,fresh,matching,16,algebraic,sgd,exact,0.03,True,True,1.0643300833735374,1.076463492228199,1.045676893573131,1.9202754973094542,1.236450460616853,0,0,0.07158725208137184
211215,fresh,matching,16,algebraic,sgd,unit_broadcast,0.01,True,False,1.0869422080681175,1.0992780733147174,1.070531982354539,1.9233780038412658,1.2360285172347532,0,0,0.07160826900508255
211215,fresh,matching,16,algebraic,sgd,unit_broadcast,0.03,False,True,1.0226651318888351,1.0353304696962287,1.005399579389877,1.8995583340363307,1.23368451427522,0,0,0.07162196305580437
211215,fresh,matching,16,algebraic,sgd,calibrated_broadcast,0.03,True,True,1.0799389733500895,1.091217627246661,1.0626632885786316,1.9158019155859174,1.2333952716014933,0,0,0.07163513998966664
211215,fresh,matching,16,algebraic,sgd,sign_broadcast,0.01,True,False,1.0865881555770653,1.0976804695996218,1.0710298539857188,1.9283133737385003,1.2358065548361161,0,0,0.07164848002139479
211215,fresh,matching,16,algebraic,sgd,sign_broadcast,0.03,False,True,1.0143859571681517,1.0259171109545764,0.9969733336852677,1.912200639992838,1.2327752959833862,0,0,0.07166106905788183
211215,fresh,matching,16,algebraic,adam,exact,0.003,True,True,1.07603861479405,1.0866448560488067,1.0579055353816469,1.8867965590720936,1.219494176157004,0,0,0.07167344097979367
211215,fresh,matching,16,algebraic,adam,unit_broadcast,0.003,True,True,1.0898762348293989,1.1011637178264333,1.072240440038527,1.8911862945402695,1.2112151567579916,0,0,0.07168630708474666
211215,fresh,matching,16,algebraic,adam,calibrated_broadcast,0.003,False,True,1.096102461929457,1.1063277527874893,1.0789912556091723,1.9025922290104462,1.2061362303979022,0,0,0.07169962499756366
