condition,feedback,seed,config_index,validation_accuracy,test_accuracy,n_epochs_recorded,best_epoch,best_validation_loss,final10_validation_slope,right_censored,active_group_learning_rates,sparse_active_weight_maintenance_rate,adam_weight_decay,calibration_converged,calibration_reverted,pairing_projection_sha256,calibration_signature_sha256,generated_config_sha256,resolved_config_sha256,result_sha256,checkpoint_sha256,training_summary_sha256,calibration_sha256
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22002,22,0.49139997363090515,0.4910999834537506,199,149,1.4805555896759033,0.0012610506658843428,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,5048b8cd4ce72a1e32376b9e7ff6ff42e40b3205c7787fc468ffc4dbbf3730ed,9f0c9862bfc9dcbcbbd8090b15207dfd9c2e23f6cacc16e3af8d2c1d0f5a9dfa,13e3b79a532f0431d1da34c499757a9364691de60a407dcc0a7afe61c2811bd6,03aa58e9ea41b99962bf1aa46937871ac9c0287e2bb0a03aaf65294c3f07da85,3b50c764ff31f76285d49f1dc4b8021899ea063d921ac58c3e34741238f6c711,f2fdfc31c68ad6624ca552ae3802f5db8abdc01e4aa822f3c8ab58c2027fc599,99e1585c98514d506e400b7094eb2c60c9651cd0285a935666bdd26dcfbff666,bf4d2f91cc076c816757b2420c72a808d1d915296fe9b2aba506986ae0170870
cifar10_shunting_strict_scalar_confirmatory,strict scalar,22002,2,0.3473999798297882,0.35929998755455017,354,304,1.7684580186843872,-0.0005401233511261203,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,5048b8cd4ce72a1e32376b9e7ff6ff42e40b3205c7787fc468ffc4dbbf3730ed,9f0c9862bfc9dcbcbbd8090b15207dfd9c2e23f6cacc16e3af8d2c1d0f5a9dfa,df0346e08fcbffafefa9ac1679fcb135ba401807f20f8fbad2e1a4218ee12c05,cbd9daf1161bdb3a4d42ca4bfdd063d413dcd8e8c5569835bdc15b71843b7816,3564d522db13d07a8802d45861cf448d764b87afc6d76d30d0ac6397a8237ab7,179984ea634d275da2f917e24dc8006f6a6710442ce221a2d5448bd007a2ffc8,a9c198ca3a19d62febedd9330e8b3f2830074d0f4cade922869e10b3633b5ae2,bf4d2f91cc076c816757b2420c72a808d1d915296fe9b2aba506986ae0170870
cifar10_shunting_matched_bp_confirmatory,backpropagation,22003,63,0.4878000020980835,0.48499998450279236,129,79,1.4454604120254517,1.6385010228045153e-05,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,01c164b34ca3e697e198daa4d7dab2db05e6c0fb00a7e49b91d4faaf33e30b43,0ab007c009806ca8664da430be22f65e27770edf3a99a8f5775b7552ebc293e4,020963896624205ce29abe187ced2cb39602d87a1a61f905ba90753da41b89b1,957bc8c8a44a74cf24da1a4c7bbbea2f4bba5d0c7378af8cae940043559d7b8c,70a2a2ea8931423302eda3c29ff2200a85396bc765fec24fdbc6d64f815fb32c,d2004ada66a20fda339cef72cf91f1bf4fed19d2b7d13a0c81a2995a34d0d2b3,1c6af4c1f92f7b961f77dde0d87fe6f2e97e75bfe97c9b9a5cdf815dc27befbe,768acac62e6e1c8f027a3de0c95ed0f436f94c6028a3f89a07ef58ba3b28f9e4
cifar10_shunting_exact_path_confirmatory,exact path,22003,43,0.493399977684021,0.48649999499320984,129,79,1.4413337450027466,0.001136403295343548,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,01c164b34ca3e697e198daa4d7dab2db05e6c0fb00a7e49b91d4faaf33e30b43,0ab007c009806ca8664da430be22f65e27770edf3a99a8f5775b7552ebc293e4,66a851540c2f13a58f0f5a0361acecc3494fe6cb655a774bcb8dd1b90b67988b,b8817d6cadfbdc8c00f7a0a43bcb08741061161eb847a4424453add99a03a57a,7242fb71e3b97765b1c164d798948b790209bd02156d8b0e952cc46e6d200b76,644d6ccb843796dfe60fbbfdd0989c9ce532bec1becec0e82ab5bb26f5aea235,b0f63ea48c07d97ce2727108f6a6253964aab02ff4a3089e96debbe42030ef27,768acac62e6e1c8f027a3de0c95ed0f436f94c6028a3f89a07ef58ba3b28f9e4
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22003,23,0.5101999640464783,0.4941999912261963,214,164,1.4239172853469848,0.0010967874006791798,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,01c164b34ca3e697e198daa4d7dab2db05e6c0fb00a7e49b91d4faaf33e30b43,0ab007c009806ca8664da430be22f65e27770edf3a99a8f5775b7552ebc293e4,8d7cc36bc3e69872dce9a03c7461e89635738676547b8130f1341a0be25cdd3d,44671483d493959f28879c42eab718d7ba91b6f68c185a15c139250d6a336b00,25188de47dfdcebef62ecb414701da46a393d442ce8f2509d67981313cefc981,9707e861ac75dc95344e9fe15b285ae8cab8c786dc17959807c11b3307dccec6,af99483325c2eea8c1225fa0f860bdb856413b99b47ad11d7b072ea1433f5ad4,768acac62e6e1c8f027a3de0c95ed0f436f94c6028a3f89a07ef58ba3b28f9e4
cifar10_shunting_strict_scalar_confirmatory,strict scalar,22003,3,0.3723999857902527,0.3779999911785126,386,336,1.7035623043060302,-0.0001842396776603489,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,01c164b34ca3e697e198daa4d7dab2db05e6c0fb00a7e49b91d4faaf33e30b43,0ab007c009806ca8664da430be22f65e27770edf3a99a8f5775b7552ebc293e4,ffc76c485b224efd1de8fd95938d8a261f7825769342b4573b7281eb92316efd,cc0c93ee2cef7041f8bf559d2b83c442c47149598c9d4005e85a3dd6e8c59b5e,4687b4bdb67ac98de87145039b19a0e7161624f050e9ff38ce42fa4940e456ce,fd49134da94f7a584c1d798bf92f9272b1bf2692b7802eea19843457d1ead482,2f15e143490ac0ad3a30566075634e1614c9f72a496965e98c5ec9e075345e0a,768acac62e6e1c8f027a3de0c95ed0f436f94c6028a3f89a07ef58ba3b28f9e4
cifar10_shunting_matched_bp_confirmatory,backpropagation,22004,64,0.48579999804496765,0.48809999227523804,141,91,1.4897265369415282,-9.925937768176548e-05,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,7e2fb40f7f5501dbc213fc29dd4326f91df6d50412800305c1c3111810b2b212,8ed1fdebfeed74f1912d36f5c25d3f1b0f8f7c16bd5c8f9d8edfcf55f466ecda,bdfe14285c87f67debe81bb691942e44202760484f2a1a7879ce3a1ed05cdeca,e9d59b371a20ec28d731a430213d2603fcaabfe9e70433db937d9a7c9cd9502b,90ed810a09456fc51ab07a9b427c99d2b2f038b8a77e8452e05e40598299ffa3,b2c07cc1029f793164af6dff3707b9527a06407d063124168a08cab72925feef,301fad0094f5637d49d99da3c80dffaed2818b6a6fa6e1a79241821c40cdbda1,9621c946483082c2ea3d45f2d7f2369012dcb8b74efa9a389a4c6fea786229bc
cifar10_shunting_exact_path_confirmatory,exact path,22004,44,0.48339998722076416,0.4901999831199646,145,95,1.5041716468811035,0.0010778882009332908,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,7e2fb40f7f5501dbc213fc29dd4326f91df6d50412800305c1c3111810b2b212,8ed1fdebfeed74f1912d36f5c25d3f1b0f8f7c16bd5c8f9d8edfcf55f466ecda,fd2bf2ae566e2562c7388d0c133401da3b7017320ff936c5361131c705055c93,bdfd7a03df0c644a35a08653e10d231b6fcebd62b8630996e30a26ec62ebcad7,e0a6d3de93d708d0835758ed9593b4cda5af5b4ef1436a96c394c6c03352e99f,d4b29b88a6f428385483b8b088d855478ccec7c5b6323d50b6d028fa8c85b4eb,a279e6a2293d4ddfbfc4904a2d3c8fc071c0a131d47822767c6e09bb097d2ac7,9621c946483082c2ea3d45f2d7f2369012dcb8b74efa9a389a4c6fea786229bc
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22004,24,0.4927999973297119,0.4935999810695648,221,171,1.4659122678756713,-0.00026287720882525696,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,7e2fb40f7f5501dbc213fc29dd4326f91df6d50412800305c1c3111810b2b212,8ed1fdebfeed74f1912d36f5c25d3f1b0f8f7c16bd5c8f9d8edfcf55f466ecda,6b0ba67e0538257d5389029b2678a53f754052bd0c37b3b34e4b925db8f0369c,420ffbb3c50ccf28d32b8ed9f481c2690e7e1839f45652a46e975152c5405723,c08031799bb0ffa8ddf4bda84e7060a527b7c8b1ddc77df56e4882cadf093736,34f0cdd3b3744b8ba387c403a7df125e98e02ee8d8eca0c4d60f5e081c8e37d8,4b8b89bf15d252a8e255414ae8a71116a00dc85dcabd5c364e8ffec324b2d94c,9621c946483082c2ea3d45f2d7f2369012dcb8b74efa9a389a4c6fea786229bc
cifar10_shunting_strict_scalar_confirmatory,strict scalar,22004,4,0.3669999837875366,0.3662000000476837,359,309,1.747118846321106,0.00011301702557203592,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,7e2fb40f7f5501dbc213fc29dd4326f91df6d50412800305c1c3111810b2b212,8ed1fdebfeed74f1912d36f5c25d3f1b0f8f7c16bd5c8f9d8edfcf55f466ecda,6fdd0f6497648aa0102d91b744106024e82e9e7dd492ca800ae79d36e335a3e7,762af3740480e813159b6e2d2429feb169d8cab86fe54f1f74177a48a77911c3,4a9942213807cc78b0152251e46e001d7a81add87787eacd18e8d49e959ab9aa,8e7b3942e7ed306c279d295dc2dc094ba9899a825e987fac9df70bd3b9fdf3dc,7dd1dd5e4ec6fc3eea83821190df886a9594b4d021285e57c19cfda24ab8b3f2,9621c946483082c2ea3d45f2d7f2369012dcb8b74efa9a389a4c6fea786229bc
cifar10_shunting_matched_bp_confirmatory,backpropagation,22005,65,0.4878000020980835,0.4919999837875366,137,87,1.490295453643799,0.0008754923063335686,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,71fcc0633e5555e0b8e2ec9fccdfe07abe98434ca06518ebbe5b4962c43653e8,9795796aa03f2b0528613d7135cb0ba42944c0f412e3c26f2750ddca32ee8182,2d61c97a076baed4a5b3bcfeb2324a6695fb4a424ee50c8d3cc67fd7868c8fd7,15bfb2d3c164bbecbf7f1376b22fb969cc811212bfbfba17a9ff1006262d2ec7,06d72513df2b45239dac1834b08f2e101df8999538505c14ab4519979bb437ce,fcc9da50cb270c4d7e1a111a62cffd387943d921a534ae7e46e5b0896961824b,8774387ee66ef1e626a51b0e9f98539543ddae17f7fb4cc598b0e1b3d16fe3c9,93331124dfaefad72398ef87067d05fe8ce6756ebe327508282338433a7fbe5d
cifar10_shunting_exact_path_confirmatory,exact path,22005,45,0.49139997363090515,0.49149999022483826,145,95,1.4851351041793823,0.0010725786463420665,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,71fcc0633e5555e0b8e2ec9fccdfe07abe98434ca06518ebbe5b4962c43653e8,9795796aa03f2b0528613d7135cb0ba42944c0f412e3c26f2750ddca32ee8182,4837ae0d6fc2c1387a0078ac8a266dd0163ac1709a75c1bb2ea32b403773aaa5,0ac9ea1f0841a10ac301c3a0232c88af3fb3219a3886461eec5621f2da1bdf99,6a4d28e410ef7db5a93724e437dc2dbf8089e10d3f622041ef9404ff6bff8d61,74076426cb1d44b3ed7798f9316aafe2f446a226e160116f5ba6826ef8bb045b,e2a8c05796df7e10b55bff90b69a21737e60a1bd8240bceae67ef56191bdd708,93331124dfaefad72398ef87067d05fe8ce6756ebe327508282338433a7fbe5d
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22005,25,0.49079999327659607,0.49949997663497925,249,199,1.492599249458313,4.825644059643771e-06,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,71fcc0633e5555e0b8e2ec9fccdfe07abe98434ca06518ebbe5b4962c43653e8,9795796aa03f2b0528613d7135cb0ba42944c0f412e3c26f2750ddca32ee8182,a4c34bb7d930c8a19986e4d8203d5da0543a21686801da35a3bf06d8242b180e,ed5cf3d0b9c89e2bb6a060cf2c13c9d34c911d810e0bf2a869840d74f43eef20,bdcd0766b7eedbd50d8c7023a36c63784ad1c4d71930ff9e8c442300bf5054ff,b54c291e9cc45dcaa0e14a82a0885a645db587fc9045613aabed103525d11016,745124112569bf894c298566308748d6be0012718c6d61efdd527962c7ad7c9f,93331124dfaefad72398ef87067d05fe8ce6756ebe327508282338433a7fbe5d
cifar10_shunting_strict_scalar_confirmatory,strict scalar,22005,5,0.36419999599456787,0.37709999084472656,310,260,1.7538409000396729,1.0119376904934111e-05,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,71fcc0633e5555e0b8e2ec9fccdfe07abe98434ca06518ebbe5b4962c43653e8,9795796aa03f2b0528613d7135cb0ba42944c0f412e3c26f2750ddca32ee8182,83643297da086a4df7708e73e9f3a1ac0566bb80802df780f4af1b22648bfc3f,73fa2795758a769398dda4bed116f9b743bbee92bc4206f7c86f62485b6af0e3,f6ec730b069d260d3f9cb43ced858c265523c40e005a3afb0ca1a4f5e19ab0f8,136c2f84fd7df7e336e0892a28540a59563fea3b9ab8cf46f49c8abebfed8467,e9aea6059b16f0a6b340babd68c76ce72ffff66c969901c57257b45d114f615f,93331124dfaefad72398ef87067d05fe8ce6756ebe327508282338433a7fbe5d
cifar10_shunting_matched_bp_confirmatory,backpropagation,22006,66,0.4673999845981598,0.49399998784065247,127,77,1.4941184139251709,-0.0003312934389981345,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,2a1d441d19efefd2f350282a914d50e377de6c1b4054dea3f39ff300d6ecbac9,e22b4504d05667607dc7d3ede1b01eb0f902171d4d5b6a6b5dc0dfcf8c9684ab,518c880543e831500dbdc4607bab973f6467e829262c08c728fd25bc445c86f1,52d8116c5eb4ab080120ec1f6897c82821c715173a3f4f5b2b3e8be69af89233,144f50d43cc9355768c00e14ea55999999c6c5f663afcd6ae6a74252969538de,5a748fd63ee8d08581a1c3f14bf988310dcf18a8621c6ff190fdf5c84d985d63,793f78da09655f07d1c13ece9bf5f4bafa9b635855cb2d4d5481124bd46cb6ab,69d6b0b92fb58546446acbdbb4e998013bb8235f86b4984a6f00c795879871b0
cifar10_shunting_exact_path_confirmatory,exact path,22006,46,0.4717999994754791,0.49379998445510864,139,89,1.5004228101730346,0.001230746348987995,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,2a1d441d19efefd2f350282a914d50e377de6c1b4054dea3f39ff300d6ecbac9,e22b4504d05667607dc7d3ede1b01eb0f902171d4d5b6a6b5dc0dfcf8c9684ab,34c9e804d5999c2bc6b777c460f588e00d7abc09c6b598041bddef58c0957e90,0f70f0f21d3cbf7e2aeea1c7d15d92fa7a973f6204c5f00e98a49aa77237d0ae,a7ba6d984ca4f350a6992dca67b221dbd0f93cdab79c3cca6ddfdc04fb12772b,3b6688f3938ee9b404d1228c4eb208527be1bf2bb05f11d09bc499573c26f292,f356101c4e3a4fb476325d3c6eba34d0fd8678ff1456a4b32215f3e27deb6f13,69d6b0b92fb58546446acbdbb4e998013bb8235f86b4984a6f00c795879871b0
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22006,26,0.48479998111724854,0.5040000081062317,233,183,1.483220104598999,-0.00036961072517162076,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,2a1d441d19efefd2f350282a914d50e377de6c1b4054dea3f39ff300d6ecbac9,e22b4504d05667607dc7d3ede1b01eb0f902171d4d5b6a6b5dc0dfcf8c9684ab,e6505e23fb200c0fcea05c676865e52b3aaacc762fa7d655f70850c151e6a433,c37c04e2d1c45d5a971270fc97fd7b1d44e7c12b368429dc50b4be622e108363,55a9199cfd1206d06139b59c098e507acc84a77f581e0132c8be1a663a7d69a5,877838254abfc05acf8166779a912f5a93445cf473081c88961c414f3a2f7949,025645185bdbbc771f5b12c1b875359b3f3970a8cf51f4a44125a1903c9fc92e,69d6b0b92fb58546446acbdbb4e998013bb8235f86b4984a6f00c795879871b0
