cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,voltage,subtrees_k3,262144,0.7659478556470882,0.7781927413109488
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,activation,broadcast_k1,262144,0.7634087282433771,0.8373196015233416
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,activation,subtrees_k3,262144,0.8595213897348649,0.9360309012409858
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,voltage,broadcast_k1,262144,0.5109617238066732,0.5627423426182494
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50309,trained,7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523,0.0,voltage,subtrees_k3,262144,0.7108746241196021,0.7262403793059949
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,activation,broadcast_k1,262144,0.5320837236893263,0.532271045127799
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,activation,subtrees_k3,262144,0.5321723338574043,0.5323593572645541
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,voltage,broadcast_k1,262144,0.5196662003411087,0.5199264168337656
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50300,initial,9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372,0.0,voltage,subtrees_k3,262144,0.5200968723080139,0.5203427624919131
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,activation,broadcast_k1,262144,0.6257940740169892,0.7524662684715314
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,activation,subtrees_k3,262144,0.6608565035222905,0.8124494189665535
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,voltage,broadcast_k1,262144,0.4803408641584875,0.504749464029001
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50300,trained,d17602db06825344f7ba35564243ace2a8ebcc313e3e8ecde5a94f5483d91e67,0.0,voltage,subtrees_k3,262144,0.6238104270695211,0.6505300782014476
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,activation,broadcast_k1,262144,0.5315524168769317,0.5313608505164165
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,activation,subtrees_k3,262144,0.5316414022759223,0.5314507694593229
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,voltage,broadcast_k1,262144,0.5189128779719228,0.5190169212405028
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50301,initial,778b5a0d4b978ae393987acb344cd4e36878f76cb45e520a89ea864105c2aeaa,0.0,voltage,subtrees_k3,262144,0.5193550075138759,0.519435336537656
