architecture,arm,multiplier,metric,mean,ci_low,ci_high,n,positive
shunting,exact_path,3.0,selection_validation_loss,0.09575587907764645,0.09248647479216258,0.09792759654919307,3,3
shunting,exact_path,3.0,best_epoch,28.666666666666668,28.0,29.0,3,3
shunting,neuron_shared,0.3,test_accuracy,0.9689666430155436,0.9675999879837036,0.9706999659538269,3,3
shunting,neuron_shared,0.3,test_cross_entropy,0.10659376780192058,0.10075501352548599,0.1103726327419281,3,3
shunting,neuron_shared,0.3,selection_validation_loss,0.10787414564026726,0.1034362154006958,0.11356775643428167,3,3
shunting,neuron_shared,0.3,best_epoch,180.0,180.0,180.0,3,3
shunting,neuron_shared,1.0,test_accuracy,0.971566637357076,0.97079998254776,0.972599983215332,3,3
shunting,neuron_shared,1.0,test_cross_entropy,0.09456666310628255,0.09070352464914322,0.09951087087392807,3,3
shunting,neuron_shared,1.0,selection_validation_loss,0.09815553197595807,0.09442149347066879,0.10201192732652027,3,3
shunting,neuron_shared,1.0,best_epoch,91.33333333333333,89.0,93.0,3,3
shunting,neuron_shared,3.0,test_accuracy,0.971733291943868,0.971299946308136,0.9723999500274658,3,3
shunting,neuron_shared,3.0,test_cross_entropy,0.09680852790673573,0.09641062468290329,0.09735860675573349,3,3
shunting,neuron_shared,3.0,selection_validation_loss,0.09995929788880879,0.0949968800743421,0.10303452173868816,3,3
shunting,neuron_shared,3.0,best_epoch,33.666666666666664,30.0,36.0,3,3
shunting,projected_k1,0.3,test_accuracy,0.970366636912028,0.9697999954223633,0.9709999561309814,3,3
shunting,projected_k1,0.3,test_cross_entropy,0.09760521600643794,0.09486031532287598,0.10070173442363739,3,3
shunting,projected_k1,0.3,selection_validation_loss,0.09824864210022821,0.0952382930914561,0.10019864515463511,3,3
shunting,projected_k1,0.3,best_epoch,180.0,180.0,180.0,3,3
shunting,projected_k1,1.0,test_accuracy,0.971566637357076,0.9706999659538269,0.973099946975708,3,3
shunting,projected_k1,1.0,test_cross_entropy,0.09490375717480977,0.09315550327301025,0.09620264917612076,3,3
shunting,projected_k1,1.0,selection_validation_loss,0.09438904760943519,0.08815909933050474,0.09855057662725449,3,3
shunting,projected_k1,1.0,best_epoch,74.33333333333333,71.0,80.0,3,3
shunting,projected_k1,3.0,test_accuracy,0.9706666469573975,0.9699999690055847,0.9710999727249146,3,3
shunting,projected_k1,3.0,test_cross_entropy,0.09767357756694157,0.09581919014453888,0.10123997926712036,3,3
shunting,projected_k1,3.0,selection_validation_loss,0.09593249597152075,0.08982251052061717,0.09911634318033853,3,3
shunting,projected_k1,3.0,best_epoch,26.666666666666668,26.0,28.0,3,3
shunting,strict_scalar,0.3,test_accuracy,0.7400333086649576,0.671999990940094,0.8579999804496765,3,3
shunting,strict_scalar,0.3,test_cross_entropy,0.8453459143638611,0.49666786193847656,1.0393908023834229,3,3
shunting,strict_scalar,0.3,selection_validation_loss,0.8524013303650751,0.5112059690157572,1.0560024013519287,3,3
shunting,strict_scalar,0.3,best_epoch,150.66666666666666,97.0,180.0,3,3
shunting,strict_scalar,1.0,test_accuracy,0.8701666394869486,0.854200005531311,0.886199951171875,3,3
shunting,strict_scalar,1.0,test_cross_entropy,0.4507412811120351,0.4072694182395935,0.491291344165802,3,3
shunting,strict_scalar,1.0,selection_validation_loss,0.4460146085686154,0.4020184712409973,0.47368567562103275,3,3
shunting,strict_scalar,1.0,best_epoch,171.33333333333334,165.0,177.0,3,3
shunting,strict_scalar,3.0,test_accuracy,0.8880333105723063,0.8779999613761902,0.8998000025749207,3,3
shunting,strict_scalar,3.0,test_cross_entropy,0.40921492377916974,0.36206865310668945,0.45294809341430664,3,3
shunting,strict_scalar,3.0,selection_validation_loss,0.3987266604635451,0.36201570057868954,0.4387426881790161,3,3
shunting,strict_scalar,3.0,best_epoch,148.33333333333334,106.0,174.0,3,3
shunting,subtree_k3,0.3,test_accuracy,0.9703666567802429,0.9695000052452087,0.9714999794960022,3,3
shunting,subtree_k3,0.3,test_cross_entropy,0.09646397580703099,0.09500215947628021,0.09915497153997421,3,3
shunting,subtree_k3,0.3,selection_validation_loss,0.09781699400477939,0.09260051198800405,0.100472067852815,3,3
shunting,subtree_k3,0.3,best_epoch,179.0,177.0,180.0,3,3
shunting,subtree_k3,1.0,test_accuracy,0.9717333118120829,0.9714999794960022,0.972000002861023,3,3
shunting,subtree_k3,1.0,test_cross_entropy,0.09394951164722443,0.09292786568403244,0.09537722170352936,3,3
shunting,subtree_k3,1.0,selection_validation_loss,0.09534726923704147,0.09053343093395233,0.09873970595995585,3,3
shunting,subtree_k3,1.0,best_epoch,69.66666666666667,66.0,72.0,3,3
shunting,subtree_k3,3.0,test_accuracy,0.9720999797185262,0.9717999696731567,0.9722999930381775,3,3
shunting,subtree_k3,3.0,test_cross_entropy,0.09421588728825252,0.09071630984544754,0.09647081047296524,3,3
shunting,subtree_k3,3.0,selection_validation_loss,0.09493294791711702,0.09125342695911726,0.09802348067363104,3,3
shunting,subtree_k3,3.0,best_epoch,29.333333333333332,29.0,30.0,3,3
