rate_policy,architecture,metric,contrast,seed,difference
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50309,0.004032790660858154
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50300,-0.8231912553310394
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50301,-0.8369816020131111
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50302,-0.7883196398615837
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50303,-0.8123651519417763
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50304,-0.8528619483113289
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50305,-0.8103791922330856
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50306,-0.8453437685966492
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50307,-0.8222566470503807
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50308,-0.7961032092571259
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50309,-0.7897834479808807
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50300,-0.0011705458164215088
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50301,0.0014371797442436218
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50302,0.0007715225219726562
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50303,-0.0009510070085525513
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50304,-0.00856124609708786
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50305,-0.002154245972633362
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50306,0.001178555190563202
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50307,-0.0025232359766960144
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50308,-0.003716312348842621
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50309,0.0003857538104057312
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50300,-0.0004839375615119934
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50301,0.00038895756006240845
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50302,-0.001670926809310913
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50303,0.002746090292930603
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50304,-0.005527183413505554
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50305,-0.0008433610200881958
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50306,-0.004679776728153229
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50307,-0.0010731890797615051
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50308,-0.007886923849582672
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50309,-0.003647036850452423
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50300,0.08789998292922974
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50301,0.06599998474121094
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50302,0.06439995765686035
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50303,0.07389998435974121
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50304,0.07080000638961792
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50305,0.07969999313354492
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50306,0.09529995918273926
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50307,0.06949996948242188
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50308,0.06740003824234009
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50309,0.07070004940032959
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50300,0.0037999749183654785
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50301,0.001900017261505127
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50302,0.002400040626525879
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50303,0.0
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50304,0.0034999847412109375
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50305,0.0015000104904174805
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50306,0.0020999908447265625
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50307,-0.000299990177154541
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50308,0.002499997615814209
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50309,0.0015999674797058105
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50300,-0.000299990177154541
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50301,-0.00019997358322143555
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50302,-0.00020003318786621094
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50303,-0.000899970531463623
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50304,0.000599980354309082
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50305,0.002200007438659668
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50306,-0.002599954605102539
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50307,0.0020999908447265625
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50308,0.0020999908447265625
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50309,0.000800013542175293
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50300,-0.0029000043869018555
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50301,0.0009999871253967285
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50302,0.001600027084350586
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50303,0.0015000104904174805
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50304,-0.0012999773025512695
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50305,-0.001600027084350586
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50306,0.001699984073638916
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50307,-0.001699984073638916
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50308,-0.0020000338554382324
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50309,-0.0006999969482421875
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50300,0.0690000057220459
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50301,0.07169997692108154
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50302,0.07389998435974121
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50303,0.07609999179840088
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50304,0.07760000228881836
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50305,0.08039999008178711
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50306,0.07839995622634888
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50307,0.07999998331069946
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50308,0.07440000772476196
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50309,0.0731000304222107
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50300,0.000599980354309082
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50301,0.00270003080368042
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50302,0.003800034523010254
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50303,0.0006000399589538574
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50304,0.00279998779296875
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50305,0.0020999908447265625
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50306,0.0012000203132629395
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50307,0.00010001659393310547
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50308,0.002599954605102539
selected,additive,test_accuracy,exact_path_minus_neuron_shared,50309,0.001699984073638916
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50300,0.0034999847412109375
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50301,0.0017000436782836914
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50302,0.002200007438659668
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50303,-0.000899970531463623
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50304,0.0040999650955200195
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50305,0.0037000179290771484
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50306,-0.0004999637603759766
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50307,0.0018000006675720215
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50308,0.0045999884605407715
selected,additive,test_accuracy,subtree_k3_minus_neuron_shared,50309,0.0023999810218811035
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50300,-0.30058320611715317
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50301,-0.232464961707592
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50302,-0.23095367848873138
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50303,-0.2745758965611458
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50304,-0.27688903361558914
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50305,-0.29527290910482407
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50306,-0.36745379120111465
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50307,-0.27073489874601364
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50308,-0.26605264842510223
selected,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,50309,-0.26988300681114197
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50300,-0.004944346845149994
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50301,-0.009984061121940613
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50302,-0.012373320758342743
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50303,-0.004015110433101654
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50304,-0.008248470723628998
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50305,-0.008190900087356567
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50306,-0.0036083608865737915
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50307,0.006388366222381592
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50308,-0.0068975165486335754
selected,additive,test_cross_entropy,projected_k1_minus_neuron_shared,50309,-0.007959119975566864
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50300,-0.0012572482228279114
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50301,0.001117892563343048
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50302,-0.000813409686088562
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50303,0.001658320426940918
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50304,0.0004992485046386719
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50305,-0.0055602192878723145
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50306,0.0018104761838912964
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50307,-0.00637315958738327
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50308,-0.005726546049118042
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,50309,-0.003281421959400177
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50300,0.0005622878670692444
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50301,-0.001485094428062439
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50302,-0.0009820684790611267
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50303,-0.004964523017406464
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50304,-0.00047510117292404175
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50305,0.00502777099609375
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50306,-0.0008199736475944519
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50307,-0.005083836615085602
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50308,0.004955843091011047
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,50309,0.0033301711082458496
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50300,-0.2345978543162346
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50301,-0.23406624048948288
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50302,-0.2478570193052292
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50303,-0.2504560723900795
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50304,-0.2456408515572548
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50305,-0.25805681198835373
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50306,-0.26505131274461746
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50307,-0.26803576201200485
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50308,-0.2548527866601944
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,50309,-0.24378684163093567
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50300,-0.005639307200908661
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50301,-0.010351262986660004
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50302,-0.014168798923492432
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50303,-0.0073213130235672
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50304,-0.008224323391914368
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50305,-0.008723348379135132
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50306,-0.002617858350276947
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50307,-0.00506862998008728
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50308,-0.00766821950674057
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,50309,-0.007910370826721191
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50300,-0.006201595067977905
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50301,-0.008866168558597565
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50302,-0.013186730444431305
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50303,-0.002356790006160736
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50304,-0.007749222218990326
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50305,-0.013751119375228882
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50306,-0.0017978847026824951
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50307,1.5206634998321533e-05
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50308,-0.012624062597751617
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,50309,-0.011240541934967041
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50300,0.11730003356933594
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50301,0.10559993982315063
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50302,0.1240999698638916
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50303,0.10830003023147583
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50304,0.1097000241279602
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50305,0.10680001974105835
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50306,0.12779998779296875
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50307,0.12159997224807739
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50308,0.12209999561309814
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50309,0.08539998531341553
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50300,-0.0003000497817993164
