stage,index,python,cuda,device_name,PyYAML,numpy,omegaconf,pandas,scipy,torch,torchvision,wandb
development,35,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,36,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,37,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,38,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,39,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,40,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,41,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,42,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,43,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,44,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,45,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,46,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,47,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,48,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,49,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,50,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,51,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,52,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,53,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,54,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,55,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,56,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,57,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,58,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,59,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,60,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,61,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,62,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,63,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,64,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,65,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,66,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,67,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,68,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,69,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,70,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,71,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,72,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,73,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,74,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,75,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,76,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,77,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,78,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,79,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,80,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,81,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,82,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,83,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,84,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,85,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,86,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,87,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,88,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,89,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,0,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,1,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,2,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,3,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,4,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,5,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,6,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,7,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,8,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,9,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,10,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,11,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,12,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,13,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,14,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,15,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,16,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,17,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,18,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,19,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,20,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,21,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
fresh,22,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
