rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive
selected,shunting,exact_path,test_cross_entropy,0.09508853629231453,0.09282850027084351,0.09728071706369519,10,10
selected,shunting,exact_path,selection_validation_loss,0.09924163523316383,0.09671917149523894,0.10173702240203818,10,10
selected,shunting,exact_path,best_epoch,71.1,68.9,73.2,10,10
selected,shunting,neuron_shared,test_accuracy,0.971239972114563,0.9705399692058563,0.9717899799346924,10,10
selected,shunting,neuron_shared,test_cross_entropy,0.0966188944876194,0.09503588683903218,0.09807529151439667,10,10
selected,shunting,neuron_shared,selection_validation_loss,0.10144614324967065,0.09888756528797249,0.10390789003654073,10,10
selected,shunting,neuron_shared,best_epoch,91.9,88.2,95.9,10,10
selected,shunting,strict_scalar,test_accuracy,0.8789399802684784,0.8732199788093566,0.8850599765777588,10,10
selected,shunting,strict_scalar,test_cross_entropy,0.43610998094081876,0.4149287402629852,0.4547467797994614,10,10
selected,shunting,strict_scalar,selection_validation_loss,0.4412138857722282,0.42234647386074065,0.45916831346352904,10,10
selected,shunting,strict_scalar,best_epoch,126.9,100.5,152.7,10,10
selected,shunting,subtree_k3,test_accuracy,0.9722699761390686,0.9716499805450439,0.9729199707508087,10,10
selected,shunting,subtree_k3,test_cross_entropy,0.09435116574168205,0.09288448618724943,0.09576277997344733,10,10
selected,shunting,subtree_k3,selection_validation_loss,0.10182410103629032,0.09923724413969864,0.10447390968582283,10,10
selected,shunting,subtree_k3,best_epoch,27.0,25.6,28.3,10,10
