stage,index,source,canonical,sha256,size
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/mnist_development_000_20260906_215732/final_model.pt,,a47cf2103e170f3a6884860c772d01b906f85c04636aae2d86b9961604556ebd,9669010
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/run_audit.json,canonical/development/condition_001/run_audit.json,223ee820fafa33ec8166000288fdb937b765978613bfcc9036cc79c8ccd1aa5d,3585
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/progress.json,canonical/development/condition_001/progress.json,2500603447d18be518832891ffed96e7ccd7a3aedf988f1362cd93c2f256f955,36393
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/initial_state_identity.json,canonical/development/condition_001/initial_state_identity.json,4e7ad790af341ea82cfd6bd13b07979905b944617e638a21948e44c6586b3e3d,292
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/optimizer.json,canonical/development/condition_001/optimizer.json,def2d0592d4ce10ae682bace3b10cf405872409eb51feae0a96dac0f85399e7b,1506
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/mnist_development_001_20260906_215742/config.json,canonical/development/condition_001/mnist_development_001_20260906_215742/config.json,32703cb5b2b73dbe0662f765c1f1b0927fb7892286e177c1972f84b6cfc223c1,77071
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/mnist_development_001_20260906_215742/resolved_seeds.json,canonical/development/condition_001/mnist_development_001_20260906_215742/resolved_seeds.json,e298fcbbaeedb8db7483786921e68e8f215059d9a2e86a1ce5fbb0929561f0c9,242
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/mnist_development_001_20260906_215742/training_summary.json,canonical/development/condition_001/mnist_development_001_20260906_215742/training_summary.json,85821664cb285e3cb544f0907e1d6b1815f43fc44fcdb05ad1f1ea753fe55ea7,10107
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/mnist_development_001_20260906_215742/performance/final.json,canonical/development/condition_001/mnist_development_001_20260906_215742/performance/final.json,18ed19fe288b6d05f38e280edb739d655e224e17baed00d7600a1e5243e174c9,289
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/mnist_development_001_20260906_215742/model_resources.json,canonical/development/condition_001/mnist_development_001_20260906_215742/model_resources.json,22942cf35df332539f43504dd2e1250ea2be3bbd02d40ad15d45ac744800e50e,2851
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/initial_model.pt,,8b0ee0be6837881ce19e5b18cd229cf0fe474b8358e4d2a5dcdf20bf3c4615c4,9669068
development,1,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_001/mnist_development_001_20260906_215742/final_model.pt,,23c9960fd33cca1981f5a12d383f6fe29a9b29f0d646d8c232546793b0036c96,9669010
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/run_audit.json,canonical/development/condition_002/run_audit.json,fbca0116b8b423b93b31c1c3123b4d6f805f4a6807dc6b39402ae06709711fc0,3585
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/progress.json,canonical/development/condition_002/progress.json,4dbc72324e277d08d066f24ac845aca470913967b108ba2888dc93bdf39600c4,36490
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/initial_state_identity.json,canonical/development/condition_002/initial_state_identity.json,2a75f0f6db1d3a4bbd7a2ba9aa1ed44964476b2d32e8ee5f73e047797d6bc351,292
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/optimizer.json,canonical/development/condition_002/optimizer.json,def2d0592d4ce10ae682bace3b10cf405872409eb51feae0a96dac0f85399e7b,1506
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/mnist_development_002_20260906_215744/config.json,canonical/development/condition_002/mnist_development_002_20260906_215744/config.json,d9e27c254b79badf4b5591060c412bf1b59447e652968238e26eb75fb0a5f187,77071
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/mnist_development_002_20260906_215744/resolved_seeds.json,canonical/development/condition_002/mnist_development_002_20260906_215744/resolved_seeds.json,1c2e5ff3567c2d6755bd5c7b32c8248fcb15747c5609c03cc67aa64117e5113a,242
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/mnist_development_002_20260906_215744/training_summary.json,canonical/development/condition_002/mnist_development_002_20260906_215744/training_summary.json,9b0dd650a2df094361e6fec871c3da0c11ceb0a77460aebc33cf3ac359cee6fb,10122
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/mnist_development_002_20260906_215744/performance/final.json,canonical/development/condition_002/mnist_development_002_20260906_215744/performance/final.json,ceb57c31d5cdc8cf6ef5313a043e11195df64c6dcaa4d9de016bebd60fe60297,291
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/mnist_development_002_20260906_215744/model_resources.json,canonical/development/condition_002/mnist_development_002_20260906_215744/model_resources.json,436e301fc2a0679644364c8c498ff09e8aea6f27cd18e48ab3832e782fe1f909,2851
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/initial_model.pt,,3518de8e259949d538cccbb54e80565339dd026c9b3c5590c3d5dd12d96d9fa4,9669068
development,2,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_002/mnist_development_002_20260906_215744/final_model.pt,,79795f6867235bdce9238d5639afbd60cb608f86c93dad8ae89e469b4410c137,9669010
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/run_audit.json,canonical/development/condition_003/run_audit.json,50e714c396a4797b99c3519d5b68865cd79003b3fbb588095746bf29b767221a,3585
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/progress.json,canonical/development/condition_003/progress.json,8efc7ed30f9f46be2719c9b5ae087fb02a24f1ba17c1c11098b59cb4ba6f2a3b,36614
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/initial_state_identity.json,canonical/development/condition_003/initial_state_identity.json,4f374b6f9d9cb791cd86df680ab5469040a45214cfc4e953c8632a4ec86e2fa2,292
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/optimizer.json,canonical/development/condition_003/optimizer.json,9117aef7153af81c70feaeb2d5dee7fb2b821f427318c84b06ecf019a061496c,1487
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/mnist_development_003_20260906_215742/config.json,canonical/development/condition_003/mnist_development_003_20260906_215742/config.json,d32eff7e7d2c1efae9279ca1c854e8456ff41c10d165db3f21a5e25ece1445c2,77051
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/mnist_development_003_20260906_215742/resolved_seeds.json,canonical/development/condition_003/mnist_development_003_20260906_215742/resolved_seeds.json,9ad5e87a4beb4170c6f77ad49a1827e6c9c95a7c4403aa8fce8b3f3ef2228cdc,242
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/mnist_development_003_20260906_215742/training_summary.json,canonical/development/condition_003/mnist_development_003_20260906_215742/training_summary.json,97326ae144438d3d5885ae2078122b18e9dfb69574ab7857d35e19572da7ca14,10207
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/mnist_development_003_20260906_215742/performance/final.json,canonical/development/condition_003/mnist_development_003_20260906_215742/performance/final.json,08b60a9c01fd6bae706d14a366b4f16f431351fc967dcdc688cd7692a68f0e00,291
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/mnist_development_003_20260906_215742/model_resources.json,canonical/development/condition_003/mnist_development_003_20260906_215742/model_resources.json,4bdd69388d241adf7e4e28c001d7b742f834b214babe58794608e103abb27295,2851
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/initial_model.pt,,fe1e2708f2f904f3be75a5150f5ee812a4708e5d7c7a128b376f52831fe85039,9669068
development,3,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_003/mnist_development_003_20260906_215742/final_model.pt,,5a84e55e10bc6e337a7b8a3f10f412e99556cae832de2ea4cce77205c0c9b304,9669010
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/run_audit.json,canonical/development/condition_004/run_audit.json,3940556724850b0edfd06bb0be73729cdc225ce3f06299ae03744a30ffddcce1,3586
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/progress.json,canonical/development/condition_004/progress.json,38bf224b9b71e7755f57b74e3d13ee4899bee935cd407d3518e49565c3f57448,36593
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/initial_state_identity.json,canonical/development/condition_004/initial_state_identity.json,4e7ad790af341ea82cfd6bd13b07979905b944617e638a21948e44c6586b3e3d,292
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/optimizer.json,canonical/development/condition_004/optimizer.json,9117aef7153af81c70feaeb2d5dee7fb2b821f427318c84b06ecf019a061496c,1487
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/mnist_development_004_20260906_215751/config.json,canonical/development/condition_004/mnist_development_004_20260906_215751/config.json,9ec74098ea56604c67ed2ad3d7fb60d4da8773d21b25ab52938bbb699627a334,77051
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/mnist_development_004_20260906_215751/resolved_seeds.json,canonical/development/condition_004/mnist_development_004_20260906_215751/resolved_seeds.json,e298fcbbaeedb8db7483786921e68e8f215059d9a2e86a1ce5fbb0929561f0c9,242
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/mnist_development_004_20260906_215751/training_summary.json,canonical/development/condition_004/mnist_development_004_20260906_215751/training_summary.json,c7d013174d2ace67a8f6f977cd6a92dd745a4b74bebc24349d23e05a5f3c1d12,10207
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/mnist_development_004_20260906_215751/performance/final.json,canonical/development/condition_004/mnist_development_004_20260906_215751/performance/final.json,f4a9538249a0dc114b3ed64eebf56f3c244c618f7ded174a68db55acad81dc6d,286
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/mnist_development_004_20260906_215751/model_resources.json,canonical/development/condition_004/mnist_development_004_20260906_215751/model_resources.json,afc3637f21542ee0498dba03c240f905bf5090a49b5daf235ba1fb534aae3b69,2851
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/initial_model.pt,,8b0ee0be6837881ce19e5b18cd229cf0fe474b8358e4d2a5dcdf20bf3c4615c4,9669068
development,4,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_004/mnist_development_004_20260906_215751/final_model.pt,,94bd7c29de8ec12364c7a7a9f3177f0ab9e8ec229d24b5dc040fba4ee08b687b,9669010
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/run_audit.json,canonical/development/condition_005/run_audit.json,f56b153c05aa5553a8aa34ba458a994743e8d7966157fc94cadc048a29443a09,3586
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/progress.json,canonical/development/condition_005/progress.json,0522bd9f278a7fd7d0772190fc3a18b775d0bc688ae0b47bcd654651dfc272f4,36689
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/initial_state_identity.json,canonical/development/condition_005/initial_state_identity.json,2a75f0f6db1d3a4bbd7a2ba9aa1ed44964476b2d32e8ee5f73e047797d6bc351,292
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/optimizer.json,canonical/development/condition_005/optimizer.json,9117aef7153af81c70feaeb2d5dee7fb2b821f427318c84b06ecf019a061496c,1487
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/mnist_development_005_20260906_215759/config.json,canonical/development/condition_005/mnist_development_005_20260906_215759/config.json,dbd411b20f1e0a19b5f5e7c07d107725186c88e45188b1e31c5869e4315594d0,77051
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/mnist_development_005_20260906_215759/resolved_seeds.json,canonical/development/condition_005/mnist_development_005_20260906_215759/resolved_seeds.json,1c2e5ff3567c2d6755bd5c7b32c8248fcb15747c5609c03cc67aa64117e5113a,242
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/mnist_development_005_20260906_215759/training_summary.json,canonical/development/condition_005/mnist_development_005_20260906_215759/training_summary.json,5738cdf8e6ca143e7709e4c3951c7ed9566c620667b08563d45815822427e8ab,10267
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/mnist_development_005_20260906_215759/performance/final.json,canonical/development/condition_005/mnist_development_005_20260906_215759/performance/final.json,e69b8ff556ba6e7a8703de0f1b47993e0e00493dc175e9c246780328cfb6ef82,289
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/mnist_development_005_20260906_215759/model_resources.json,canonical/development/condition_005/mnist_development_005_20260906_215759/model_resources.json,a7a47264385f1b2a2ea8bc2d470a2f1637f1dd9631251d788d79ea5b8c7c4201,2851
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/initial_model.pt,,3518de8e259949d538cccbb54e80565339dd026c9b3c5590c3d5dd12d96d9fa4,9669068
development,5,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_005/mnist_development_005_20260906_215759/final_model.pt,,645b22f0db3b1f4d2602bbc292b075adaa18d7974a29d37f91c6db281e02b40b,9669010
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/run_audit.json,canonical/development/condition_006/run_audit.json,07a1dc98c61ac04eb08d72702f31f9e1fea88ca8c76fb24471714f8a0a965a65,3585
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/progress.json,canonical/development/condition_006/progress.json,109106b15c0191ba86416472bea017262f7c7fe209f3d5b17d702828b4e8ac84,36747
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/initial_state_identity.json,canonical/development/condition_006/initial_state_identity.json,4f374b6f9d9cb791cd86df680ab5469040a45214cfc4e953c8632a4ec86e2fa2,292
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/optimizer.json,canonical/development/condition_006/optimizer.json,372757b97ec48f3a4a2581a07017cc7e303626e60956855a73f90cb55e8efc73,1517
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/mnist_development_006_20260906_215800/config.json,canonical/development/condition_006/mnist_development_006_20260906_215800/config.json,b9641d6f8ca807e8226731dbe9c76a3466d93b1d9170162ac6e30763fa7f0620,77096
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/mnist_development_006_20260906_215800/resolved_seeds.json,canonical/development/condition_006/mnist_development_006_20260906_215800/resolved_seeds.json,9ad5e87a4beb4170c6f77ad49a1827e6c9c95a7c4403aa8fce8b3f3ef2228cdc,242
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/mnist_development_006_20260906_215800/training_summary.json,canonical/development/condition_006/mnist_development_006_20260906_215800/training_summary.json,93669656f70980112aec574205c91776d4f7b41dbb7cc482561488561f3fdb13,10320
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/mnist_development_006_20260906_215800/performance/final.json,canonical/development/condition_006/mnist_development_006_20260906_215800/performance/final.json,9a639d78a21174942d61f861485f11f9593042e4e1d6e34fc6805ddedeac5886,291
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/mnist_development_006_20260906_215800/model_resources.json,canonical/development/condition_006/mnist_development_006_20260906_215800/model_resources.json,358c1fc553fcea60ff7f459f8178e38e5ca81f3b9804e682645dd0982c7b1c48,2851
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/initial_model.pt,,fe1e2708f2f904f3be75a5150f5ee812a4708e5d7c7a128b376f52831fe85039,9669068
development,6,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_006/mnist_development_006_20260906_215800/final_model.pt,,ba228b309c38e923df9ad55f5b4dc1d4f188f821b9034e8aa043503edcd00f0b,9669010
development,7,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_007/run_audit.json,canonical/development/condition_007/run_audit.json,bb7a2761ace60024a7ab931eeef90578f0bfb386b60420e7c48bed9a28600102,3586
development,7,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_007/progress.json,canonical/development/condition_007/progress.json,aa1a612391f5c5ff60a0aeb9b606b7ddd0a1e0bbbace0c1e00dec4d7a6c7a699,36674
development,7,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_007/initial_state_identity.json,canonical/development/condition_007/initial_state_identity.json,4e7ad790af341ea82cfd6bd13b07979905b944617e638a21948e44c6586b3e3d,292
development,7,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_007/optimizer.json,canonical/development/condition_007/optimizer.json,372757b97ec48f3a4a2581a07017cc7e303626e60956855a73f90cb55e8efc73,1517
development,7,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_007/mnist_development_007_20260906_215751/config.json,canonical/development/condition_007/mnist_development_007_20260906_215751/config.json,b0ad2dbe5f28f91c1922754dd89efe4cb3f16ae15713a86acd503e03f85b5b40,77096
