seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11012,2,0.6666666667,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.333333333333,-0.333333333333,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.6666666667,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.333333333333,-0.333333333333,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.75,neuron_shared_k1,0.496527612209,0.8203125,0.50618571043,0.795000016689,0.995089232922,0.990202605724,0.257818579674,0.25,-0.5,1,2,100,1,2,0.4965276122,0.8203125,0.5061857104,0.7950000167,0.9950892329,0.9902026057,0.2578185797,0.25,-0.5,1,2,100,1,2,1.06994413329e-11,3.01452196538e-11
11012,2,0.75,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.25,-0.5,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.25,-0.5,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.75,within_neuron_deranged,5.56327724457,0.208740234375,5.48872089386,0.216000005603,-0.994440019131,0.988910973072,-0.484362781048,0.25,-0.5,2,1,100,1,2,5.563277245,0.2087402344,5.488720894,0.2160000056,-0.9944400191,0.9889109731,-0.484362781,0.25,-0.5,2,1,100,1,2,2.83661982792e-12,1.4013679106e-10
11012,2,0.75,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.25,-0.5,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.25,-0.5,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.75,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.25,-0.5,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.25,-0.5,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,1,neuron_shared_k1,0.684451460838,0.585205078125,0.68464910984,0.581500053406,0.233451873064,0.0544997788966,0.0109785636887,0,-1,1,2,100,1,2,0.6844514608,0.5852050781,0.6846491098,0.5815000534,0.2334518731,0.0544997789,0.01097856369,0,-1,1,2,100,1,2,5.7617244309e-12,4.03930222603e-11
11012,2,1,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0,-1,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0,-1,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,1,within_neuron_deranged,14.5095739365,0.198364257812,14.4415864944,0.221000015736,-0.995656609535,0.991332113743,-0.978042840958,0,-1,2,1,100,1,2,14.50957394,0.1983642578,14.44158649,0.2210000157,-0.9956566095,0.9913321137,-0.978042841,0,-1,2,1,100,1,2,3.5626224193e-11,4.44580017245e-09
11012,2,1,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0,-1,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0,-1,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,1,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0,-1,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0,-1,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,4,0,neuron_shared_k1,0.42350757122,0.815673828125,0.431294590235,0.801000058651,0.99804443121,0.996092677116,0.996092736721,1,1,1,4,200,1,4,0.4235075712,0.8156738281,0.4312945902,0.8010000587,0.9980444312,0.9960926771,0.9960927367,1,1,1,4,200,1,4,4.90295581912e-11,3.47564754755e-11
11012,4,0,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,1,1,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,1,1,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0,within_neuron_deranged,4.31652736664,0.546142578125,4.18383026123,0.549500048161,0.993867754936,0.987773120403,0.993867754936,1,1,4,1,200,1,4,4.316527367,0.5461425781,4.183830261,0.5495000482,0.9938677549,0.9877731204,0.9938677549,1,1,4,1,200,1,4,3.9447001221e-11,2.30468977236e-10
11012,4,0,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,1,1,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,1,1,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
